#,Name,Question,PopRange,ConditionSuccessEvent,ConditionFailEvent,ConfirmEvent,TerritoryType,WarpCondition,WarpLogic,StartCutscene,EndCutscene,CanSkipCutscene
131072,,,0,0,0,0,0,1,1,0,0,False
131073,,,2040811,0,0,0,148,2,2,0,0,False
131074,,Proceed to the Seat of the First Bow?,3884000,590352,590353,0,204,3,1,0,0,False
131075,,Leave the Seat of the First Bow?,3884182,0,0,0,132,1,1,0,0,False
131076,,Leave the Lotus Stand?,3878860,0,0,0,133,1,1,0,0,False
131077,Purchase Passage to Sweetbloom Pier,Board the ferry to Sweetbloom Pier?,1381039,590354,590355,0,152,4,1,0,0,False
131078,,Board the ferry to Old Gridania?,1381038,590356,590259,0,133,4,1,0,0,False
131079,,,4124796,0,0,0,177,5,3,0,0,False
131080,,,1359058,0,0,0,179,5,4,0,0,False
131081,,,4124801,0,0,0,178,5,5,0,0,False
131082,,Exit room?,4125264,0,0,0,128,1,1,0,0,False
131083,,Exit room?,2232680,0,0,0,132,1,1,0,0,False
131084,,Exit room?,4125288,0,0,0,130,1,1,0,0,False
131085,,Leave the Heart of the Sworn?,4107979,0,0,0,131,1,1,0,0,False
131086,,Take the ferry to Crescent Cove for 40 gil?,4143657,590441,590620,590448,140,6,1,0,0,False
131087,,Take the ferry to the Silver Bazaar for 40 gil?,4143677,590442,590621,590449,140,6,1,0,0,False
131088,,Enter the Waking Sands?,4107477,0,590450,0,212,7,1,0,0,False
131089,,Leave the Waking Sands?,4132388,0,0,0,140,1,1,0,0,False
131090,,Enter the solar?,4148347,0,590564,0,212,21,1,0,0,False
131091,,Leave the solar?,4148350,0,0,0,212,1,1,0,0,False
131092,Ride Lift to the Airship Landing,Proceed to the airship landing?,4158063,0,0,0,128,1,1,0,0,False
131093,Ride Lift to the Drowning Wench,Proceed to the Drowning Wench?,4158069,0,0,0,128,1,1,0,0,False
131094,Ride Lift to Bulwark Hall,Proceed to Bulwark Hall?,4161445,0,0,0,129,1,1,0,0,False
131095,Ride Lift to the Airship Landing,Proceed to the airship landing?,4164411,0,0,0,130,1,1,0,0,False
131096,Ride Lift to the Hustings Strip,Proceed to the Hustings Strip?,4164414,0,0,0,131,1,1,0,0,False
131097,Ride Lift to the Ruby Road Exchange,Proceed to the Ruby Road Exchange?,4164413,0,0,0,130,1,1,0,0,False
131098,,Proceed into the Heart of the Sworn?,4087066,590451,590452,0,210,8,1,0,0,False
131099,,Proceed to the Bowl of Embers?,4165046,590611,0,0,146,1,1,0,0,False
131100,,Leave the immediate area?,4165037,590610,0,0,145,1,1,0,0,False
131101,Purchase Passage to Gridania,Travel to Gridania for 120 gil?,4103382,0,590530,590453,132,9,1,227,232,True
131102,Purchase Passage to Limsa Lominsa,Travel to Limsa Lominsa for 120 gil?,4103399,0,590530,590453,128,9,1,227,230,True
131103,Purchase Passage to Ul'dah,Travel to Ul'dah for 120 gil?,4103339,0,589916,590454,130,9,1,231,228,True
131104,Purchase Passage to Limsa Lominsa,Travel to Limsa Lominsa for 120 gil?,4103399,0,589916,590454,128,9,1,231,230,True
131105,Purchase Passage to Ul'dah,Travel to Ul'dah for 120 gil?,4103339,0,590531,590455,130,9,1,229,228,True
131106,Purchase Passage to Gridania,Travel to Gridania for 120 gil?,4103382,0,590531,590455,132,9,1,229,232,True
131107,,Travel to Limsa Lominsa for 80 gil?,4165398,0,591076,590456,129,10,1,235,234,True
131108,,Travel to Vesper Bay for 80 gil?,4165376,0,591077,590457,140,10,1,233,236,True
131109,Purchase Passage to Aleport,Travel to Aleport for 40 gil?,4165794,590514,590515,590622,138,11,1,0,0,False
131110,Purchase Passage to Limsa Lominsa,Travel to Limsa Lominsa for 40 gil?,4165749,590516,590517,590623,129,11,1,0,0,False
131111,Purchase Passage to Costa del Sol,Travel to Costa del Sol for 40 gil?,4165755,590518,590519,590624,137,12,1,0,0,False
131112,Purchase Passage to Limsa Lominsa,Travel to Limsa Lominsa for 40 gil?,4165749,590520,590521,590625,129,12,1,0,0,False
131113,Purchase Passage to Jijiroon's Trading Post,Travel to Jijiroon's Trading Post for 40 gil?,4165801,590510,0,590511,139,13,1,0,0,False
131114,Purchase Passage to Memeroon's Trading Post,Travel to Memeroon's Trading Post for 40 gil?,4165797,590512,0,590513,139,13,1,0,0,False
131115,Purchase Passage to Aleport,Travel to Aleport for 40 gil?,4165794,590522,590626,590628,138,14,1,0,0,False
131116,Purchase Passage to Candlekeep Quay,Travel to Candlekeep Quay for 40 gil?,4165877,590523,590627,590629,135,14,1,0,0,False
131117,Travel Beyond the White Wolf Gate,Travel beyond the White Wolf Gate?,1317627,590524,590525,0,148,15,1,0,0,False
131118,,Enter Gridania?,1317561,590529,590526,0,132,15,1,0,0,False
131119,Purchase Passage to Raincatcher Gully,Travel to Raincatcher Gully for 40 gil?,4165759,590527,0,590630,137,16,1,0,0,False
131120,Purchase Passage to Hidden Falls,Travel to Hidden Falls for 40 gil?,4165758,590528,0,590631,137,16,1,0,0,False
131121,Seek Entry to the Lotus Stand,Proceed to the Lotus Stand?,3877982,590535,590536,0,205,19,1,0,0,False
131122,Seek Entry to the Command Room,Enter the command room?,4146949,590563,0,0,198,20,1,0,0,False
131123,,Leave the command room?,4169071,0,0,0,129,1,1,0,0,False
131124,,,4190590,0,0,0,134,2,2,0,0,False
131125,,,4189532,0,0,0,141,2,2,0,0,False
131126,,Travel to the Minotaur Malm?,4165939,590603,0,0,146,1,1,0,0,False
131127,,Travel to Nald's Reflection?,4165935,590604,0,0,146,1,1,0,0,False
131128,,Leave the landing area?,4103339,590607,0,0,130,1,1,0,0,False
131129,,Leave the landing area?,4103382,590608,0,0,132,1,1,0,0,False
131130,,Leave the landing area?,4103399,590609,0,0,128,1,1,0,0,False
131131,Seek Passage to the Wolves' Den,Travel to the Wolves' Den?,4264415,590632,0,0,250,1,1,0,0,False
131132,Seek Passage to the Moraby Drydocks,Travel to the Moraby Drydocks?,4264426,590633,0,0,135,1,1,0,0,False
131133,Seek Passage to Aleport,Travel to Aleport?,4165794,590634,0,0,138,1,1,0,0,False
131134,Purchase Passage to the Isles of Umbra,Travel to the Isles of Umbra for 40 gil?,4264587,590635,590636,590637,138,22,1,0,0,False
131135,Seek Passage to Aleport,Travel to Aleport?,4165794,0,0,0,138,1,1,0,0,False
131136,Purchase Passage to the Serpent's Tongue,Travel to the Serpent's Tongue for 40 gil?,4264605,590638,590639,590640,138,23,1,0,0,False
131137,,Leave Cid's workshop?,4321669,0,0,0,156,1,1,0,0,False
131138,,Travel to Gridania?,4102803,590843,0,0,132,1,1,0,0,False
131139,,Leave the Binding Coil of Bahamut?,4332112,0,0,0,137,1,1,0,0,False
131140,,Leave the Binding Coil of Bahamut?,4332121,0,0,0,147,1,1,0,390,False
131141,,Activate the lift?,4331241,0,0,0,247,1,1,389,0,False
131142,,Enter the solar?,4498658,0,0,0,351,1,1,0,0,False
131143,,Leave the solar?,4498656,0,0,0,351,1,1,0,0,False
131144,,Enter the Rising Stones?,4498659,0,0,0,351,1,1,0,0,False
131145,,Leave the Rising Stones?,4498857,0,0,0,156,1,1,0,0,False
131146,,Enter the Eight Sentinels?,4506602,0,0,0,156,1,1,0,0,False
131147,,Leave the Eight Sentinels?,4506605,0,0,0,156,1,1,0,0,False
131148,,Enter the estate hall?,0,0,0,0,0,1,6,0,0,False
131149,,Leave the estate hall?,0,0,0,0,0,1,7,0,0,False
131150,,,4549235,591149,0,0,340,1,1,0,0,False
131151,,,4549391,591150,0,0,148,1,1,0,0,False
131152,,Leave the 13th Order workshop?,4618997,0,0,0,180,1,1,0,0,False
131153,,Return to Novv's Nursery?,4629135,0,0,0,138,1,1,0,0,False
131154,,Return to Novv's Nursery?,4629135,0,0,0,138,1,1,0,0,False
131155,,Return to Novv's Nursery?,4629135,0,0,0,138,1,1,0,0,False
131156,,Return to Novv's Nursery?,4629135,0,0,0,138,1,1,0,0,False
131157,,Return to Novv's Nursery?,4629135,0,0,0,138,1,1,0,0,False
131158,Seek Passage to the Lavender Beds,Travel to the Lavender Beds?,4549235,591254,591260,0,340,24,1,0,0,False
131159,,,1381038,591255,591261,0,133,24,1,0,0,False
131160,Seek Passage to Mist,Travel to Mist?,4664433,591256,591262,0,339,25,1,0,0,False
131161,,,4165749,591257,591263,0,129,25,1,0,0,False
131162,,,4656744,591258,591264,0,341,26,1,0,0,False
131163,,,4660251,591259,591265,0,131,26,1,0,0,False
131164,,Leave the Eorzean subterrane?,4678209,0,0,0,154,1,1,0,0,False
131165,,Leave the Binding Coil of Bahamut?,4332121,0,0,0,147,1,1,0,0,False
131166,,Enter the intercessory?,5036036,591750,0,0,395,1,1,0,0,False
131167,,Leave the intercessory?,5036025,0,0,0,155,1,1,0,0,False
131168,,Leave the Ivory Chapel?,5038695,0,0,0,152,1,1,0,0,False
131169,Board the Rhotano Privateer,Board the Rhotano privateer?,5049372,590097,0,0,137,1,1,0,0,False
131170,Return to Costa del Sol,Return to Costa del Sol?,4165755,590098,0,0,137,1,1,0,0,False
131171,,Leave the guild?,5341046,0,0,0,129,1,1,0,0,False
131172,Enter the Rogues' Guild,Enter the Rogues' Guild?,5341051,591865,0,0,129,27,1,0,0,False
131173,,Leave the dock storehouse?,5341521,0,0,0,137,1,1,0,0,False
131174,Enter the dock storehouse,Enter the dock storehouse?,5341524,591889,591888,0,137,28,1,0,0,False
131175,,Leave the Eorzean subterrane?,5404445,0,0,0,147,1,1,0,0,False
131176,,Enter the Ivory Chapel?,5038252,0,0,0,392,1,8,0,0,False
131177,,Ride lift to Chocobo Square?,5448900,591975,0,0,388,1,1,0,0,False
131178,,Return to Entrance Square?,5448873,591981,0,0,144,1,1,0,0,False
131179,Seek Passage to the Gold Saucer,Travel to the Gold Saucer?,5649379,0,591990,0,144,29,1,0,0,False
131180,Seek Passage to the Gold Saucer,Travel to the Gold Saucer?,5649379,0,591990,0,144,29,1,0,0,False
131181,Seek Passage to the Gold Saucer,Travel to the Gold Saucer?,5649379,0,591990,0,144,29,1,0,0,False
131182,Purchase Passage to Limsa Lominsa,Travel to Limsa Lominsa for 120 gil?,4103399,0,0,592264,128,30,1,0,0,False
131183,Seek Passage to Ul'dah,Travel to Ul'dah?,4103339,0,0,0,130,1,1,0,0,False
131184,Purchase Passage to Gridania,Travel to Gridania for 120 gil?,4103382,0,0,592264,132,30,1,0,0,False
131185,,Cross the Steps of Faith to the Arc of the Worthy?,5827477,592249,0,0,418,1,1,0,0,False
131186,,Return to the Gates of Judgement?,5835896,592250,0,0,155,1,1,0,0,False
131187,Enter the Proving Grounds,Enter the proving grounds?,5822019,592251,0,0,439,1,1,0,0,False
131188,Seek Passage to Cloudtop,Travel to Cloudtop?,5835987,0,0,0,401,1,1,0,0,False
131189,,Travel to the Blue Window?,5836049,592253,0,0,401,1,1,0,0,False
131190,Seek Passage to Azys Lla,Make the journey to Azys Lla?,5836085,592254,0,0,402,1,1,0,0,False
131191,,Enter Saint Endalim's Scholasticate?,5821242,592255,0,0,427,1,1,0,0,False
131192,,Enter Fortemps Manor?,5822004,592256,0,0,433,1,1,0,0,False
131193,,Leave Saint Endalim's Scholasticate?,5827748,0,0,0,419,1,1,0,0,False
131194,,Leave the Seat of the Lord Commander?,5827491,0,0,0,418,1,1,0,0,False
131195,,Leave Fortemps Manor?,5827750,0,0,0,419,1,1,0,0,False
131196,,Leave the proving grounds?,5827495,0,0,0,418,1,1,0,0,False
131197,,Travel to Ishgard?,5835975,592257,0,0,419,1,1,0,0,False
131198,,Travel to Ishgard?,5835975,0,0,0,419,1,1,0,0,False
131199,,Climb Sohm Al to the Churning Mists?,5836077,592259,0,0,400,1,1,0,0,False
131200,,Descend Sohm Al to the Dravanian forelands?,5836076,0,0,0,398,1,1,0,0,False
131201,,Enter Matoya's Cave?,5851087,0,0,0,463,1,1,0,0,False
131202,,Leave Matoya's Cave?,5822097,0,0,0,399,1,1,0,0,False
131203,,Travel to Ishgard?,5835975,0,0,0,419,1,1,0,0,False
131204,,,5878288,0,0,0,429,5,9,0,0,False
131205,,Exit room?,5878405,0,0,0,418,1,1,0,0,False
131206,,Exit the sacrificial chamber?,5857271,0,0,0,398,1,1,0,0,False
131207,,Move to the Alpha Quadrant?,5890154,0,0,0,402,1,1,0,0,False
131208,,Move to the Beta Quadrant?,5890159,0,0,0,402,1,1,0,0,False
131209,,Move to the Beta Quadrant?,5890166,0,0,0,402,1,1,0,0,False
131210,,Move to the Gamma Quadrant?,5890180,0,0,0,402,1,1,0,0,False
131211,,Move to the Gamma Quadrant?,5890183,0,0,0,402,1,1,0,0,False
131212,,Move to the Delta Quadrant?,5890184,0,0,0,402,1,1,0,0,False
131213,,Move to the research facility?,5867863,0,0,0,402,1,1,0,0,False
131214,,Leave Articulation?,5959290,0,0,0,399,1,1,0,0,False
131215,,Leave the Gordian Knot?,5959290,0,0,0,399,1,1,0,0,False
131216,Escape Reality,Climb to the Eighteenth Floor?,6034535,592868,0,0,504,31,1,0,0,False
131217,Live the Fantasy,Leave the Eighteenth Floor?,6034570,0,0,0,130,1,1,0,0,False
