key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
#,,,,,,,,LGB{PopRange}[0],LGB{PopRange}[1],LGB{PopRange}[2],LGB{PopRange}[3],LGB{PopRange}[4],LGB{PopRange}[5],LGB{PopRange}[6],LGB{PopRange}[7],LGB{PopRange}[8],LGB{PopRange}[9],LGB{PopRange}[10],LGB{PopRange}[11],LGB{PopRange}[12],LGB{PopRange}[13],LGB{PopRange}[14],,Icon[0],Icon[1],Icon[2],Icon[3],Icon[4],Icon[5],Icon[6],Icon[7],Icon[8],Icon[9],Icon[10],Icon[11],Icon[12],Icon[13],Icon[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,byte,byte,uint32,uint16,uint16,uint16,uint32,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,uint32,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,uint32,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04
0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,3,251,279,280,281,0,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1,3,251,279,280,281,0,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2,1,251,279,280,281,0,4982026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,0,0,0,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,5,2,251,279,280,281,0,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,4,2,251,279,280,281,0,5127365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,1,3,251,279,280,281,0,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,1,3,251,279,280,281,0,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,1,3,251,279,280,281,0,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,1,3,251,279,280,281,0,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,1,3,251,279,280,281,0,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
