key,0,1,2,3,4,5,6,7
#,Item,,SecondaryStatTotal,Parameter[0],Parameter[1],Parameter[2],Parameter[3],Parameter[4]
int32,Item,byte,byte,AnimaWeapon5Param,AnimaWeapon5Param,AnimaWeapon5Param,AnimaWeapon5Param,AnimaWeapon5Param
0,0,0,0,0,0,0,0,0
1,14870,1,128,2,3,4,5,6
2,14871,2,180,2,3,4,5,6
3,14872,3,180,2,3,4,5,6
4,14873,4,180,2,3,4,5,6
5,14874,5,180,2,3,4,5,6
6,14878,6,180,1,3,4,5,7
7,14879,7,180,1,3,4,5,7
8,14880,8,180,1,3,4,5,7
9,14881,9,180,1,3,4,5,7
10,14875,10,180,2,3,4,5,6
11,14877,11,180,2,3,4,5,6
12,14876,12,180,2,3,4,5,6
13,14882,13,180,1,3,4,5,7
14,14883,14,52,2,3,4,5,6
