#,Action,ReplaceActions[0],ReplaceActions[1],ReplaceActions[2],ReplaceActions[3],Param1,Param2,Param3,Param4,Type1,Type2,Type3,Type4,ReplaceSettable,Unknown_70
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
1.0,28,32065,0,0,0,79,0,0,0,2,0,0,0,-1,False
1.1,21,3539,0,0,0,260,0,0,0,3,0,0,0,-1,False
1.2,3542,25746,0,0,0,412,0,0,0,3,0,0,0,-1,False
1.3,29,25747,0,0,0,415,0,0,0,3,0,0,0,-1,False
1.4,16459,25748,25749,25750,0,1,1,1,0,8,8,8,0,-1,False
1.5,16460,36918,36919,0,0,3827,3828,0,0,2,2,0,0,-1,False
1.6,17,36920,0,0,0,564,0,0,0,3,0,0,0,-1,False
1.7,7383,36921,36922,0,0,565,3831,0,0,3,2,0,0,-1,False
1.8,20,3538,0,0,0,0,0,0,0,4,0,0,0,-1,False
1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
1.10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
2.0,36940,36942,25761,3547,0,428,1,1,0,3,8,8,0,1,False
2.1,25761,3547,0,0,0,428,0,0,0,3,0,0,0,-1,False
2.2,36941,36943,25763,16474,0,429,1,1,0,3,8,8,0,1,False
2.3,25763,16474,0,0,0,429,0,0,0,3,0,0,0,-1,False
2.4,25764,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
2.6,62,25767,0,0,0,430,0,0,0,3,0,0,0,-1,False
2.7,7394,36944,0,0,0,3841,0,0,0,2,0,0,0,-1,False
2.8,53,36945,0,0,0,577,0,0,0,3,0,0,0,-1,False
2.9,54,36946,0,0,0,577,0,0,0,3,0,0,0,-1,False
2.10,56,36947,0,0,0,577,0,0,0,3,0,0,0,-1,False
2.11,25766,36949,0,0,0,3842,0,0,0,2,0,0,0,1,False
2.12,7395,36950,0,0,0,3843,0,0,0,2,0,0,0,1,False
2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
3.0,48,32066,0,0,0,91,0,0,0,2,0,0,0,-1,False
3.1,49,3549,16465,0,0,265,1897,0,0,3,4,0,0,-1,False
3.2,38,7389,36924,0,0,218,3901,0,0,3,2,0,0,-1,False
3.3,51,3550,16463,0,0,266,1897,0,0,3,4,0,0,-1,False
3.4,3551,25751,0,0,0,418,0,0,0,3,0,0,0,-1,False
3.5,44,36923,0,0,0,567,0,0,0,3,0,0,0,-1,False
3.6,25753,36925,0,0,0,3834,0,0,0,2,0,0,0,-1,False
3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
4.0,3555,7400,0,0,0,1,0,0,0,8,0,0,0,1,False
4.1,92,16478,7399,0,0,275,1243,0,0,3,2,0,0,1,False
4.2,75,16479,0,0,0,1863,0,0,0,2,0,0,0,-1,False
4.3,86,25770,0,0,0,1863,0,0,0,7,0,0,0,-1,False
4.4,84,25771,0,0,0,437,0,0,0,3,0,0,0,-1,False
4.5,88,25772,0,0,0,437,0,0,0,3,0,0,0,-1,False
4.6,96,36953,0,0,0,3845,0,0,0,2,0,0,0,-1,False
4.7,78,36954,0,0,0,582,0,0,0,3,0,0,0,-1,False
4.8,87,36955,0,0,0,582,0,0,0,3,0,0,0,-1,False
4.9,16480,36956,0,0,0,3846,0,0,0,2,0,0,0,-1,False
4.10,3554,36952,0,0,0,2,0,0,0,9,0,0,0,-1,False
4.11,3556,36952,0,0,0,3,0,0,0,9,0,0,0,-1,False
4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
5.0,98,7409,0,0,0,282,0,0,0,3,0,0,0,-1,False
5.1,97,16495,0,0,0,285,0,0,0,3,0,0,0,-1,False
5.2,100,7406,0,0,0,168,0,0,0,3,0,0,0,-1,False
5.3,113,7407,0,0,0,168,0,0,0,3,0,0,0,-1,False
5.4,106,25783,0,0,0,444,0,0,0,3,0,0,0,-1,False
5.5,16496,25784,0,0,0,2692,0,0,0,2,0,0,0,-1,False
5.6,3559,7404,0,0,0,1,0,0,0,8,0,0,0,0,False
5.7,36974,16494,0,0,0,598,0,0,0,3,0,0,0,-1,False
5.8,110,36975,0,0,0,599,0,0,0,3,0,0,0,-1,False
5.9,107,36976,0,0,0,3862,0,0,0,2,0,0,0,-1,False
5.10,25785,36977,0,0,0,3863,0,0,0,2,0,0,0,-1,False
6.0,119,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
6.1,121,132,16532,0,0,180,307,0,0,3,3,0,0,-1,False
6.2,139,25860,0,0,0,488,0,0,0,3,0,0,0,-1,False
6.3,25862,28509,0,0,0,2709,0,0,0,2,0,0,0,-1,False
6.4,136,37009,0,0,0,3879,0,0,0,2,0,0,0,1,False
6.5,133,37010,0,0,0,624,0,0,0,3,0,0,0,-1,False
6.6,16536,37011,0,0,0,3881,0,0,0,2,0,0,0,-1,False
6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
6.10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
7.0,141,25797,0,0,0,1,0,0,0,8,0,0,0,-1,False
7.1,142,25797,0,0,0,1,0,0,0,8,0,0,0,-1,False
7.2,147,25794,0,0,0,462,0,0,0,3,0,0,0,-1,False
7.3,25793,25795,0,0,0,462,0,0,0,3,0,0,0,-1,False
7.4,144,153,36986,0,0,171,613,0,0,3,3,0,0,-1,False
7.5,7447,7420,36987,0,0,172,613,0,0,3,3,0,0,-1,False
7.6,3573,36988,0,0,0,737,0,0,0,7,0,0,0,-1,False
7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,False
8.0,163,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
8.1,16511,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
8.2,25883,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
8.3,25884,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
8.4,25822,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
8.5,25800,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
8.6,7429,16516,36998,0,0,1,2,0,0,8,8,0,0,-1,False
8.7,25802,25805,25838,0,0,468,481,0,0,3,3,0,0,-1,False
8.8,25803,25806,25839,0,0,469,481,0,0,3,3,0,0,-1,False
8.9,25804,25807,25840,0,0,470,481,0,0,3,3,0,0,-1,False
8.10,181,36990,0,0,0,617,0,0,0,3,0,0,0,-1,False
8.11,25801,36991,0,0,0,3873,0,0,0,2,0,0,0,-1,False
9.0,17864,17865,16540,0,0,324,311,0,0,3,3,0,0,-1,False
9.1,17869,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
9.2,7437,7869,0,0,0,1,0,0,0,8,0,0,0,-1,False
9.3,16539,25866,0,0,0,492,0,0,0,3,0,0,0,-1,False
9.4,16545,16546,0,0,0,2,0,0,0,8,0,0,0,-1,False
9.5,7436,37012,0,0,0,3882,0,0,0,2,0,0,0,-1,False
9.6,186,37013,37016,0,0,628,3884,0,0,3,2,0,0,-1,False
9.7,3586,37037,0,0,0,3884,0,0,0,2,0,0,0,-1,False
9.8,185,37015,0,0,0,3884,0,0,0,2,0,0,0,-1,False
10.0,2259,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
10.1,2261,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
10.2,2263,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
10.3,2260,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
10.4,2246,3566,0,0,0,515,0,0,0,3,0,0,0,-1,False
10.5,16493,25774,0,0,0,2723,0,0,0,2,0,0,0,1,False
10.6,2248,36957,0,0,0,585,0,0,0,3,0,0,0,-1,False
10.7,2258,36958,0,0,0,586,0,0,0,3,0,0,0,-1,False
10.8,7402,36960,0,0,0,0,0,0,0,4,0,0,0,-1,False
10.9,7401,36959,0,0,0,0,0,0,0,4,0,0,0,-1,False
10.10,7403,36961,0,0,0,3851,0,0,0,2,0,0,0,-1,False
11.0,2866,7411,0,0,0,288,0,0,0,3,0,0,0,-1,False
11.1,2868,7412,0,0,0,289,0,0,0,3,0,0,0,-1,False
11.2,2873,7413,0,0,0,290,0,0,0,3,0,0,0,-1,False
11.3,2872,16500,0,0,0,291,0,0,0,3,0,0,0,-1,False
11.4,2864,16501,0,0,0,294,0,0,0,3,0,0,0,-1,False
11.5,7415,16502,0,0,0,294,0,0,0,3,0,0,0,-1,False
11.6,2878,16766,0,0,0,1946,0,0,0,2,0,0,0,-1,False
11.7,2870,25786,0,0,0,449,0,0,0,3,0,0,0,-1,False
11.8,7410,36978,0,0,0,603,0,0,0,3,0,0,0,-1,False
11.9,2874,36979,0,0,0,604,0,0,0,3,0,0,0,-1,False
11.10,2890,36980,0,0,0,604,0,0,0,3,0,0,0,-1,False
11.11,25788,36981,0,0,0,3865,0,0,0,2,0,0,0,-1,False
11.12,7414,36982,0,0,0,3866,0,0,0,2,0,0,0,1,False
12.0,3629,32067,0,0,0,743,0,0,0,2,0,0,0,-1,False
12.1,16466,16469,0,0,0,271,0,0,0,3,0,0,0,-1,False
12.2,16467,16470,0,0,0,271,0,0,0,3,0,0,0,-1,False
12.3,3639,25755,0,0,0,749,0,0,0,7,0,0,0,-1,False
12.4,3625,7390,0,0,0,570,0,0,0,3,0,0,0,-1,False
12.5,3636,36927,0,0,0,571,0,0,0,3,0,0,0,-1,False
12.6,7392,36928,36929,36930,0,3836,3836,3836,0,2,4,4,0,-1,False
12.7,7391,36931,0,0,0,3836,0,0,0,2,0,0,0,-1,False
12.8,16472,36932,0,0,0,3837,0,0,0,2,0,0,0,1,False
13.0,37017,37018,0,0,0,1,0,0,0,8,0,0,0,-1,False
13.1,37019,37023,37026,0,0,2,2,0,0,8,8,0,0,-1,False
13.2,37020,37024,37027,0,0,3,3,0,0,8,8,0,0,-1,False
13.3,37021,37025,37028,0,0,4,4,0,0,8,8,0,0,-1,False
13.4,37022,7444,7445,0,0,5,5,0,0,8,8,0,0,-1,False
13.5,3599,3608,16554,0,0,186,314,0,0,3,3,0,0,-1,False
13.6,3596,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
13.7,3615,25872,0,0,0,498,0,0,0,3,0,0,0,-1,False
13.8,7439,8324,0,0,0,6,0,0,0,8,0,0,0,-1,False
13.9,16557,16558,0,0,0,7,0,0,0,8,0,0,0,-1,False
13.10,25874,25875,0,0,0,2718,0,0,0,12,0,0,0,0,False
13.11,16552,37029,0,0,0,3893,0,0,0,2,0,0,0,-1,False
13.12,3601,37030,0,0,0,633,0,0,0,3,0,0,0,-1,False
13.13,16559,37031,0,0,0,3895,0,0,0,2,0,0,0,-1,False
14.0,7867,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
14.1,16483,0,0,0,0,0,0,0,0,1,0,0,0,-1,False
