#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
0,0,0,10,False,False,False,False
1,92,7399,10,True,True,True,True
2,136,37009,10,True,True,False,False
3,16493,25774,10,True,True,False,False
4,7414,36982,10,True,True,False,False
5,25874,25875,10,True,True,True,True
6,16164,36937,10,True,True,False,False
7,3559,7404,10,True,True,True,False
8,7394,36944,10,True,True,True,True
9,25766,36949,10,True,True,False,False
10,7395,36950,10,True,True,False,False
11,36940,25761,10,True,True,True,False
12,36941,25763,10,True,True,True,False
13,3555,7400,10,True,True,True,True
14,96,36953,10,True,True,True,True
15,16480,36956,15,True,True,True,True
16,20,3538,10,True,True,False,False
17,3639,25755,10,True,True,True,True
18,16472,36932,10,True,True,False,False
19,16138,16153,10,True,True,False,False
20,16482,36964,10,True,True,True,True
21,107,36976,10,True,True,False,False
22,25785,36977,10,True,True,False,False
23,3573,36988,10,True,True,True,True
24,25801,36991,10,True,True,True,True
25,7520,37005,10,True,True,True,True
26,34685,34686,10,True,True,True,True
27,16536,37011,10,True,True,True,True
28,16545,16546,10,True,True,True,True
29,7436,37012,10,True,True,True,True
30,16552,37029,10,True,True,True,True
31,16559,37031,10,True,True,True,True
32,16011,25792,10,True,True,False,False
33,7521,37007,10,True,True,True,True
34,0,0,10,False,False,False,False
35,0,0,10,False,False,False,False
