#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
0,,0,0,0,0,0,0,0,0,0,0
1,physical ability is increased by UNKNOWN%,10,10,15,15,20,100,100,100,100,100
2,mental ability is increased by UNKNOWN%,10,10,15,15,20,100,100,100,100,100
3,tactical ability is increased by UNKNOWN%,10,10,15,15,20,100,100,100,100,100
4,physical ability for all squadron members is increased by UNKNOWN%,3,3,3,3,5,100,100,100,100,100
5,mental ability for all squadron members is increased by UNKNOWN%,3,3,3,3,5,100,100,100,100,100
6,tactical ability for all squadron members is increased by UNKNOWN%,3,3,3,3,5,100,100,100,100,100
7,EXP earned is increased by UNKNOWN%,10,10,20,20,30,100,100,100,100,100
8,EXP earned by all squadron members is increased by UNKNOWN%,5,5,10,10,15,100,100,100,100,100
9,party chemistry trigger rates increase by UNKNOWN%,10,20,30,40,50,100,100,100,100,100
10,there is a UNKNOWN% chance to receive Contemporary Warfare: Defense,0,0,0,0,0,10,20,30,40,50
11,there is a UNKNOWN% chance to receive Contemporary Warfare: Magicks,0,0,0,0,0,10,20,30,40,50
12,there is a UNKNOWN% chance to receive Contemporary Warfare: Offense,0,0,0,0,0,10,20,30,40,50
13,there is a UNKNOWN% chance to receive bonus gil,0,0,0,0,0,10,20,30,40,50
14,there is a UNKNOWN% chance to receive bonus company seals,0,0,0,0,0,10,20,30,40,50
15,there is a UNKNOWN% chance to receive bonus MGP,0,0,0,0,0,10,20,30,40,50
16,there is a UNKNOWN% chance to receive tank-specific materia,0,0,0,0,0,10,20,30,40,50
17,there is a UNKNOWN% chance to receive physical DPS-specific materia,0,0,0,0,0,10,20,30,40,50
18,there is a UNKNOWN% chance to receive DoM-specific materia,0,0,0,0,0,10,20,30,40,50
19,there is a UNKNOWN% chance to receive DoL-specific materia,0,0,0,0,0,10,20,30,40,50
20,there is a UNKNOWN% chance to receive DoH-specific materia,0,0,0,0,0,10,20,30,40,50
21,there is a UNKNOWN% chance to receive crystal clusters,0,0,0,0,0,10,20,30,40,50
22,there is a UNKNOWN% chance to receive gatherers' scrips,0,0,0,0,0,10,20,30,40,50
23,there is a UNKNOWN% chance to receive crafters' scrips,0,0,0,0,0,10,20,30,40,50
