#,Item,Theme[0],Theme[1],Unknown0,Material[0],Material[1],Material[2],Material[3],Amount[0],Amount[1],Amount[2],Amount[3],LevelReq,CraftingTime,Value
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37628,8,0,0,0,7,0,0,2,2,0,0,1,4,28
2,37633,8,16,0,8,14,7,0,2,1,1,0,1,4,28
3,37627,6,12,0,9,11,0,0,4,2,0,0,1,6,42
4,37630,3,15,0,4,5,0,0,2,2,0,0,1,4,28
5,37629,10,12,0,2,11,0,0,3,1,0,0,1,4,28
6,37631,10,15,0,6,11,0,0,3,3,0,0,1,6,42
7,37632,2,11,0,13,8,0,0,3,3,0,0,1,6,42
8,37634,7,12,0,10,3,0,0,3,3,0,0,1,6,42
9,37618,1,0,0,43,15,0,0,1,3,0,0,1,4,40
10,37619,3,0,0,45,12,0,0,1,3,0,0,1,4,40
11,37620,2,13,0,52,11,0,0,2,4,0,0,1,6,72
12,37621,5,14,0,53,10,0,0,1,3,0,0,1,4,44
13,37622,5,12,0,54,10,0,0,1,3,0,0,1,4,44
14,37623,3,14,0,56,5,0,0,1,3,0,0,1,4,44
15,37624,7,14,0,57,3,0,0,2,4,0,0,1,6,72
16,37625,10,14,0,58,11,0,0,1,3,0,0,1,4,44
17,37626,9,14,0,60,15,0,0,1,3,0,0,1,4,44
18,37635,6,16,0,19,14,10,0,2,2,2,0,5,6,48
19,37636,6,11,0,20,13,9,0,3,3,2,0,5,8,64
20,37637,8,0,0,27,7,2,0,2,3,3,0,5,8,136
21,37638,7,16,0,28,13,20,0,2,3,3,0,5,8,136
22,37639,2,12,0,29,13,3,0,2,3,3,0,5,8,136
23,37640,5,15,0,30,5,12,0,2,3,3,0,5,8,136
24,37641,10,11,0,31,20,6,0,2,3,3,0,5,8,136
25,37642,4,0,0,42,60,12,0,2,1,3,0,5,6,72
26,37643,3,0,0,50,7,12,0,2,1,1,0,5,4,48
27,37644,4,0,0,16,60,0,0,4,2,0,0,6,6,81
28,37645,10,13,0,17,13,11,0,2,2,2,0,6,6,54
29,37646,5,13,0,18,7,11,0,2,1,1,0,6,4,36
30,37647,2,13,0,55,17,18,0,2,2,2,0,6,6,81
31,37648,5,14,0,59,19,18,0,2,2,2,0,6,6,81
32,37649,1,15,0,24,15,0,0,4,2,0,0,7,6,54
33,37650,9,15,0,25,15,0,0,2,2,0,0,7,4,36
34,37651,8,15,0,26,0,5,0,2,2,2,0,7,6,54
35,37652,9,0,0,44,16,12,0,3,2,1,0,7,6,78
36,37654,9,0,0,47,16,7,0,2,1,1,0,7,4,52
37,37653,3,0,0,46,15,7,0,3,2,1,0,7,6,78
38,37655,4,15,0,48,24,16,0,3,2,1,0,7,6,78
39,37656,1,0,0,49,16,0,0,2,2,0,0,7,4,52
40,37657,1,0,0,51,1,16,0,4,2,2,0,7,8,104
41,37658,7,11,0,21,9,8,0,3,3,2,0,8,8,72
42,37659,10,16,0,22,21,3,0,3,3,2,0,8,8,72
43,37660,5,16,0,23,22,19,0,3,3,2,0,8,8,72
44,37661,8,0,0,43,7,5,0,3,2,1,0,8,6,78
45,37662,4,0,0,45,56,60,0,3,1,1,0,8,6,78
46,37663,6,14,0,52,17,18,0,3,2,1,0,8,6,90
47,37664,5,11,0,53,21,10,0,3,2,1,0,9,6,90
48,37665,6,13,0,54,17,9,0,4,2,2,0,9,8,120
49,37666,2,14,0,57,21,17,0,4,2,2,0,9,8,120
50,37667,7,12,0,58,22,9,0,4,2,2,0,9,8,120
51,39349,7,15,0,6,67,10,0,3,3,2,0,10,8,72
52,39350,4,8,0,68,16,0,0,2,2,0,0,10,4,36
53,39351,4,9,0,69,12,0,0,2,2,0,0,10,4,36
54,39352,16,0,0,70,8,0,0,4,4,0,0,10,8,80
55,39353,5,6,0,71,68,12,0,3,2,1,0,10,6,54
56,39354,9,8,0,74,7,0,0,2,2,0,0,11,4,52
57,39355,8,14,0,75,60,5,0,3,1,3,0,11,6,90
58,39356,3,8,0,48,24,15,0,2,1,1,0,11,4,52
59,39357,3,0,0,42,1,7,0,2,1,1,0,11,4,52
60,39358,9,0,0,46,12,5,0,2,1,1,0,11,4,52
61,40740,6,11,0,76,21,23,0,2,3,1,0,12,6,54
62,40741,5,0,0,78,22,13,0,3,3,2,0,12,8,80
63,40742,5,8,0,81,15,0,0,2,2,0,0,12,4,36
64,40743,3,15,0,83,4,25,47,2,2,2,2,12,8,136
65,40744,14,16,0,77,10,17,0,3,2,1,0,13,6,54
66,40745,6,16,0,79,23,19,0,4,2,2,0,13,8,72
67,40746,2,5,0,80,22,13,0,3,2,1,0,13,6,54
68,40747,16,0,0,82,8,0,0,4,4,0,0,13,8,80
69,40748,3,0,0,88,15,0,0,2,2,0,0,14,4,52
70,40749,3,0,0,89,42,60,0,3,1,1,0,14,6,78
71,40750,3,0,0,90,46,47,0,2,2,2,0,14,6,90
72,40751,1,0,0,91,5,16,0,4,2,2,0,14,8,104
73,41674,5,11,0,93,13,0,0,2,2,0,0,16,4,36
74,41676,5,0,0,95,80,8,0,2,2,2,0,16,6,60
75,41673,7,11,0,92,21,22,0,2,2,2,0,17,6,54
76,41675,10,11,0,94,93,22,0,4,2,2,0,17,8,72
77,41677,6,0,0,96,82,80,79,2,2,2,2,17,8,80
78,41669,4,0,0,101,44,1,68,1,1,1,1,18,4,52
79,41670,3,4,0,102,48,56,16,3,1,1,3,18,8,120
80,41671,3,0,0,103,48,15,0,2,1,3,0,18,6,75
81,41672,3,14,0,104,60,0,0,2,2,0,0,18,4,52
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
