#,Name,Quest,Icon,Value,ClassJob,Unknown_70,Level,ClassJobCategory,Unknown0,Unknown1
0,,0,0,0,0,0,0,0,0,False
1,Enhanced Vitality,0,0,0,0,0,0,0,0,False
2,Enhanced Vitality II,0,0,0,0,0,0,0,0,False
3,Enhanced Vitality III,0,0,0,0,0,0,0,0,False
4,Enhanced Vitality,0,0,0,0,0,0,0,0,False
5,Enhanced Vitality II,0,0,0,0,0,0,0,0,False
6,Enhanced Vitality III,0,0,0,0,0,0,0,0,False
7,Enhanced Strength,0,0,0,0,0,0,0,0,False
8,Enhanced Strength II,0,0,0,0,0,0,0,0,False
9,Enhanced Strength III,0,0,0,0,0,0,0,0,False
10,Enhanced Greased Lightning,0,0,0,0,0,0,0,0,False
11,Enhanced Greased Lightning II,0,0,0,0,0,0,0,0,False
12,Enhanced Strength,0,0,0,0,0,0,0,0,False
13,Enhanced Strength II,0,0,0,0,0,0,0,0,False
14,Enhanced Strength III,0,0,0,0,0,0,0,0,False
15,Enhanced Dexterity,0,0,0,0,0,0,0,0,False
16,Enhanced Dexterity II,0,0,0,0,0,0,0,0,False
17,Heavier Shot,0,5321,0,5,50,2,50,0,False
18,Increased Action Damage,0,5302,10,5,50,20,50,0,False
19,Enhanced Dexterity III,0,0,0,0,0,0,0,0,False
20,Increased Action Damage II,0,5303,20,5,50,40,50,0,False
21,Enhanced Mind,0,0,0,0,0,0,0,0,False
22,Enhanced Mind II,0,0,0,0,0,0,0,0,False
23,Maim and Mend,0,5185,10,6,53,20,53,0,False
24,Enhanced Mind III,0,0,0,0,0,0,0,0,False
25,Freecure,0,5330,0,6,53,32,53,0,False
26,Maim and Mend II,0,5186,30,6,53,40,53,0,False
27,Enhanced Intelligence,0,0,0,0,0,0,0,0,False
28,Enhanced Intelligence II,0,0,0,0,0,0,0,0,False
29,Maim and Mend,0,5185,10,7,55,20,55,0,False
30,Enhanced Intelligence III,0,0,0,0,0,0,0,0,False
31,Maim and Mend II,0,5186,30,7,55,40,55,0,False
32,Firestarter,0,5352,0,7,55,42,55,0,False
33,Thundercloud,0,5355,0,0,0,0,0,0,False
34,Auto Triangulate,0,5451,0,17,18,2,18,0,False
35,Enhanced Stealth,0,0,30,0,0,0,0,0,False
36,Enhanced Stealth II,0,0,40,0,0,0,0,0,False
37,Enhanced Stealth III,0,0,50,0,0,0,0,0,False
38,Auto Prospect,0,5426,0,16,17,2,17,0,False
39,Enhanced Stealth,0,0,30,0,0,0,0,0,False
40,Enhanced Stealth II,0,0,40,0,0,0,0,0,False
41,Enhanced Stealth III,0,0,50,0,0,0,0,0,False
42,Tree Whisperer,0,5455,0,17,18,11,18,0,False
43,Tree Whisperer II,0,5456,0,17,18,16,18,0,False
44,Tree Whisperer III,0,5457,0,17,18,21,18,0,False
45,Tree Whisperer IV,0,5458,0,17,18,26,18,0,False
46,Enhanced Twelve's Bounty,0,5459,0,17,18,41,18,0,False
47,Enhanced Twelve's Bounty II,0,5460,0,17,18,50,18,0,False
48,Stone Whisperer,0,5430,0,16,17,11,17,0,False
49,Stone Whisperer II,0,5431,0,16,17,16,17,0,False
50,Stone Whisperer III,0,5432,0,16,17,21,17,0,False
51,Stone Whisperer IV,0,5433,0,16,17,26,17,0,False
52,Enhanced Twelve's Bounty,0,5434,0,16,17,41,17,0,False
53,Enhanced Twelve's Bounty II,0,5435,0,16,17,50,17,0,False
54,Dunefishing,0,5483,0,18,19,35,19,0,False
