#,RequiredQuests0[0],RequiredQuests0[1],RequiredQuests0[2],RequiredQuests0[3],RequiredQuests1[0],RequiredQuests1[1],RequiredQuests1[2],RequiredQuests1[3],RequiredQuests2[0],RequiredQuests2[1],RequiredQuests2[2],RequiredQuests2[3],RequiredDevGrade[0],RequiredDevGrade[1],RequiredDevGrade[2],RequiredDevGrade[3],Unknown12[0],Unknown12[1],Unknown12[2],Unknown12[3]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3,67631,67631,67631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,67631,67631,67631,0,67633,67633,67633,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0
8,70789,70945,70984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
10,67624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,67624,0,0,0,67631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0
14,0,67623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0
17,70790,70946,0,0,0,0,0,0,70945,70984,0,0,0,0,0,0,0,0,0,0
18,70790,70946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0
