#,InlineName,Name,Color,Shade,Unknown0,Unknown1,SubOrder,IsMetallic,IsHousingApplicable
0,No Color,No Color,0,5728,0,2,1,False,True
1,Snow White,Snow White,14999504,52254,0,2,2,False,True
2,Ash Grey,Ash Grey,11315362,52254,0,2,3,False,True
3,Goobbue Grey,Goobbue Grey,9013124,52254,0,2,4,False,True
4,Slate Grey,Slate Grey,6645093,52254,0,2,5,False,True
5,Charcoal Grey,Charcoal Grey,4736834,52254,0,2,6,False,True
6,Soot Black,Soot Black,2828579,52254,0,2,7,False,True
7,Rose Pink,Rose Pink,15114134,52254,0,4,1,False,True
8,Lilac Purple,Lilac Purple,8612201,52254,0,4,2,False,True
9,Rolanberry Red,Rolanberry Red,5969705,52254,0,4,3,False,True
10,Dalamud Red,Dalamud Red,7871002,52254,0,4,4,False,True
11,Rust Red,Rust Red,6431239,52254,0,4,5,False,True
12,Wine Red,Wine Red,4527377,52254,0,4,6,False,True
13,Coral Pink,Coral Pink,13397086,52254,0,4,7,False,True
14,Blood Red,Blood Red,9517863,52254,0,4,8,False,True
15,Salmon Pink,Salmon Pink,14985866,52254,0,4,9,False,True
16,Sunset Orange,Sunset Orange,12016685,52254,0,5,1,False,True
17,Mesa Red,Mesa Red,8206598,52254,0,5,2,False,True
18,Bark Brown,Bark Brown,6966071,52254,0,5,3,False,True
19,Chocolate Brown,Chocolate Brown,7224612,52254,0,5,4,False,True
20,Russet Brown,Russet Brown,5188895,52254,0,5,5,False,True
21,Kobold Brown,Kobold Brown,3154203,52254,0,5,6,False,True
22,Cork Brown,Cork Brown,13209942,52254,0,5,7,False,True
23,Qiqirn Brown,Qiqirn Brown,10055231,52254,0,5,8,False,True
24,Opo-opo Brown,Opo-opo Brown,8084525,52254,0,5,9,False,True
25,Aldgoat Brown,Aldgoat Brown,10651484,52254,0,5,10,False,True
26,Pumpkin Orange,Pumpkin Orange,12940324,52254,0,5,11,False,True
27,Acorn Brown,Acorn Brown,9328667,52254,0,5,12,False,True
28,Orchard Brown,Orchard Brown,6570518,52254,0,5,13,False,True
29,Chestnut Brown,Chestnut Brown,4008205,52254,0,5,14,False,True
30,Gobbiebag Brown,Gobbiebag Brown,12166281,52254,0,5,15,False,True
31,Shale Brown,Shale Brown,9601388,52254,0,5,16,False,True
32,Mole Brown,Mole Brown,6378053,52254,0,5,17,False,True
33,Loam Brown,Loam Brown,4141865,52254,0,5,18,False,True
34,Bone White,Bone White,15455136,52254,0,6,1,False,True
35,Ul Brown,Ul Brown,12034928,52254,0,6,2,False,True
36,Desert Yellow,Desert Yellow,14398551,52254,0,6,3,False,True
37,Honey Yellow,Honey Yellow,16434731,52254,0,6,4,False,True
38,Millioncorn Yellow,Millioncorn Yellow,14982708,52254,0,6,5,False,True
39,Coeurl Yellow,Coeurl Yellow,12355588,52254,0,6,6,False,True
40,Cream Yellow,Cream Yellow,15914864,52254,0,6,7,False,True
41,Halatali Yellow,Halatali Yellow,10847280,52254,0,6,8,False,True
42,Raisin Brown,Raisin Brown,4207377,52254,0,6,9,False,True
43,Mud Green,Mud Green,5788208,52254,0,7,1,False,True
44,Sylph Green,Sylph Green,12303242,52254,0,7,2,False,True
45,Lime Green,Lime Green,11251796,52254,0,7,3,False,True
46,Moss Green,Moss Green,7369510,52254,0,7,4,False,True
47,Meadow Green,Meadow Green,9149539,52254,0,7,5,False,True
48,Olive Green,Olive Green,4936242,52254,0,7,6,False,True
49,Marsh Green,Marsh Green,3290657,52254,0,7,7,False,True
50,Apple Green,Apple Green,10204003,52254,0,7,8,False,True
51,Cactuar Green,Cactuar Green,6652481,52254,0,7,9,False,True
52,Hunter Green,Hunter Green,2640684,52254,0,7,10,False,True
53,Ochu Green,Ochu Green,4219705,52254,0,7,11,False,True
54,Adamantoise Green,Adamantoise Green,6255960,52254,0,7,12,False,True
55,Nophica Green,Nophica Green,3886396,52254,0,7,13,False,True
56,Deepwood Green,Deepwood Green,1976865,52254,0,7,14,False,True
57,Celeste Green,Celeste Green,9878969,52254,0,7,15,False,True
58,Turquoise Green,Turquoise Green,4420210,52254,0,7,16,False,True
59,Morbol Green,Morbol Green,2049606,52254,0,7,17,False,True
60,Ice Blue,Ice Blue,11715790,52254,0,8,1,False,True
61,Sky Blue,Sky Blue,8630482,52254,0,8,2,False,True
62,Seafog Blue,Seafog Blue,6586784,52254,0,8,3,False,True
63,Peacock Blue,Peacock Blue,3893382,52254,0,8,4,False,True
64,Rhotano Blue,Rhotano Blue,1850708,52254,0,8,5,False,True
65,Corpse Blue,Corpse Blue,9345964,52254,0,8,6,False,True
66,Ceruleum Blue,Ceruleum Blue,5199718,52254,0,8,7,False,True
67,Woad Blue,Woad Blue,3094609,52254,0,8,8,False,True
68,Ink Blue,Ink Blue,1711911,52254,0,8,9,False,True
69,Raptor Blue,Raptor Blue,5996480,52254,0,8,10,False,True
70,Othard Blue,Othard Blue,3102857,52254,0,8,11,False,True
71,Storm Blue,Storm Blue,2310514,52254,0,8,12,False,True
72,Void Blue,Void Blue,1124676,52254,0,8,13,False,True
73,Royal Blue,Royal Blue,2568295,52254,0,8,14,False,True
74,Midnight Blue,Midnight Blue,1579319,52254,0,8,15,False,True
75,Shadow Blue,Shadow Blue,3618631,52254,0,8,16,False,True
76,Abyssal Blue,Abyssal Blue,3222871,52254,0,8,17,False,True
77,Lavender Purple,Lavender Purple,8880046,52254,0,9,1,False,True
78,Gloom Purple,Gloom Purple,5326176,52254,0,9,2,False,True
79,Currant Purple,Currant Purple,3288123,52254,0,9,3,False,True
80,Iris Purple,Iris Purple,12033724,52254,0,9,4,False,True
81,Grape Purple,Grape Purple,3877437,52254,0,9,5,False,True
82,Lotus Pink,Lotus Pink,16699125,52254,0,9,6,False,True
83,Colibri Pink,Colibri Pink,14457802,52254,0,9,7,False,True
84,Plum Purple,Plum Purple,7950956,52254,0,9,8,False,True
85,Regal Purple,Regal Purple,6697038,52254,0,9,9,False,True
86,Ruby Red,Ruby Red,14942225,52255,0,4,10,False,True
87,Cherry Pink,Cherry Pink,16070555,52255,0,4,11,False,True
88,Canary Yellow,Canary Yellow,16709732,52255,0,6,10,False,True
89,Vanilla Yellow,Vanilla Yellow,16511412,52255,0,6,11,False,True
90,Dragoon Blue,Dragoon Blue,3746,52255,0,8,18,False,True
91,Turquoise Blue,Turquoise Blue,307149,52255,0,8,19,False,True
92,Gunmetal Black,Gunmetal Black,6316136,52255,0,10,21,True,False
93,Pearl White,Pearl White,15328218,52255,0,10,22,True,False
94,Metallic Brass,Metallic Brass,15192471,52255,0,10,23,True,False
95,Carmine Red,Carmine Red,14551830,52256,0,4,12,False,True
