#,Unknown0,Unknown1,Action[0],Action[1],Unknown2
0,0,0,0,0,0
1,0,377,4575,4564,34
2,0,0,4574,4563,34
3,0,383,4575,4562,34
4,0,0,4576,4563,210
5,0,383,4574,4562,34
6,0,377,4576,4564,210
7,0,383,4577,4565,34
8,0,400,4574,4563,34
9,0,401,4575,4562,34
10,0,402,4577,4561,34
11,0,403,4578,4562,34
12,0,436,4573,4562,211
13,0,437,4574,4563,3604
14,0,0,4575,4561,5896
15,0,436,4576,4564,34
16,0,437,4577,4565,34
17,0,540,4574,4563,34
18,0,0,4579,4567,34
19,0,437,4580,4568,34
20,0,0,4581,4569,34
21,0,436,4582,4570,34
22,0,461,4576,4564,210
23,0,0,4575,4563,210
24,0,461,4574,4562,34
25,0,0,4573,4561,34
26,0,461,4576,4564,210
27,0,378,4573,4561,34
28,0,379,4573,4561,34
29,0,385,4573,4561,34
30,0,0,4573,4561,34
31,0,386,4574,4561,34
32,0,0,4573,4562,34
33,0,387,4577,4562,34
34,0,0,4573,4561,34
35,0,388,4574,4561,34
36,0,0,4573,4562,34
37,0,497,4575,4562,34
38,0,497,4576,4563,34
39,0,498,4577,4564,34
40,4.5,499,4573,4561,34
41,0,514,4574,4561,34
42,0,513,4573,4561,34
43,0,541,4573,4561,34
44,0,546,4575,4564,34
45,0,547,4574,4562,34
