key,0,1,2,3,4,5,6,7,8,9,10
#,Tier,Order,MaxSeals,RequiredSeals,Icon{Maelstrom},Icon{Serpents},Icon{Flames},Quest{Maelstrom},Quest{Serpents},Quest{Flames},
int32,byte,byte,uint32,uint32,Image,Image,Image,Quest,Quest,Quest,byte
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,10000,2000,83001,83051,83101,0,0,0,0
2,1,2,15000,3000,83002,83052,83102,0,0,0,0
3,1,3,20000,4000,83003,83053,83103,0,0,0,0
4,1,4,25000,5000,83004,83054,83104,0,0,0,0
5,2,5,30000,6000,83005,83055,83105,0,0,0,1
6,2,6,35000,7000,83006,83056,83106,0,0,0,0
7,2,7,40000,8000,83007,83057,83107,0,0,0,0
8,2,8,45000,9000,83008,83058,83108,66664,66665,66666,0
9,3,9,50000,10000,83009,83059,83109,66667,66668,66669,2
10,3,10,80000,0,83010,83060,83110,0,0,0,0
11,3,11,90000,0,83011,83061,83111,0,0,0,0
12,4,12,100000,0,83012,83062,83112,0,0,0,0
13,4,13,100000,0,83013,83063,83113,0,0,0,0
14,4,14,100000,0,83014,83064,83114,0,0,0,0
15,5,15,150000,0,83015,83065,83115,0,0,0,0
16,5,16,150000,0,83016,83066,83116,0,0,0,0
17,5,17,150000,0,83017,83067,83117,0,0,0,0
18,5,18,150000,0,83018,83068,83118,0,0,0,0
19,6,19,200000,0,83019,83069,83119,0,0,0,0
