#,MaleENpcBase,FemaleENpcBase,Race
0.0,0,0,0
1.0,1008837,1008838,0
1.1,1008839,1008840,1
1.2,1008841,1008842,2
1.3,1008843,1008844,3
1.4,1008845,1008846,4
1.5,1013117,1013118,5
2.0,1008847,1008848,0
2.1,1008849,1008850,1
2.2,1008851,1008852,2
2.3,1008853,1008854,3
2.4,1008855,1008856,4
2.5,1013119,1013120,5
3.0,1008867,1008868,0
3.1,1008869,1008870,1
3.2,1008871,1008872,2
3.3,1008873,1008874,3
3.4,1008875,1008876,4
3.5,1013121,1013122,5
4.0,1016176,1016177,0
4.1,1016178,1016179,1
4.2,1016180,1016181,2
4.3,1016182,1016183,3
4.4,1016184,1016185,4
4.5,1016186,1016187,5
5.0,1018272,1018273,0
5.1,1018274,1018275,1
5.2,1018276,1018277,2
5.3,1018278,1018279,3
5.4,1018280,1018281,4
5.5,1018282,1018283,5
6.0,1018662,1018663,0
6.1,1018664,1018665,1
6.2,1018666,1018667,2
6.3,1018668,1018669,3
6.4,1018670,1018671,4
6.5,1018672,1018673,5
7.0,1018674,1018675,0
7.1,1018676,1018677,1
7.2,1018678,1018679,2
7.3,1018680,1018681,3
7.4,1018682,1018683,4
7.5,1018684,1018685,5
8.0,1018686,1018687,0
8.1,1018688,1018689,1
8.2,1018690,1018691,2
8.3,1018692,1018693,3
8.4,1018694,1018695,4
8.5,1018696,1018697,5
9.0,1024548,1024549,0
9.1,1024550,1024551,1
9.2,1024552,1024553,2
9.3,1024554,1024555,3
9.4,1024556,1024557,4
9.5,1024558,1024559,5
10.0,1024560,1024561,0
10.1,1024562,1024563,1
10.2,1024564,1024565,2
10.3,1024566,1024567,3
10.4,1024568,1024569,4
10.5,1024570,1024571,5
11.0,1024572,1024573,0
11.1,1024574,1024575,1
11.2,1024576,1024577,2
11.3,1024578,1024579,3
11.4,1024580,1024581,4
11.5,1024582,1024583,5
12.0,1025027,1025028,0
12.1,1025029,1025030,1
12.2,1025031,1025032,2
12.3,1025033,1025034,3
12.4,1025035,1025036,4
12.5,1025037,1025038,5
13.0,1025039,0,7
14.0,1025040,0,7
15.0,1025041,0,7
16.0,1025042,0,7
17.0,1025043,0,8
18.0,1025044,0,8
19.0,1025045,0,8
20.0,1025046,0,8
21.0,1025717,0,9
21.1,1026169,0,10
22.0,1025718,0,9
22.1,1026170,0,10
23.0,1025719,0,9
23.1,1026171,0,10
24.0,1025720,0,9
24.1,1026172,0,10
25.0,1025913,1025914,0
25.1,1025915,1025916,1
25.2,1025917,1025918,2
25.3,1025919,1025920,3
25.4,1025921,1025922,4
25.5,1025923,1025924,5
26.0,1027015,0,11
27.0,1027016,0,11
28.0,1027017,0,11
29.0,1027018,0,11
30.0,1032491,0,0
31.0,1045242,0,12
31.1,1045256,0,13
32.0,1045243,0,12
32.1,1045257,0,13
33.0,1045244,0,12
33.1,1045258,0,13
34.0,1045245,0,12
34.1,1045259,0,13
35.0,1056020,0,14
35.1,1056024,0,15
36.0,1056021,0,14
36.1,1056025,0,15
37.0,1056022,0,14
37.1,1056026,0,15
38.0,1056023,0,14
38.1,1056027,0,15
