key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
#,TripleTriadCard{Fixed}[0],TripleTriadCard{Fixed}[1],TripleTriadCard{Fixed}[2],TripleTriadCard{Fixed}[3],TripleTriadCard{Fixed}[4],TripleTriadCard{Variable}[0],TripleTriadCard{Variable}[1],TripleTriadCard{Variable}[2],TripleTriadCard{Variable}[3],TripleTriadCard{Variable}[4],TripleTriadRule[0],TripleTriadRule[1],UsesRegionalRules,Fee,PreviousQuestJoin,PreviousQuest[0],PreviousQuest[1],PreviousQuest[2],StartTime,EndTime,DefaultTalk{Challenge},DefaultTalk{Unavailable},DefaultTalk{NPCWin},DefaultTalk{Draw},DefaultTalk{PCWin},,Item{PossibleReward}[0],Item{PossibleReward}[1],Item{PossibleReward}[2],Item{PossibleReward}[3]
int32,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadCard,TripleTriadRule,TripleTriadRule,bit&01,uint16,byte,Quest,Quest,Quest,uint16,uint16,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,DefaultTalk,bit&02,Item,Item,Item,Item
2293760,0,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0
2293761,0,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0
2293762,37,14,1,0,0,21,2,7,12,0,2,0,False,10,1,0,0,0,0,0,592042,592043,592044,592045,592046,True,9808,9785,9773,14198
2293763,23,3,4,0,0,26,11,15,20,0,2,4,True,10,1,0,0,0,0,0,592047,592048,592049,592050,592051,False,9786,9791,0,0
2293764,36,7,10,0,0,24,16,8,0,0,2,0,False,10,1,0,0,0,0,0,592052,592053,592054,592055,592056,False,9787,9779,0,0
2293765,26,9,13,0,0,25,15,5,6,0,2,0,False,10,1,0,0,0,0,0,592057,592058,592059,592060,592061,False,9780,9776,0,0
2293766,38,26,6,0,0,27,13,11,8,0,3,6,True,15,1,0,0,0,0,0,592062,592063,592064,592065,592066,False,9798,9784,0,0
2293767,30,29,15,0,0,35,28,11,12,5,3,0,False,15,1,66046,0,0,0,0,592067,592068,592069,592070,592071,False,9801,9783,0,0
