key,0
#,BaseResistance
int32,uint16
0,0
1,100
2,105
3,110
4,116
5,122
6,128
7,134
8,141
9,148
10,155
11,163
12,171
13,180
14,189
15,198
16,208
17,218
18,229
19,241
20,253
21,265
22,279
23,293
24,307
25,323
26,339
27,356
28,373
29,392
30,412
31,432
32,454
33,476
34,500
35,525
36,552
37,579
38,608
39,639
40,670
41,704
42,739
43,776
44,815
45,856
46,899
47,943
48,991
49,1040
50,1092
51,1147
52,1204
53,1264
54,1327
55,1394
56,1464
57,1537
58,1614
59,1694
60,1779
61,1868
62,1961
63,2059
64,2162
65,2270
66,2384
