#,Name,Icon,StartAnimation,LoopAnimation,EndAnimation,CastTime
0,,1,0,0,0,0
1,Interacting,19603,80,81,82,2
2,Interacting,19603,80,81,82,2
3,Interacting,19603,80,81,82,5
4,Interacting,19603,80,81,82,10
5,Interacting,19603,80,81,82,15
6,Interacting,19603,80,81,82,2
7,Interacting,19603,80,81,82,5
8,Interacting,19603,80,81,82,10
9,Interacting,19603,80,81,82,15
10,Waiting,19604,175,176,177,2
11,Waiting,19604,175,176,177,2
12,Waiting,19604,175,176,177,5
13,Waiting,19604,175,176,177,10
14,Interacting,19603,80,81,82,2
15,Interacting,19603,80,81,82,2
16,Interacting,19603,80,81,82,5
17,Interacting,19603,80,81,82,10
18,Interacting,19603,80,81,82,2
19,Attuning,19605,169,170,171,5
20,Interacting,19603,80,81,82,1
21,Interacting,19603,80,81,82,2
22,Interacting,19603,80,81,82,5
23,Interacting,19603,172,173,174,1
24,Interacting,19603,172,173,174,2
25,Interacting,19603,172,173,174,5
26,Aiding,19603,184,185,186,2
27,Whistling,19604,178,179,180,2
28,Standing Watch,19604,175,176,177,10
29,Recording,19603,172,173,174,1
30,Whistling,19603,178,179,180,2
31,Interacting,19603,181,182,183,2
32,Interacting,19603,181,182,183,5
33,Interacting,19603,181,182,183,10
34,Aiding,19603,184,185,186,2
35,Aiding,19603,184,185,186,5
36,Aiding,19603,184,185,186,10
37,Interacting,19603,178,179,180,2
38,Aiding,19603,172,173,174,2
39,Aiding,19603,172,173,174,5
40,Aiding,19603,172,173,174,10
41,Surveying,19604,175,176,177,10
42,Untying,19603,181,182,183,10
43,Interacting,19603,172,173,174,10
44,Interacting,19603,184,185,186,10
45,Interacting,19603,172,173,174,2
46,Interacting,19603,172,173,174,5
47,Interacting,19603,172,173,174,10
48,Spooking,19603,181,182,183,5
49,Closing Valve,19603,181,182,183,5
50,Surveying,19604,175,176,177,5
51,Opening Valve,19603,181,182,183,5
52,Interacting,19603,80,81,82,1
53,Interacting,19603,181,182,183,2
54,Interacting,19603,181,182,183,5
55,Interacting,19603,181,182,183,10
56,Standing Watch,19604,175,176,177,5
57,Occupying,19603,172,173,174,2
58,Occupying,19603,172,173,174,5
59,Occupying,19603,172,173,174,10
60,Attuning,19603,172,173,174,5
61,Interacting,19603,0,0,0,2
62,Interacting,19603,80,81,82,8
63,Interacting,19603,0,0,0,5
64,Interacting,19603,0,0,0,0
65,Refueling,19603,80,81,82,3
66,Claiming,19603,172,173,174,5
67,Mounting,19603,172,173,174,2
68,Surveying,19603,175,176,177,2
69,Interacting,19603,172,173,174,1
70,Carving,19603,181,182,183,5
71,Invoke,19603,172,173,174,2
72,Assisting,19603,184,185,186,5
73,Healing,19673,0,5704,5705,5
74,Gathering,19603,80,81,82,3
75,Obtaining,19603,80,81,82,4
76,Processing,19603,0,7347,151,7
77,Assembling,19603,0,7346,151,10
78,Feeding,19603,172,173,174,10
79,Claiming,19603,80,81,82,6
80,Loading,19603,0,4189,12632,3
81,Breaking,19603,0,7364,151,10
82,Mixing,19603,0,7365,151,7
83,Sweeping,19603,0,7366,151,10
84,Obtaining,19603,184,185,186,4
85,Repairing,19603,0,7399,151,10
86,Touching Shrine,19603,172,173,174,2
87,Building,19603,0,7394,151,10
88,Feeding,19603,181,182,183,7
89,Obtaining,19603,80,81,82,10
90,Sewing,19603,0,7421,150,10
91,Transporting,19603,80,81,82,3
92,Loading,19603,0,4189,12632,2
93,Examining,19603,80,81,82,5
94,Mounting,19603,172,173,174,2
95,Handing Over,19603,0,4189,12632,3
96,Setting Explosives,19603,181,182,183,5
97,Eating,19603,0,8436,0,9
98,Eating,19603,0,8436,0,3
99,Refueling,19603,0,208,12632,3
100,Listening,19603,0,155,0,5
101,Calming,19603,172,173,174,5
102,Gift Aether,19603,172,173,174,5
103,Whistling,19603,178,179,180,3
104,Aiding,19603,181,182,183,5
105,Interacting,19603,181,182,183,3
106,Assisting,19603,172,173,174,5
107,Channeling Aether,19603,169,170,171,5
108,Stroking,19603,11987,11988,11989,5
109,Transporting,19603,0,0,0,1
110,Delivering,19603,172,173,174,3
111,Drilling,19603,0,12261,12481,6
112,Drilling,19603,0,12260,12474,6
113,Vacuuming,19603,0,12259,12474,6
114,Welding,19603,0,12258,12474,6
115,Acquiring,19603,172,173,12473,4
116,Fabricating,19603,181,182,12480,5
117,Gathering,19603,80,81,82,6
118,Unloading,19603,0,4189,12474,3
119,Retrieving,19603,181,182,12470,4
120,Charging,19603,172,173,12471,6
121,Returning,19603,181,182,12472,4
122,Working,19603,0,7394,12474,6
123,Obtaining,19603,181,182,183,1
124,Interacting,19612,181,182,183,2
125,Welding,19603,0,12425,12474,6
126,Chilling,19603,0,12424,12468,5
127,Procuring,19603,172,173,174,5
128,Chilling,19603,0,12467,12469,5
129,Drilling,19603,0,12261,12482,6
130,Carving,19603,12483,12484,12485,3
131,,0,0,0,0,0
132,Balloon Motif,19730,12520,12521,12522,3
133,Nixie Motif,19730,12523,12524,12525,3
134,Digging,19603,0,12534,151,5
135,Spraying,19603,0,12537,12538,5
136,Gathering,19603,80,81,12535,6
137,Lifting,19603,181,182,12539,4
138,Lifting,19603,181,182,12542,4
139,Channeling,19603,12557,12558,12541,5
140,Channeling,19603,12559,12560,12544,5
141,Drilling,19603,0,12261,12545,6
142,Refilling,19603,172,173,174,5
143,,0,0,0,0,0
144,,0,0,0,0,0
