#,FirstQuest,LastQuest,Unknown0
0,0,346,0
1,346,561,1
2,561,641,1
3,641,735,1
4,735,760,1
5,760,779,1
6,779,901,1
7,901,941,1
8,941,1047,1
9,1047,1079,1
10,1079,1098,1
11,1098,1206,1
12,1206,1253,1
13,1253,1353,1
14,1353,1378,1
15,1378,1396,1
16,1396,1412,1
17,1412,1418,1
18,1418,1428,1
19,1428,1443,1
20,1443,1453,1
21,1453,1460,1
22,1460,1477,2
23,1477,1489,1
24,1489,1494,1
25,1494,1512,1
26,1512,1532,1
27,1532,1538,1
28,1538,1555,2
29,1555,1565,1
30,1565,1583,1
31,1583,1593,1
32,1593,1627,2
33,1627,1661,2
34,1661,1695,2
35,1695,1697,2
36,1697,1732,2
37,1732,1767,2
38,1767,1802,2
39,1802,1837,2
40,1837,1879,2
41,1879,1917,2
42,1917,1943,2
43,1943,1981,2
44,1981,2012,2
45,2012,2046,2
46,2046,2081,2
47,2081,2115,2
48,2115,2155,2
49,2155,2189,2
50,2189,2223,2
51,2223,2257,2
52,2257,2291,2
53,2291,2310,2
54,2310,2318,2
55,2318,2383,2
56,2383,2465,2
57,2465,2587,2
58,2587,2637,2
59,2637,2767,3
60,2767,2885,3
61,2885,3023,3
62,3023,3106,3
63,3106,3150,3
64,3150,3173,3
65,3173,3209,3
66,3209,3382,3
67,3382,3396,3
68,3396,3503,3
69,3503,3643,3
70,3643,3663,3
71,3663,3712,3
72,3712,3769,3
73,3769,3820,3
74,3820,3865,3
75,3865,3911,3
76,3911,3930,3
77,3930,3994,3
78,3994,4038,3
79,4038,4071,3
80,4071,4091,3
81,4091,4140,3
82,4140,4160,3
83,4160,4272,3
84,4272,4331,3
85,4331,4339,3
86,4339,4399,2
87,4399,4430,2
88,4430,4606,2
89,4606,4672,2
90,4672,4689,2
91,4689,4726,2
92,4726,4763,2
93,4763,4979,2
94,4979,5130,2
95,5130,5225,2
96,5225,5240,2
97,5240,5541,2
98,5541,5561,2
99,5561,5768,3
100,5768,5898,3
101,5898,6034,3
102,6034,6154,3
103,6154,6295,3
104,6295,6435,3
105,6435,6575,3
106,6575,6715,3
107,6715,6855,3
108,6855,6995,3
109,6995,7135,3
110,7135,7275,3
111,0,0,3
112,0,0,3
113,0,0,3
114,0,0,3
115,0,0,3
116,0,0,3
117,0,0,3
118,0,0,3
119,0,0,3
120,0,0,3
121,0,0,3
122,0,0,3
123,0,0,2
124,7275,7341,2
125,7341,7432,2
126,7432,7512,2
127,7512,7588,2
128,7588,7649,2
129,7649,7726,2
130,7726,7804,2
131,0,0,2
