#,Action,Category,Type,Max,Weight,Order
0,0,0,0,0,0,0
1,20701,6,1,99,3,1
2,20702,6,1,99,3,2
3,20703,2,1,2,16,3
4,20704,6,1,15,3,4
5,20705,5,1,99,2,5
6,20706,4,1,0,3,6
7,20707,4,1,0,3,7
8,20708,5,1,25,4,8
9,20709,4,1,0,2,9
10,20710,4,1,0,2,10
11,20711,4,1,99,8,11
12,20712,4,1,99,4,12
13,20713,4,1,99,8,13
14,20714,1,1,32,6,14
15,20715,1,1,10,25,15
16,20716,5,1,5,20,16
17,20717,1,1,10,25,17
18,20718,1,1,10,10,18
19,20719,1,1,10,6,19
20,20720,1,1,10,10,20
21,20721,1,1,10,10,21
22,20722,2,1,10,6,22
23,20723,2,1,10,6,23
24,20724,3,1,10,6,24
25,20725,1,1,10,6,25
26,20726,3,1,0,2,26
27,20727,3,1,50,5,27
28,20728,3,1,99,3,28
29,20729,3,1,25,5,29
30,20730,3,1,5,6,30
31,20731,2,1,0,2,31
32,20732,1,1,99,2,32
33,20733,5,1,1,12,33
34,20734,7,2,1,11,34
35,20735,7,2,1,4,35
36,20736,7,2,1,8,36
37,20737,7,2,1,3,37
38,20738,7,2,1,3,38
39,20739,7,2,1,3,39
40,20740,7,2,1,1,40
41,20741,7,2,1,4,41
42,20742,7,2,1,4,42
43,20743,7,2,1,4,43
44,20744,7,2,1,4,44
45,20745,7,2,1,4,45
46,20746,7,2,1,6,46
47,20747,7,2,1,6,47
48,20748,7,2,1,6,48
49,20749,7,2,1,6,49
50,20750,7,2,1,6,50
51,20751,7,2,1,6,51
52,20752,7,2,1,6,52
53,20753,7,2,1,6,53
54,20754,7,2,1,6,54
55,20755,7,2,1,6,55
56,20756,7,2,1,6,56
57,20757,7,2,1,6,57
58,20758,7,2,1,6,58
59,20759,7,2,1,6,59
60,20760,7,2,1,6,60
61,20761,7,2,1,10,61
62,20762,7,2,1,10,62
63,20763,7,2,1,10,63
64,20764,7,2,1,10,64
65,20765,7,2,1,10,65
66,20766,7,2,1,10,66
67,20767,7,2,1,10,67
68,20768,7,2,1,10,68
69,20769,7,2,1,10,69
70,20770,7,2,1,10,70
71,22344,5,1,99,4,71
72,22345,3,1,1,19,72
73,22346,7,2,1,12,73
74,22347,7,2,1,12,74
75,22348,7,2,1,12,75
76,22349,7,2,1,12,76
77,22350,7,2,1,12,77
78,22351,7,2,1,12,78
79,22352,1,1,0,20,79
80,22353,6,1,15,8,80
81,22354,6,1,0,8,81
82,22355,4,1,15,8,82
83,22356,4,1,15,8,83
84,23907,7,2,1,1,84
85,23908,4,1,99,5,85
86,23909,6,1,99,5,86
87,23910,6,1,99,5,87
88,23911,7,2,1,1,88
89,23912,3,1,2,12,89
90,23913,1,1,20,20,90
91,23914,1,1,99,8,91
92,23915,4,1,0,3,92
93,23916,4,1,0,3,93
94,23917,4,1,99,5,94
95,23918,5,1,50,10,95
96,23919,2,1,5,25,96
97,23920,3,1,10,15,97
98,23921,2,1,10,25,98
99,23922,7,2,1,4,99
