#,Text,Unknown6,BalloonTime,Unknown0,Unknown7,Unknown8,OutputType,Unknown_70,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,IsBalloonSlow,BattleTalkTime
0,0,0,1,0,0,0,1,0,1,25,False,False,False,False,False
1,0,0,1,0,0,0,3,0,1,25,False,False,False,False,False
2,0,0,5,0,0,0,3,0,1,25,False,False,False,False,False
3,Hush! The anoles draw near!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
4,Allow not a single imp to escape!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
5,There are too many of them!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
6,The gnats! They're everywhere!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
7,Hostile sylphs approach! Draw your weapons!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
8,Whence did these stags come!?,0,5,0,0,0,3,0,1,25,False,False,False,False,False
9,We must keep the roads safe!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
10,These knaves must be taught a lesson!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
11,It is the beans they are after!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
12,The Ixal! Someone save us!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
13,What are ziz doing this far east!?,0,5,0,0,0,3,0,1,25,False,False,False,False,False
14,The bud! We must protect the bud!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
15,Take care. Something has the opo-opos in a frenzy.,0,5,0,0,0,3,0,1,25,False,False,False,False,False
16,Seven hells! It's time for a change in plans.,0,5,0,0,0,3,0,1,25,False,False,False,False,False
17,"Kill them all, my pet!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
18,Would someone be so kind as to assist us?,0,5,0,0,0,3,0,1,25,False,False,False,False,False
19,My wares! Those damned goblins have made off with my wares!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
20,Would ye look at all them golems!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
21,Not *more* imps! They'll have all our honey!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
22,"At this rate, there'll be no flowers left at all!",0,5,0,0,0,3,0,1,25,False,False,False,False,False
23,Intercept the Ixali raiders!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
24,Get this man away from me!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
25,Excelsior!,0,5,0,0,0,3,0,1,25,False,False,False,False,False
26,Ngaaah!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
27,Hyah!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
28,Begone!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
29,Down with you!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
30,Try that again!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
31,You're mine!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
32,Had enough!?,0,5,0,0,0,2,0,1,25,False,False,False,False,False
33,Take that!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
34,Yaaaaaah!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
35,I'll kill all ye bastards!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
36,Out of me way!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
37,Yer head's mine!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
38,Let us dance!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
39,Seek you audience with the king?,0,5,0,0,0,2,0,1,25,False,False,False,False,False
40,Kneel before your king!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
41,I want to hear you sing!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
42,Come a little closer.,0,3,0,0,0,2,0,1,25,False,False,False,False,False
43,Why do you defy me?,0,5,0,0,0,2,0,1,25,False,False,False,False,False
44,I am not amused!,0,5,0,0,0,2,0,1,25,False,False,False,False,False
45,"Dance, you fools!",0,3,0,0,0,2,0,1,25,False,False,False,False,False
46,Is this what you seek?,0,3,0,0,0,2,0,1,25,False,False,False,False,False
47,Hissssss!,0,3,0,0,0,2,0,1,25,False,False,False,False,False
