#,Unknown0,Unknown1
0,,0
1,,0
2,Find a potential customer.,2
3,View the stone pillars.,3
4,View the stone pillars.,4
5,Select an item.,5
6,,0
7,Gather information and prepare for the auction.,7
8,Help define Picot's Seneschal Prince persona.,8
9,Observe the plants in Weddingway's Bower.,9
10,Tell Sphene about the city!,10
11,Enter a combination and press the confirm key.,11
12,Examine the jewel display plate.,12
13,Take in the view from the Iridized Rise.,13
14,,0
15,,0
16,Examine the scenery at Shadefleet.,16
17,,0
