#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Item1,Item2,PopRange0,PopRange1,PopRange2,Unknown5,Unknown6,Unknown7,Unknown8,Image,PlaceName,Unknown9,Objective1,Objective2,Objective3,RequiredAmount1,RequiredAmount2,Unknown10,Unknown11,Unknown12,Unknown13
0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Operation Landsweep,"Ever since a vagrant ruin drifted into the vicinity of the Diadem, the elemental balance of the isles has fallen into chaos. The land has undergone dramatic transformations, and we seek adventurers to conduct sweeping surveys and report on newly available resources. Mining, harvesting, fishing─gather the Diadem's bounty by whichever means you wish, and fear not that we will tax the riches you claim. We care only for the knowledge you uncover.

※Fill the evaluation gauge by gathering or participating in FATEs.","Operation Command here.
We have received your resources report and will add your findings to our ongoing appraisal.",Pray proceed to the *Bounty* to accept your reward.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!",0,0,0,0,0,0,0,0,6710323,111102,0,0,10,11,12,0,0,0,0,0,0
6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Operation Crystal Boon,"Elemental upheaval throughout the Diadem continues to produce crystallized aether of astounding properties.

House Haillenarte would claim this unique resource. Gather armfuls of over-aspected crystals and deliver them to the pilot at the *Bounty*.

Evaluation of your success will also hinge upon the extent of your explorations.

※Fill the evaluation gauge by participating in FATEs.","Operation Command here.
We have received your report and confirm that all mission objectives have been fulfilled.",A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!",2002042,2002045,6798633,6798655,6710324,0,0,0,6710323,111101,0,0,13,20,25,4,4,1,0,0,0
8,Operation Depopulate,"The dense aetherial concentration of the Diadem seems to attract the deadliest of creatures. Needless to say, these oft-hostile denizens significantly impede our efforts to explore the isles.

Thus we turn to you─to battle-hardened adventurers─to cull their numbers. Make use of the traps provided, lure forth your prey, and slay without mercy.

Evaluation of your success will also hinge upon the extent of your explorations.

※Fill the evaluation gauge by participating in FATEs.","Operation Command here.
We have received your report and confirm that all mission objectives have been fulfilled.",A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!",0,0,6710332,6710294,6710302,0,0,0,6887965,111101,0,0,61,86,71,3,3,3,0,0,0
9,Operation Depopulate,"The dense aetherial concentration of the Diadem seems to attract the deadliest of creatures. Needless to say, these oft-hostile denizens significantly impede our efforts to explore the isles.

Thus we turn to you─to battle-hardened adventurers─to cull their numbers. Make use of the traps provided, lure forth your prey, and slay without mercy.

Evaluation of your success will also hinge upon the extent of your explorations.

※Fill the evaluation gauge by participating in FATEs.","Operation Command here.
The menace which interrupted your mission has been confirmed slain.",A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!",0,0,6710307,6710345,6710345,0,0,0,6887983,111101,0,0,80,85,94,3,3,2,0,0,0
