#,Name,Unknown0,StampIcon,Unknown1,Category,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
0,None,0,0,0,0,0,0,10,False,False,False
1,Duty Commenced,0,120021,2,10,0,200,10,False,False,False
2,Duty Complete,0,120022,2,10,0,201,10,False,False,False
3,,0,0,0,0,0,0,0,False,False,False
4,Forward!,0,120024,2,10,0,203,10,False,False,False
5,Quest Accepted,0,120001,2,11,0,100,10,False,False,False
6,Quest Complete,0,120002,2,11,0,101,10,False,False,False
7,FATE Joined,0,120081,2,12,0,303,10,False,False,False
8,FATE Complete,0,120082,2,12,0,304,10,False,False,False
9,,0,0,0,0,0,0,0,False,False,False
10,Level Up!,0,120111,2,5,0,10,10,False,False,False
11,GATE Joined,0,121561,2,13,0,400,10,False,False,False
12,GATE Complete,0,121562,2,13,0,401,10,False,False,False
13,,0,0,0,0,0,0,0,False,False,False
14,Chocobo Race: Start!,0,121551,2,13,0,403,10,False,False,False
15,Chocobo Race: Goal!,0,121552,2,13,0,404,10,False,False,False
16,Chocobo Race: Challenge Complete,0,121553,2,13,0,405,10,False,False,False
17,Monster Toss: Nice Shot!,0,121501,2,13,0,406,10,False,False,False
18,Monster Toss: Miss,0,121502,2,13,0,407,10,False,False,False
19,Mini-game: Pulverizing!!!,0,121511,2,13,0,408,10,False,False,False
20,Mini-game: Crushing!!,0,121512,2,13,0,409,10,False,False,False
21,Mini-game: Glancing!,0,121513,2,13,0,410,10,False,False,False
22,,0,0,0,0,0,0,0,False,False,False
23,Light Party,0,120114,2,5,0,23,10,False,False,False
24,Full Party,0,120115,2,5,0,24,10,False,False,False
25,Level Down...,0,120119,2,5,0,11,10,False,False,False
26,FINAL FANTASY XIV Online (White),0,230651,2,16,0,2,10,True,False,False
27,FINAL FANTASY XIV Online (Black),0,230652,2,16,0,1,10,True,False,False
28,,0,0,0,0,0,0,0,False,False,False
29,Alexandrian Flag,70495,230715,1,6,0,15,1,True,False,False
30,Triple Triad: ★,0,230111,1,4,0,1,10,True,False,False
