#,Destination,Location,ExpReward,SurveyDurationmin,X,Y,Z,Map,Stars,RankReq,CeruleumTankReq,SurveyDistance,StartingPoint
0,,,0,0,483,927,0,1,0,0,0,0,True
1,the Ivory Shoals (A),A,10610,180,640,880,100,1,1,1,1,10,False
2,deep-sea site 1 (B),B,10610,180,570,750,300,1,1,1,1,10,False
3,deep-sea site 2 (C),C,27840,240,740,700,300,1,1,4,1,10,False
4,the Lightless Basin (D),D,27840,240,400,850,500,1,1,4,2,10,False
5,deep-sea site 3 (E),E,46660,300,650,610,200,1,1,7,2,11,False
6,the Southern Rimilala Trench (F),F,46660,300,850,850,600,1,1,7,3,11,False
7,the Umbrella Narrow (G),G,75920,360,260,760,100,1,1,10,1,11,False
8,Offender's Rot (H),H,102600,420,120,840,100,1,2,14,1,12,False
9,Neolith Island (I),I,118350,420,380,660,100,1,2,17,1,12,False
10,unidentified derelict (J),J,146210,480,900,600,600,1,2,20,3,12,False
11,the Cobalt Shoals (K),K,146210,480,520,550,300,1,2,20,6,12,False
12,the Mystic Basin (L),L,174980,540,260,570,600,1,3,24,6,13,False
13,deep-sea site 4 (M),M,200430,600,90,630,100,1,3,27,6,13,False
14,the Central Rimilala Trench (N),N,200430,600,800,550,400,1,3,27,6,13,False
15,the Wreckage of *Discovery I* (O),O,231750,660,630,490,500,1,3,30,6,14,False
16,Komura (P),P,231750,660,290,365,100,1,3,30,6,14,False
17,Kanayama (Q),Q,263530,720,115,350,0,1,4,34,6,14,False
18,concealed bay (R),R,292170,780,150,540,600,1,4,37,6,15,False
19,deep-sea site 5 (S),S,292170,780,320,230,200,1,4,37,6,15,False
20,Purgatory (T),T,338330,840,130,180,100,1,4,40,6,15,False
21,deep-sea site 6 (U),U,338330,840,465,330,100,1,4,40,6,15,False
22,the Rimilala Shelf (V),V,374020,900,555,225,600,1,5,44,6,16,False
23,deep-sea site 7 (W),W,374020,900,710,370,300,1,5,44,6,16,False
24,Glittersand Basin (X),X,406590,960,900,355,800,1,5,47,6,16,False
25,Flickering Dip (Y),Y,406590,960,210,90,100,1,5,47,6,16,False
26,the Wreckage of the *Headway* (Z),Z,440990,1020,430,100,1000,1,5,50,6,17,False
27,the Upwell (AA),AA,440990,1020,830,210,800,1,5,50,6,17,False
28,the Rimilala Trench Bottom (AB),AB,440990,1020,750,90,1000,1,5,50,6,17,False
29,stone temple (AC),AC,440990,1020,895,100,1000,1,5,50,6,17,False
30,sunken vault (AD),AD,440990,1020,595,100,800,1,5,50,6,17,False
31,,,0,0,483,927,0,2,0,0,0,0,True
32,South Isle of Zozonan (A),A,440990,480,290,750,100,2,1,50,6,12,False
33,Wreckage of the *Windwalker* (B),B,440990,480,150,840,100,2,1,50,6,12,False
34,North Isle of Zozonan (C),C,480270,540,280,570,100,2,2,54,6,13,False
35,Sea of Ash 1 (D),D,480270,540,430,660,300,2,2,54,6,13,False
36,the Southern Charnel Trench (E),E,522300,600,590,750,600,2,2,57,6,14,False
37,Sea of Ash 2 (F),F,522300,600,180,440,300,2,2,57,6,14,False
38,Sea of Ash 3 (G),G,548410,660,350,480,300,2,3,60,6,15,False
39,Ascetic's Demise (H),H,548410,660,340,330,600,2,3,60,6,15,False
40,the Central Charnel Trench (I),I,548410,660,500,580,600,2,3,60,6,15,False
41,the Catacombs of the Father (J),J,548410,660,460,420,600,2,3,60,6,15,False
42,Sea of Ash 4 (K),K,548410,660,140,310,300,2,3,60,6,15,False
43,the Midden Pit (L),L,595020,720,440,200,600,2,4,63,6,16,False
44,the Lone Glove (M),M,595020,720,820,550,100,2,4,63,6,16,False
45,Coldtoe Isle (N),N,645590,780,870,400,100,2,4,65,6,17,False
46,Smuggler's Knot (O),O,645590,780,760,660,300,2,4,65,6,17,False
47,the Open Robe (P),P,645590,780,584,195,100,2,4,65,6,20,False
48,Nald'thal's Pipe (Q),Q,661730,800,761,885,600,2,4,66,6,20,False
49,the Slipped Anchor (R),R,678274,820,818,145,400,2,5,67,6,21,False
50,Glutton's Belly (S),S,712612,860,680,285,300,2,5,69,6,21,False
51,the Blue Hole (T),T,730428,880,168,140,600,2,5,70,6,22,False
52,,,0,0,64,591,0,3,0,0,0,0,True
53,the Isle of Sacrament (A),A,730428,880,199,455,100,3,1,70,6,22,False
54,the Kraken's Tomb (B),B,730428,880,246,703,1000,3,1,70,6,22,False
55,Sea of Jade 1 (C),C,730428,880,261,289,400,3,1,70,6,22,False
56,Rogo-Tumu-Here's Haunt (D),D,767407,900,101,203,1000,3,1,72,6,23,False
57,the Stone Barbs (E),E,767407,900,474,89,700,3,1,72,6,23,False
58,Rogo-Tumu-Here's Repose (F),F,786593,920,214,98,1000,3,1,73,6,24,False
59,Tangaroa's Prow (G),G,806258,930,689,253,500,3,1,74,6,24,False
60,Sea of Jade 2 (H),H,826415,940,676,76,400,3,2,75,6,25,False
61,the Blind Sound (I),I,826415,940,842,186,200,3,2,75,6,25,False
62,Sea of Jade 3 (J),J,826415,940,723,387,300,3,2,75,6,25,False
63,Moergynn's Forge (K),K,847076,950,855,96,500,3,2,76,6,26,False
64,Tangaroa's Beacon (L),L,889960,960,889,305,100,3,3,78,6,28,False
65,Sea of Jade 4 (M),M,935015,980,659,637,300,3,3,80,6,30,False
66,the Forest of Kelp (N),N,958391,1000,626,805,500,3,3,81,6,31,False
67,Sea of Jade 5 (O),O,1006910,1040,938,188,600,3,4,83,6,32,False
68,Bladefall Chasm (P),P,1057886,1080,481,918,100,3,4,85,6,33,False
69,Stormport (Q),Q,1111443,1120,889,445,500,3,5,87,6,34,False
70,Wyrm's Rest (R),R,1139230,1140,736,764,600,3,5,88,6,35,False
71,Sea of Jade 6 (S),S,1167711,1160,852,617,1000,3,5,89,6,36,False
72,the Devil's Crypt (T),T,1751567,1180,832,888,1000,3,5,90,6,37,False
73,,,0,0,177,927,0,4,0,0,0,0,True
74,Mastbound's Bounty (A),A,1751567,1180,201,748,200,4,1,90,6,37,False
75,Sirensong Sea 1 (B),B,1751567,1180,427,704,700,4,1,90,6,37,False
76,Sirensong Sea 2 (C),C,1751567,1180,340,532,300,4,1,90,6,37,False
77,Anthemoessa (D),D,1926724,1190,447,253,200,4,1,91,6,38,False
78,Magos Trench (E),E,2119397,1210,583,593,800,4,1,92,6,39,False
79,Thrall's Unrest (F),F,2331337,1220,687,644,400,4,2,93,6,40,False
80,Crow's Drop (G),G,2820919,1250,66,383,900,4,2,95,6,41,False
81,Sirensong Sea 3 (H),H,3074802,1270,352,118,500,4,3,96,6,42,False
82,the Anthemoessa Undertow (I),I,3074802,1270,557,183,800,4,3,96,6,42,False
83,Sirensong Sea 4 (J),J,3351535,1280,738,555,400,4,3,97,6,42,False
84,Seafoam Tide (K),K,3653174,1300,802,436,800,4,3,98,6,43,False
85,the Beak (L),L,3981960,1310,620,806,300,4,4,99,6,44,False
86,Seafarer's End (M),M,4340337,1330,136,138,1000,4,4,100,6,44,False
87,Drifter's Decay (N),N,4687564,1340,533,68,100,4,4,101,6,45,False
88,Lugat's Landing (O),O,4687564,1340,885,400,400,4,4,101,6,45,False
89,the Frozen Spring (P),P,5062570,1360,502,899,200,4,5,102,6,46,False
90,Sirensong Sea 5 (Q),Q,5467576,1370,873,106,1000,4,5,103,6,47,False
91,Tidewind Isle (R),R,5904983,1390,678,289,0,4,5,104,6,47,False
92,Bloodbreak (S),S,6377382,1400,937,651,1000,4,5,105,6,48,False
