#,Type,AssignmentTalk,Quest[0],Quest[1],Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
393216,Levemete,1,65756,65756,0,0,False,False,False,False,False
393217,Levemete,2,65756,65756,1,0,False,False,False,False,False
393218,Levemete,3,65757,65757,1,0,False,False,False,False,False
393219,Levemete,4,65979,65979,1,0,False,False,False,False,False
393220,Levemete,5,65756,65756,1,0,False,False,False,False,False
393221,Levemete,6,66229,66229,1,0,False,False,False,False,False
393222,Levemete,7,66223,66223,1,0,False,False,False,False,False
393223,Levemete,8,66223,66223,1,0,False,False,False,False,False
393224,Levemete,9,66224,66224,1,0,False,False,False,False,False
393225,Levemete,10,66229,66229,1,0,False,False,False,False,False
393226,Levemete,11,66230,66230,1,0,False,False,False,False,False
393227,Levemete,12,65756,65536,1,0,False,False,False,False,False
393228,Levemete,13,66228,66228,1,0,False,False,False,False,False
393229,Levemete,14,65550,65550,1,0,False,False,False,False,False
393230,Levemete,15,65552,65552,1,0,False,False,False,False,False
393231,Levemete,16,65553,65553,1,0,False,False,False,False,False
393232,Levemete,17,65980,65980,1,0,False,False,False,False,False
393233,Levemete,18,65551,65551,1,0,False,False,False,False,False
393234,Levemete,19,66223,65536,1,0,False,False,False,False,False
393235,Levemete,20,66229,65536,1,0,False,False,False,False,False
393236,Levemete,21,66232,66232,1,0,False,False,False,False,False
393237,Levemete,22,66231,66231,1,0,False,False,False,False,False
393238,Levemete,23,65554,65554,1,0,False,False,False,False,False
393239,Grand Company Leves,24,66229,65536,2,1,True,False,False,False,False
393240,Grand Company Leves,25,66229,65536,2,5,True,False,False,False,False
393241,Grand Company Leves,26,65756,65536,2,1,False,True,False,False,False
393242,Grand Company Leves,27,65756,65536,2,5,False,True,False,False,False
393243,Grand Company Leves,28,66223,65536,2,1,False,False,True,False,False
393244,Grand Company Leves,29,66223,65536,2,5,False,False,True,False,False
393245,Grand Company Leves,30,65756,65536,2,5,True,True,True,False,False
393246,Grand Company Leves,31,65756,65536,2,5,True,True,True,False,False
393247,Grand Company Leves,32,66223,65536,2,8,True,True,True,False,False
393248,Temple Leves,33,67642,67642,3,0,False,False,False,True,False
393249,Levemete,34,68457,68457,4,0,False,False,False,False,True
393250,Crystarium Leves,35,69138,69138,5,0,False,False,False,False,True
393251,Gleaner Leves,36,69706,69706,7,0,False,False,False,False,True
393252,Tuliyollal Leves,37,70539,70539,8,0,False,False,False,False,True
