key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte
0.0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1
1.0,1,1,0,0,0,2,1,1,3,-1,-1,-1,1,1,1,1,1,0,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1
1.1,1,1,1,0,0,1,1,1,3,-1,-1,-1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1
1.2,1,1,1,1,0,0,1,0,2,-1,-1,-1,1,1,1,1,1,1,1,2,1,2,0,2,2,2,2,1,1,1,2,2,1,-1,-1,-1,-1,-1,-1,-1
1.3,0,1,1,1,0,0,0,0,1,-1,-1,-1,1,1,1,0,1,1,1,1,0,1,0,2,2,1,1,0,1,0,2,2,1,-1,-1,-1,-1,-1,-1,-1
1.4,0,1,1,1,0,0,0,0,1,-1,-1,-1,1,1,0,0,0,1,1,1,0,1,0,2,1,0,0,0,1,0,2,2,1,-1,-1,-1,-1,-1,-1,-1
2.0,-1,-1,-1,0,-1,3,3,1,3,1,1,1,-1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,1,1,6,2,2,1,0,2,100,1,0,2,1
2.1,-1,-1,-1,0,-1,3,3,1,3,1,1,1,-1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,1,1,5,2,2,1,1,2,100,1,0,1,1
2.2,-1,-1,-1,1,-1,0,1,0,2,1,1,0,-1,1,1,1,1,1,1,2,1,2,0,2,2,2,2,1,1,5,2,2,1,1,2,100,1,0,1,1
2.3,-1,-1,-1,1,-1,0,1,0,1,0,0,0,-1,1,1,0,1,1,1,1,0,1,0,2,2,1,1,0,1,3,2,2,1,1,2,100,0,1,0,0
2.4,-1,-1,-1,1,-1,0,0,0,1,0,0,0,-1,1,0,0,0,1,1,1,0,1,0,2,1,0,0,0,1,3,2,2,1,1,2,100,0,1,0,0
3.0,1,1,0,0,0,2,1,1,3,-1,-1,-1,1,1,1,1,1,0,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1
3.1,1,1,1,0,0,1,1,1,3,-1,-1,-1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1
3.2,1,1,1,1,0,0,1,0,2,-1,-1,-1,1,1,1,1,1,1,1,2,1,2,0,2,2,2,2,1,1,1,2,2,1,-1,-1,-1,-1,-1,-1,-1
3.3,0,1,1,1,0,0,0,0,1,-1,-1,-1,1,1,1,0,1,1,1,1,0,1,0,2,2,1,1,0,1,0,2,2,1,-1,-1,-1,-1,-1,-1,-1
3.4,0,1,1,1,0,0,0,0,1,-1,-1,-1,1,1,0,0,0,1,1,1,0,1,0,2,1,0,0,0,1,0,2,2,1,-1,-1,-1,-1,-1,-1,-1
4.0,-1,-1,-1,0,-1,3,3,1,3,1,1,-1,-1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,1,1,6,2,2,1,0,2,100,1,0,2,1
4.1,-1,-1,-1,0,-1,3,1,0,2,1,0,-1,-1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,1,5,2,2,1,1,2,100,1,1,1,1
4.2,-1,-1,-1,1,-1,0,1,0,2,0,0,-1,-1,1,1,1,1,1,1,1,1,2,0,2,2,2,2,1,1,1,2,2,1,1,2,100,1,1,1,0
4.3,-1,-1,-1,1,-1,0,1,0,1,0,0,-1,-1,1,1,0,1,1,1,0,0,1,0,2,2,1,1,0,1,0,2,2,1,1,2,100,0,1,0,0
4.4,-1,-1,-1,1,-1,0,0,0,1,0,0,-1,-1,1,0,0,0,1,1,0,0,1,0,2,1,0,0,0,1,0,2,2,1,1,2,100,0,1,0,0
