#,Text,String,Genre,LegacyQuestID,SortKey
0,,,0,0,0
1,Shapeless Melody,,342,0,1
2,Treasures of the Main,,342,1,2
3,Legends Adrift,,342,2,3
4,Never the Twain Shall Meet,,342,3,4
5,Sundered Skies,,342,4,5
6,Souls Gone Wild,,342,5,6
7,Whispers in the Wood,,342,6,7
8,Beckon of the Elementals,,342,7,8
9,Flowers for All,,342,8,9
10,Court in the Sands,,342,9,10
11,Golden Sacrifices,,342,10,11
12,Calamity Cometh,,342,11,12
13,Fade to White,,342,12,13
14,Together We Stand,,342,13,14
15,Toll of the Warden,,342,14,15
16,Forever Taken,,342,15,16
17,Lord Errant,,342,16,17
18,Of Men They Sing,,342,17,18
19,Futures Perfect,,342,18,19
20,The House Always Wins,,344,59,20
21,Here There Be Pirates,,344,60,21
22,Two Sides to Every Chip,,344,61,22
23,All Bark and No Bite,,344,79,23
24,Unalienable Rights,,344,80,24
25,Thrill of the Fight,,344,81,25
26,Bloody Baptism,,344,99,26
27,Two-man Crew,,344,100,27
28,Captain's Orders,,344,101,28
29,Getting Started,,344,139,29
30,Getting Started,,344,140,30
31,Getting Started,,344,141,31
32,Selecting a Different Path Companion,,344,143,32
33,Filling the Quiver,,344,159,33
34,The Foreboding Forest,,344,160,34
35,There Can Be Only One,,344,161,35
36,A Wailing Welcome,,344,179,36
37,Culture Shock,,344,180,37
38,Necessary Evils,,344,181,38
39,The Big Payback,,344,239,39
40,Revelry in Rivalry,,344,240,40
41,Law and the Order,,344,241,41
42,Dendrological Duties,,344,259,42
43,"Good Knight, Sweet Dreams",,344,260,43
44,The Call of Nature,,344,261,44
45,The Mouths of Babes,,344,299,45
46,Hide and Seek Shenanigans,,344,300,46
47,Spanning the Spectrum,,344,301,47
48,An Ear for Quality,,344,319,48
49,Song of the Sirens,,344,320,49
50,The Sound of Silence,,344,321,50
51,She Walks in Beauty,,344,359,51
52,F'lhaminn's Flower,,344,360,52
53,Struck Through the Heart,,344,361,53
54,The Silent Partners,,344,379,54
55,Designer Imposters,,344,380,55
56,Head of the Class,,344,381,56
57,Hoodwinked,,344,399,57
58,Dance the Night Away,,344,400,58
59,A Fruitful Murder,,344,401,59
60,"Sleep, Cousin of Death",,344,419,60
61,The Boy and the Dragon Gay,,344,420,61
62,"Dream On, Dream Away",,344,421,62
63,Showdown,,344,439,63
64,Mystery of the Gastronome Gone Home,,344,440,64
65,Something in the Soup,,344,441,65
66,A Piece of History,,344,459,66
67,Little Saboteurs,,344,460,67
68,Runaway Little Girl,,344,461,68
69,Gridanian Roots,,344,479,69
70,The Grass is Always Greener,,344,480,70
71,A Moogle Bouquet,,344,481,71
72,To Fight a Fishback,,344,499,72
73,The Beast of the Barrel,,344,500,73
74,Polishing the Mast,,344,501,74
75,"Ifrit Bleeds, We Can Kill It",,343,626,75
76,Assessing the Damage,,343,632,76
77,Bridging the Gap,,343,633,77
78,Revenge on the Reavers,,343,635,78
79,Till Death Do Us Part,,343,637,79
80,Beryl Overboard,,343,638,80
81,Have You Seen My Son,,343,639,81
82,Food for Thought,,343,640,82
83,Seashells by the Seashore,,343,641,83
84,Fishing for Answers,,343,642,84
85,Moonstruck,,343,643,85
86,A Misty Past,,343,645,86
87,Carving a Name,,343,647,87
88,The Tug of the Whorl,,343,652,88
89,Proceed with Caution,,343,653,89
90,Playing with Fire,,343,654,90
91,A Well-Balanced Diet,,343,655,91
92,The Penultimate Prank,,343,657,92
93,The Search for Sicksa,,343,658,93
94,The Ultimate Prank,,343,659,94
95,Say It with Wolf Tails,,343,661,95
96,Embarrassing Excerpts,,343,662,96
97,A Forbidden Love,,343,663,97
98,Last Respects,,343,664,98
99,Stone Deaf,,343,665,99
100,Hunting the Hunters,,343,666,100
101,To Deskunk a Beer,,343,667,101
102,Losing One's Thread,,343,668,102
103,Seeing the Seers,,343,673,103
104,A Knock in the Night,,343,674,104
105,Sleepless in Eorzea,,343,675,105
106,Dressed to Be Killed,,343,676,106
107,The Customer Comes First,,343,678,107
108,An Inconvenient Dodo,,343,679,108
109,Besmitten and Besmirched,,343,680,109
110,Clasping to Hope,,343,681,110
111,Traumaturgy,,343,682,111
112,Best Flower Ever,,343,683,112
113,The Unheard Horizon,,343,684,113
114,Freedom Isn't Free,,343,685,114
115,Ore for an Ore,,343,686,115
116,No Other Dodo Will Do,,343,689,116
117,A Call to Arms,,343,694,117
118,Counting Sheep,,343,705,118
119,A Hypocritical Oath,,343,706,119
120,Blood Price,,343,707,120
121,Quid Pro Quo,,343,725,121
122,There Might Be Blood,,343,726,122
123,Cutthroat Prices,,343,727,123
124,Monster of Maw Most Massive,,343,733,124
125,Scrubbing the Soul,,343,734,125
126,Disorganized Crime,,343,735,126
127,A Slippery Stone,,343,736,127
128,Winds of Change,,343,743,128
129,Shot Through the Heart,,343,744,129
130,What a Pirate Wants,,343,745,130
