#,Name,Description,QuestRequirement,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL,AnimationStart,AnimationEnd,Icon,RequiredStatus,ClassJobCategory,ClassJobLevel,Cost,ClassJob,Specialist
100000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100001,Basic Synthesis,"Increases **progress**.
**Efficiency:** 120%
**Success Rate:** 100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1501,0,9,1,0,8,False
100002,Basic Touch,"Increases **quality**.
**Efficiency:** 100%
**Success Rate:** 100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1502,0,9,5,18,8,False
100003,Master's Mend,Restores item **durability** by 30.,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,9,7,88,8,False
100004,Standard Touch,"Increases **quality**.
**Efficiency:** 125%
**Success Rate:** 100%
**Combo Action: ****Basic Touch**
**Combo Bonus: **CP cost reduced to 18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1516,0,9,18,32,8,False
100005,Master's Mend II,Restores item durability by 60.,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100006,Brand of Wind,"Increases progress. Progress doubles when recipe affinity is wind.
**Efficiency:** 100% (200%)
**Success Rate:** 90%",0,100006,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100007,Standard Synthesis,"Increases progress.
**Efficiency:** 150%
**Success Rate:** 90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100008,Advanced Touch,"Increases quality.
**Efficiency:** 150%
**Success Rate:** 90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100009,Byregot's Blessing,"Increases quality. **Inner Quiet** effect ends upon use.
**Efficiency:** 100% plus 20% for each bonus to control granted by **Inner Quiet**
**Success Rate:** 90%",0,100009,0,0,0,0,0,0,0,240,247,786,0,0,1,0,-1,False
100010,Observe,Do nothing for one step.,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,9,13,7,8,False
100011,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100012,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100013,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100014,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100015,Basic Synthesis,"Increases **progress**.
**Efficiency:** 120%
**Success Rate:** 100%",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1551,0,10,1,0,9,False
100016,Basic Touch,"Increases **quality**.
**Efficiency:** 100%
**Success Rate:** 100%",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1552,0,10,5,18,9,False
100017,Master's Mend,Restores item **durability** by 30.,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,10,7,88,9,False
100018,Standard Touch,"Increases **quality**.
**Efficiency:** 125%
**Success Rate:** 100%
**Combo Action: ****Basic Touch**
**Combo Bonus: **CP cost reduced to 18",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1566,0,10,18,32,9,False
100019,Master's Mend II,Restores item durability by 60.,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100020,Brand of Fire,"Increases progress. Progress doubles when recipe affinity is fire.
**Efficiency:** 100% (200%)
**Success Rate:** 90%",0,100020,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100021,Standard Synthesis,"Increases progress.
**Efficiency:** 150%
**Success Rate:** 90%",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100022,Advanced Touch,"Increases quality.
**Efficiency:** 150%
**Success Rate:** 90%",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100023,Observe,Do nothing for one step.,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,10,13,7,9,False
100024,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100025,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100026,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100027,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
