#,Description,Unknown1,Level,Category
0,Available after completing at least two dungeons from the most recent patch.,5,0,0
1,,8,0,0
2,,1,0,0
3,,1252,0,1
4,Available after completing the corresponding deep dungeon and progressing through the Crystarium sidequests.,1281,11875001,2
5,Available after unlocking the above duty and completing the corresponding quest.,1311,11875001,2
6,Available after progressing through the corresponding quest in Old Sharlayan.,1315,0,3
7,Available after completing the above duty and speaking with the corresponding NPC.,1316,0,3
8,Available after completing the above duty and speaking with the corresponding NPC.,1317,0,3
9,Available after progressing through Dawntrail: Chronicles of a New Era and unlocking the corresponding raid.,1320,0,4
10,Available after progressing through Dawntrail: Chronicles of a New Era and unlocking the corresponding raid.,1322,0,4
11,Available after progressing through Dawntrail: Chronicles of a New Era and unlocking the corresponding raid.,1324,0,4
12,Available after progressing through Dawntrail: Chronicles of a New Era and unlocking the corresponding raid.,1326,0,4
13,Available after progressing through Dawntrail: Chronicles of a New Era and unlocking the Savage raid via the corresponding NPC.,1321,0,4
14,Available after progressing through Dawntrail: Chronicles of a New Era and unlocking the Savage raid via the corresponding NPC.,1323,0,4
15,Available after progressing through Dawntrail: Chronicles of a New Era and unlocking the Savage raid via the corresponding NPC.,1325,0,4
16,Available after progressing through Dawntrail: Chronicles of a New Era and unlocking the Savage raid via the corresponding NPC.,1327,0,4
17,"Available after progressing through the Dawntrail main scenario, completing the trial, and unlocking the corresponding extreme trial via the wandering minstrel.",1308,0,5
18,,1187,0,6
19,,1188,0,6
20,,1189,0,6
21,,1190,0,6
22,,1191,0,6
23,,1192,0,6
