#,QuestRedoParam[0].Quest,QuestRedoParam[0].UnknownParam,QuestRedoParam[1].Quest,QuestRedoParam[1].UnknownParam,QuestRedoParam[2].Quest,QuestRedoParam[2].UnknownParam,QuestRedoParam[3].Quest,QuestRedoParam[3].UnknownParam,QuestRedoParam[4].Quest,QuestRedoParam[4].UnknownParam,QuestRedoParam[5].Quest,QuestRedoParam[5].UnknownParam,QuestRedoParam[6].Quest,QuestRedoParam[6].UnknownParam,QuestRedoParam[7].Quest,QuestRedoParam[7].UnknownParam,QuestRedoParam[8].Quest,QuestRedoParam[8].UnknownParam,QuestRedoParam[9].Quest,QuestRedoParam[9].UnknownParam,QuestRedoParam[10].Quest,QuestRedoParam[10].UnknownParam,QuestRedoParam[11].Quest,QuestRedoParam[11].UnknownParam,QuestRedoParam[12].Quest,QuestRedoParam[12].UnknownParam,QuestRedoParam[13].Quest,QuestRedoParam[13].UnknownParam,QuestRedoParam[14].Quest,QuestRedoParam[14].UnknownParam,QuestRedoParam[15].Quest,QuestRedoParam[15].UnknownParam,QuestRedoParam[16].Quest,QuestRedoParam[16].UnknownParam,QuestRedoParam[17].Quest,QuestRedoParam[17].UnknownParam,QuestRedoParam[18].Quest,QuestRedoParam[18].UnknownParam,QuestRedoParam[19].Quest,QuestRedoParam[19].UnknownParam,QuestRedoParam[20].Quest,QuestRedoParam[20].UnknownParam,QuestRedoParam[21].Quest,QuestRedoParam[21].UnknownParam,QuestRedoParam[22].Quest,QuestRedoParam[22].UnknownParam,QuestRedoParam[23].Quest,QuestRedoParam[23].UnknownParam,QuestRedoParam[24].Quest,QuestRedoParam[24].UnknownParam,QuestRedoParam[25].Quest,QuestRedoParam[25].UnknownParam,QuestRedoParam[26].Quest,QuestRedoParam[26].UnknownParam,QuestRedoParam[27].Quest,QuestRedoParam[27].UnknownParam,QuestRedoParam[28].Quest,QuestRedoParam[28].UnknownParam,QuestRedoParam[29].Quest,QuestRedoParam[29].UnknownParam,QuestRedoParam[30].Quest,QuestRedoParam[30].UnknownParam,QuestRedoParam[31].Quest,QuestRedoParam[31].UnknownParam,FinalQuest,Unknown0,Chapter,Unknown1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,65998,0,65999,0,66079,0,66001,0,66002,0,66003,0,66004,0,66005,0,65933,0,65938,0,65939,0,65942,0,65948,0,65951,0,65949,0,65950,0,66225,0,66080,0,66226,0,66081,0,66082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66060,0,1,4
2,65564,0,65737,0,65981,0,69390,0,65711,0,69391,0,65665,0,65712,0,65912,0,65913,0,65915,0,65916,0,65917,0,65920,0,65923,0,65697,0,65982,0,65983,0,65984,0,65985,0,66043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66060,0,1,4
3,66131,0,66207,0,66086,0,65839,0,69388,0,65843,0,65856,0,66159,0,65864,0,66039,0,65865,0,65866,0,69389,0,65868,0,65869,0,65870,0,65872,0,66164,0,66087,0,66177,0,66088,0,66064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66060,0,1,5
4,66210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,66209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,65781,0,66212,0,66213,0,66214,0,66196,0,66045,0,66046,0,66154,0,66155,0,66156,0,66157,0,66158,0,66110,0,65808,0,65879,0,66047,0,66216,65,66217,66,66218,68,66219,1,66220,2,66221,4,66049,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66060,0,2,7
7,69392,0,66245,0,66246,0,66251,0,69393,0,69394,0,66255,0,66260,0,66261,0,69395,0,69396,0,69397,0,66273,0,66274,0,69398,0,66050,0,66279,0,66280,0,66282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
8,66283,0,66284,0,66292,0,66293,0,66297,0,66298,0,66299,0,66301,0,66310,0,66311,0,66312,0,66313,0,66314,0,66318,0,66319,0,69399,0,69400,0,66323,1,66322,2,66335,0,66336,0,66337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66060,0,3,9
9,66052,0,66345,0,66346,0,66347,0,66348,0,66350,0,69401,0,66357,0,66358,0,66367,0,66368,0,69402,0,66376,0,66379,0,66381,0,66382,0,66384,0,66386,0,66391,0,66392,0,66393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
10,66053,0,69403,0,66412,0,66414,0,66054,0,66419,0,66420,0,66422,0,66423,0,66425,0,66426,0,66433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66060,0,4,11
11,66446,0,66447,0,66448,0,69404,0,66460,0,66463,0,69405,0,66474,0,66475,0,66476,0,66477,0,66488,0,66489,0,66491,0,66492,0,66495,0,66496,0,66497,0,66498,0,66499,0,66503,0,69406,0,66511,0,66055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
12,66056,0,66514,0,66516,0,66517,0,66518,0,66519,0,66520,0,66522,0,66537,1,66538,2,69407,2,66540,0,66541,0,66057,0,66058,0,70057,0,66573,0,69408,0,69409,0,70058,0,66572,128,66060,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
13,66711,0,69410,0,69411,0,69412,0,69413,0,66725,0,66726,0,66727,0,66728,0,69414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66996,0,5,14
14,69415,0,66882,0,66883,0,69416,0,69417,0,66888,0,69418,0,66892,0,66894,0,66895,0,66896,0,66897,0,66898,0,66899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
15,66978,0,66979,0,69419,0,69420,0,66982,0,66983,0,66984,0,69421,0,66989,0,66992,0,66993,0,66994,0,66995,0,66996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
16,65588,0,65589,0,65590,0,65593,0,65598,0,65605,0,65610,0,65611,0,65613,0,65614,0,69422,0,69423,0,65618,0,65620,0,65622,0,65623,0,65624,0,65625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65964,0,6,17
17,65899,0,65900,0,65901,0,65902,0,69424,0,65904,0,65905,0,65965,0,65906,0,65907,0,65908,0,65909,0,65927,0,65954,0,70127,0,65956,0,65957,1,65958,1,65959,2,65960,2,65961,0,65962,0,65963,0,65964,0,65955,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
18,67116,0,67117,0,67118,0,67119,1,67120,1,67121,1,67122,1,67123,1,67124,1,67125,1,67126,2,67127,2,67128,2,67129,2,67130,2,67131,2,67132,2,67133,0,67134,0,67135,0,67136,0,67137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67205,0,7,19
