#,Path,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
0,,0,0,0,0,0,1,1,True,False
1,,0,0,0,0,0,0,0,False,False
2,ffxiv/manfst/manfst00000/manfst00000,0,0,0,0,0,1,1,True,False
3,ffxiv/manfst/manfst00010/manfst00010,0,0,0,0,0,1,1,True,False
4,ffxiv/clscnj/clscnj00110/clscnj00110,0,0,0,0,0,53,1,True,False
5,ffxiv/TstPln/TstPln052000/TstPln052000,0,0,0,0,0,1,1,True,False
6,ffxiv/TstPln/TstPln052010/TstPln052010,0,0,0,0,0,1,1,True,False
7,ffxiv/TstPln/TstPln052020/TstPln052020,0,0,0,0,0,1,1,True,False
8,ffxiv/clscnj/clscnj00420/clscnj00420,0,0,0,0,0,53,1,True,False
9,ffxiv/clscnj/clscnj00430/clscnj00430,0,0,0,0,0,53,1,True,False
10,ffxiv/clsarc/clsarc00110/clsarc00110,0,0,0,0,0,50,1,True,False
11,ffxiv/clsarc/clsarc00430/clsarc00430,0,0,0,0,0,50,1,True,False
12,ffxiv/clsarc/clsarc00440/clsarc00440,0,0,0,0,0,50,1,True,False
13,ffxiv/clslnc/clslnc00110/clslnc00110,0,0,0,0,0,47,1,True,False
14,ffxiv/clsarc/clsarc00610/clsarc00610,0,0,0,0,0,50,1,True,False
15,ffxiv/clsarc/clsarc00620/clsarc00620,0,0,0,0,0,50,1,True,False
16,ffxiv/clslnc/clslnc00620/clslnc00620,0,0,0,0,0,47,1,True,False
17,ffxiv/dunfst/dunfst1d110/dunfst1d110,0,0,0,0,0,1,1,True,False
18,ffxiv/dunfst/dunfst1d210/dunfst1d210,0,0,0,0,0,1,1,True,False
19,ffxiv/clscnj/clscnj00610/clscnj00610,0,0,0,0,0,53,1,True,False
20,ffxiv/clscnj/clscnj00620/clscnj00620,0,0,0,0,0,53,1,True,False
21,ffxiv/clslnc/clslnc00420/clslnc00420,0,0,0,0,0,47,1,True,False
22,ffxiv/dunfst/dunfst1r110/dunfst1r110,0,0,0,0,0,1,1,True,False
23,ffxiv/manfst/manfst00001/manfst00001,0,0,0,0,0,1,1,True,False
24,ffxiv/manfst/manfst00002/manfst00002,0,0,0,0,0,1,1,True,False
25,ffxiv/manfst/manfst00003/manfst00003,0,0,0,0,0,1,1,True,False
26,ffxiv/dunfst/dunfst1d120/dunfst1d120,0,0,0,0,0,1,1,True,False
27,ffxiv/dunfst/dunfst1d130/dunfst1d130,0,0,0,0,0,1,1,True,False
28,ffxiv/clslnc/clslnc00610/clslnc00610,0,0,0,0,0,47,1,True,False
29,ffxiv/manfst/manfst00110/manfst00110,0,0,0,0,0,1,1,True,False
30,ffxiv/manfst/manfst00710/manfst00710,0,0,0,0,0,1,1,True,False
31,ffxiv/clsbsm/clsbsm50010/clsbsm50010,0,0,0,0,0,10,1,True,False
32,ffxiv/clsarm/clsarm50010/clsarm50010,0,0,0,0,0,11,1,True,False
33,ffxiv/clscul/clscul50010/clscul50010,0,0,0,0,0,16,1,True,False
34,ffxiv/clsgla/clsgla05010/clsgla05010,0,0,0,0,0,38,1,True,False
35,ffxiv/clsgla/clsgla15010/clsgla15010,0,0,0,0,0,38,1,True,False
36,ffxiv/clsgla/clsgla20010/clsgla20010,0,0,0,0,0,38,1,True,False
37,ffxiv/clsexc/clsexc05010/clsexc05010,0,0,0,0,0,44,1,True,False
38,ffxiv/clsexc/clsexc20010/clsexc20010,0,0,0,0,0,44,1,True,False
39,ffxiv/clsexc/clsexc20020/clsexc20020,0,0,0,0,0,44,1,True,False
40,ffxiv/mancmn/mancmn00000/mancmn00000,0,0,0,0,0,1,1,True,False
41,ffxiv/clsexc/clsexc30010/clsexc30010,0,0,0,0,0,44,1,True,False
42,ffxiv/clsexc/clsexc30020/clsexc30020,0,0,0,0,0,44,1,True,False
43,ffxiv/clsgla/clsgla30010/clsgla30010,0,0,0,0,0,38,1,True,False
44,ffxiv/clsacn/clsacn05010/clsacn05010,0,0,0,0,0,68,1,True,False
45,ffxiv/clsacn/clsacn15010/clsacn15010,0,0,0,0,0,68,1,True,False
46,ffxiv/clsacn/clsacn15020/clsacn15020,0,0,0,0,0,68,1,True,False
47,ffxiv/clsacn/clsacn25010/clsacn25010,0,0,0,0,0,68,1,True,False
48,ffxiv/clsacn/clsacn30010/clsacn30010,0,0,0,0,0,68,1,True,False
49,ffxiv/clsacn/clsacn30020/clsacn30020,0,0,0,0,0,68,1,True,False
50,ffxiv/clsthm/clsthm05010/clsthm05010,0,0,0,0,0,55,1,True,False
51,ffxiv/clsthm/clsthm15010/clsthm15010,0,0,0,0,0,55,1,True,False
52,ffxiv/clsthm/clsthm20010/clsthm20010,0,0,0,0,0,55,1,True,False
53,ffxiv/manfst/manfst00020/manfst00020,0,0,0,0,0,1,1,True,False
54,ffxiv/manfst/manfst00510/manfst00510,0,0,0,0,0,1,1,True,False
55,ffxiv/manfst/manfst00520/manfst00520,0,0,0,0,0,1,1,True,False
56,ffxiv/manfst/manfst00530/manfst00530,0,0,0,0,0,1,1,True,False
57,ffxiv/manfst/manfst00540/manfst00540,0,0,0,0,0,1,1,True,False
58,ffxiv/manfst/manfst00720/manfst00720,0,0,0,0,0,1,1,True,False
59,ffxiv/manfst/manfst00730/manfst00730,0,0,0,0,0,1,1,True,False
60,ffxiv/manfst/manfst00740/manfst00740,0,0,0,0,0,1,1,True,False
61,ffxiv/manfst/manfst00750/manfst00750,0,0,0,0,0,1,1,True,False
62,ffxiv/manfst/manfst00910/manfst00910,0,0,0,0,0,1,1,True,False
63,ffxiv/manfst/manfst00920/manfst00920,0,0,0,0,0,1,1,True,False
64,ffxiv/manfst/manfst20000/manfst20000,0,0,0,0,0,1,1,True,False
65,ffxiv/manfst/manfst20002/manfst20002,0,0,0,0,0,1,1,True,False
66,ffxiv/manfst/manfst20004/manfst20004,0,0,0,0,0,1,1,True,False
