#,Item,Unknown13,Unknown1,Unknown2,Category0,Category1,Category2,Category3,Unknown14,Unknown15,Unknown16,Unknown17,Text0,Text1,Unknown12,Unknown3,Unknown4,Unknown0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False
2,41305,0,2,4,1,2,3,4,0,0,0,0,1,2,26,True,False,True
3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,True,False,True
4,41306,0,2,4,5,6,7,8,0,0,0,0,1,3,27,True,True,True
5,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,True,True,True
6,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,True,True,False
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False
8,41786,0,8,0,9,10,11,12,0,0,0,0,1,4,26,True,False,True
9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,True,False,True
10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False
12,44348,0,12,0,13,14,15,16,0,0,0,0,1,5,26,True,False,True
13,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,True,False,True
14,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False
16,46322,0,16,0,17,18,19,20,0,0,0,0,1,6,26,True,False,True
17,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,True,False,True
18,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False
20,46179,0,20,0,23,24,22,21,0,0,0,0,1,7,26,True,False,True
21,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,True,False,True
22,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False
24,49122,0,24,0,27,28,26,25,0,0,0,0,1,8,26,True,False,True
25,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,True,False,True
26,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False
28,51750,51752,28,30,31,32,30,29,0,0,1,5,1,9,26,True,False,True
29,0,0,28,30,0,0,0,0,0,0,0,0,0,0,1,True,False,True
30,51751,51752,28,30,35,36,34,33,0,0,1,5,1,10,27,True,True,True
31,0,0,28,30,0,0,0,0,0,0,0,0,0,0,1,True,True,True
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False
