key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
#,,,,,,,,,,,TanksPerParty,HealersPerParty,MeleesPerParty,RangedPerParty,,,,,,,
int32,bit&01,byte,bit&02,bit&04,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,bit&08,bit&10,byte,bit&20,bit&40,bit&80
0,False,0,False,False,0,8,0,4,1,0,0,0,0,0,0,False,True,1,False,False,False
1,False,0,False,False,0,8,1,1,1,0,0,0,0,0,0,False,False,1,False,False,False
2,False,0,False,False,0,8,4,4,1,0,0,1,1,1,1,False,True,1,False,False,True
3,False,0,False,False,0,8,8,8,1,0,0,2,2,2,2,False,True,1,False,False,True
4,True,1,True,False,3,24,24,8,3,0,0,1,2,3,2,False,False,1,False,False,True
5,True,1,False,False,3,24,24,8,3,0,0,1,2,3,2,False,False,1,False,False,True
6,False,0,False,False,0,8,8,4,2,0,0,1,1,1,1,True,False,1,False,False,False
7,True,1,False,False,3,24,72,8,9,0,0,0,0,0,0,False,False,1,False,False,False
8,False,0,False,False,0,8,72,8,9,0,1,1,2,3,2,False,True,1,False,False,False
9,False,0,False,False,0,8,16,8,2,0,0,2,2,2,2,True,False,1,False,False,False
10,False,0,False,False,0,8,2,2,1,0,0,0,0,0,0,False,True,1,False,False,False
11,False,0,False,False,0,8,4,4,1,0,0,0,0,0,0,False,True,1,False,False,False
12,False,0,False,False,0,8,72,8,72,0,1,0,0,0,0,False,True,1,True,False,False
13,False,0,False,False,0,8,8,8,1,0,0,0,0,0,0,False,True,1,False,False,False
14,False,0,True,True,2,8,8,4,2,0,0,0,0,0,0,False,True,1,False,False,False
15,False,0,True,True,2,16,16,8,2,0,0,0,0,0,0,False,True,1,False,False,False
16,False,0,False,False,0,8,72,8,9,0,1,0,0,0,0,False,True,1,False,False,False
17,False,0,False,False,0,8,16,8,2,0,0,0,0,0,0,False,False,1,False,False,False
18,True,2,False,False,0,8,48,4,12,0,0,0,0,0,0,False,False,1,False,False,False
19,False,0,False,False,0,8,144,8,144,0,1,0,0,0,0,False,True,1,True,False,False
20,False,0,False,False,0,8,2,2,1,0,0,0,0,0,0,False,True,1,False,False,False
21,False,0,False,False,0,8,8,4,2,0,0,1,1,1,1,True,False,1,False,True,False
22,False,0,True,True,2,8,8,4,2,0,0,0,0,0,0,False,True,1,False,True,False
23,False,0,False,False,0,8,8,8,1,0,0,0,0,0,0,False,True,1,False,False,False
24,False,0,False,False,0,8,4,4,1,0,0,0,0,0,0,False,False,1,False,False,False
25,False,0,False,False,0,8,24,8,3,0,0,0,0,0,0,False,False,1,False,False,False
26,True,1,True,False,3,24,24,8,3,0,0,0,0,0,0,False,False,1,False,False,False
27,True,3,True,True,6,48,48,8,6,0,0,0,0,0,0,False,False,1,False,False,False
28,True,3,True,True,3,24,48,8,6,0,0,0,0,0,0,False,False,1,False,False,False
29,False,0,False,False,0,8,10,5,2,0,0,0,0,0,0,True,False,1,False,False,False
30,False,0,True,True,2,10,10,5,2,0,0,0,0,0,0,False,True,1,False,False,False
31,False,0,False,False,0,8,4,4,1,0,0,1,1,1,1,True,True,1,False,False,True
32,True,1,True,False,3,24,24,8,24,0,1,0,0,0,0,False,True,1,True,False,False
33,True,1,True,False,3,12,24,8,3,0,0,2,2,2,2,False,False,1,False,False,True
34,False,0,False,False,0,8,4,4,1,0,0,0,0,0,0,False,True,2,False,False,False
35,False,0,True,False,6,9,72,8,72,6,1,0,0,0,0,False,True,1,True,False,False
