#,TextLong,TextShort,TextCommentary,Quest,Section,Unknown0,Unknown1
3604480,,,,0,0,0,False
3604481,,,,0,0,0,False
3604482,Mahjong Rules,Mahjong Rules,,68737,2,0,True
3604483,Rival Wings Rules,Rival Wings,,0,3,0,True
3604484,Housing Inquiries,Housing,,0,4,0,True
3604485,Enjoying New Game+,New Game+,つよくてニューゲーム解説,0,2,0,True
3604486,Frontline Rules,Frontline Rules,,0,7,0,True
3604487,Ocean Fishing,Ocean Fishing,,0,8,0,True
3604488,Faux Hollows,Faux Hollows,,0,9,0,True
3604489,The Bozjan Southern Front,The Bozjan Southern Front,,0,10,0,True
3604490,Resistance Rank,Resistance Rank,,0,11,0,True
3604491,Lost Actions,Lost Actions,,0,13,0,True
3604492,Bozjan Clusters,Bozjan Clusters,,0,12,0,True
3604493,Triple Triad Tournaments: Short Modes,Triple Triad Tournaments: Short Modes,,0,14,0,True
3604494,,,,0,15,0,True
3604495,,,,0,16,0,True
3604496,Resistance Honors,Resistance Honors,,0,17,0,True
3604497,Zadnor,Zadnor,,0,18,0,True
3604498,PvP,PvP,,0,19,0,True
3604499,Crystalline Conflict,Crystalline Conflict,,0,20,0,True
3604500,Deep Dungeons,Deep Dungeons,,0,25,2,True
3604501,Deep Dungeons,Deep Dungeons,,0,26,2,True
3604502,Deep Dungeons,Deep Dungeons,,0,27,2,True
3604503,Small Talk,Blunderville,,0,31,0,True
3604504,Hall of the Novice,Combat Guide,,0,33,0,True
3604505,Deep Dungeons,Deep Dungeons,,0,37,2,True
3604506,,,,0,36,0,True
3604507,The Occult Crescent,The Occult Crescent,,0,35,0,True
3604508,Sprig Cleaning,Sprig Cleaning,,0,39,0,True
