#,Name,NameNoArticle,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,MapCondition
0,,,,0,0,0,1,0,0,0,0,0
1,,,,0,0,0,0,0,0,0,0,0
2,,,,0,0,0,0,0,0,0,0,0
3,,,,0,0,0,0,0,0,0,0,0
4,,,,0,0,0,0,0,0,0,0,0
5,,,,0,0,0,0,0,0,0,0,0
6,,,,0,0,0,0,0,0,0,0,0
7,,,,0,0,0,0,0,0,0,0,0
8,,,,0,0,0,0,0,0,0,0,0
9,,,,0,0,0,0,0,0,0,0,0
10,,,,0,0,0,0,0,0,0,0,0
11,,,,0,0,0,0,0,0,0,0,0
12,,,,0,0,0,0,0,0,0,0,0
13,,,,0,0,0,0,0,0,0,0,0
14,,,,0,0,0,0,0,0,0,0,0
15,,,,0,0,0,0,0,0,0,0,0
16,,,,0,0,0,0,0,0,0,0,0
17,,,,0,0,0,0,0,0,0,0,0
18,Levemete,levemete,,0,0,0,1,0,0,0,0,0
19,,,,0,0,0,1,0,0,0,0,0
20,Hydaelyn,Hydaelyn,,1,0,0,1,0,1,0,0,0
21,Eorzea,Eorzea,,1,0,0,1,0,1,0,0,0
22,La Noscea,La Noscea,,1,0,0,1,0,1,100,0,0
23,The Black Shroud,Black Shroud,,1,0,0,1,0,0,200,0,0
24,Thanalan,Thanalan,,1,0,0,1,0,1,300,0,0
25,Coerthas,Coerthas,,1,0,0,1,0,1,400,0,0
26,Mor Dhona,Mor Dhona,,1,0,0,1,0,1,500,0,0
27,Limsa Lominsa,Limsa Lominsa,,1,0,0,1,0,1,0,0,0
28,Limsa Lominsa Upper Decks,Limsa Lominsa upper decks,,2,0,0,1,0,0,0,0,0
29,Limsa Lominsa Lower Decks,Limsa Lominsa lower decks,,2,0,0,1,0,0,0,0,0
30,Middle La Noscea,middle La Noscea,,1,0,0,1,0,1,0,0,0
31,Lower La Noscea,lower La Noscea,,1,0,0,1,0,1,0,0,0
32,Eastern La Noscea,eastern La Noscea,,1,0,0,1,0,1,0,0,0
33,Western La Noscea,western La Noscea,,1,0,0,1,0,1,0,0,0
34,Upper La Noscea,upper La Noscea,,1,0,0,1,0,1,0,0,0
35,Sastasha,Sastasha,,0,0,0,1,0,1,0,0,0
36,Brayflox's Longstop,Brayflox's Longstop,,0,0,0,1,0,1,0,0,0
37,The Wanderer's Palace,Wanderer's Palace,,0,0,0,1,0,0,0,0,0
38,,,,0,0,0,0,0,0,0,0,0
39,Gridania,Gridania,,1,0,0,1,0,1,0,0,0
40,Ul'dah - Steps of Nald,Ul'dah - Steps of Nald,,2,0,0,1,0,1,0,0,0
41,Ul'dah - Steps of Thal,Ul'dah - Steps of Thal,,2,0,0,1,0,1,0,0,0
42,Western Thanalan,western Thanalan,,1,0,0,1,0,1,0,0,0
43,Central Thanalan,central Thanalan,,1,0,0,1,0,1,0,0,0
44,Eastern Thanalan,eastern Thanalan,,1,0,0,1,0,1,0,0,0
45,Southern Thanalan,southern Thanalan,,1,0,0,1,0,1,0,0,0
46,Northern Thanalan,northern Thanalan,,1,0,0,1,0,1,0,0,0
47,Cutter's Cry,Cutter's Cry,,0,0,0,1,0,1,0,0,0
48,Copperbell Mines,Copperbell Mines,,1,0,0,1,0,1,0,0,0
49,Halatali,Halatali,,1,0,0,1,0,1,0,0,0
50,The Sunken Temple of Qarn,Sunken Temple of Qarn,,0,0,0,1,0,0,0,0,0
51,Ul'dah,Ul'dah,,1,0,0,1,0,1,0,0,0
52,New Gridania,New Gridania,,1,0,0,1,0,1,0,0,0
53,Old Gridania,Old Gridania,,1,0,0,1,0,1,0,0,0
54,Central Shroud,Central Shroud,,1,0,0,1,0,0,0,0,0
55,East Shroud,East Shroud,,1,0,0,1,0,0,0,0,0
56,South Shroud,South Shroud,,1,0,0,1,0,0,0,0,0
57,North Shroud,North Shroud,,1,0,0,1,0,0,0,0,0
58,The Tam-Tara Deepcroft,Tam-Tara Deepcroft,,0,0,0,1,0,0,0,0,0
59,Haukke Manor,Haukke Manor,,0,0,0,1,0,1,0,0,0
60,,,,0,0,0,0,0,0,0,0,0
61,The Thousand Maws of Toto-Rak,Thousand Maws of Toto-Rak,,0,0,0,1,0,0,0,0,0
62,Ishgard,Ishgard,,1,0,0,1,0,1,0,0,0
63,Coerthas Central Highlands,Coerthas central highlands,,1,0,0,1,0,0,0,0,0
64,Dzemael Darkhold,Dzemael Darkhold,,0,0,0,1,0,1,0,0,0
65,Aurum Vale,Aurum Vale,,1,0,0,1,0,0,0,0,0
66,Far East,Far East,,1,0,0,1,0,0,0,0,0
67,Mor Dhona,Mor Dhona,,1,0,0,1,0,1,0,0,0
68,Jadeite Thick,Jadeite Thick,,1,0,0,1,0,1,10,0,0
69,Greentear,Greentear,,0,0,0,1,0,1,20,0,0
70,Bentbranch,Bentbranch,,0,0,0,1,0,1,30,0,0
71,Sorrel Haven,Sorrel Haven,,0,0,0,1,0,1,40,0,0
72,The Standing Corses,Standing Corses,,0,0,0,1,0,0,45,0,0
73,The Honey Yard,Honey Yard,,0,0,0,1,0,0,10,0,0
74,Nine Ivies,Nine Ivies,,1,0,0,1,0,1,20,0,0
75,The Bramble Patch,Bramble Patch,,0,0,0,1,0,0,30,0,0
76,Larkscall,Larkscall,,0,0,0,1,0,1,40,0,0
77,Sylphlands,Sylphlands,,0,0,0,1,0,0,50,0,0
78,Upper Paths,Upper Paths,,2,0,0,1,0,0,10,0,0
79,Lower Paths,Lower Paths,,2,0,0,1,0,0,30,0,0
80,Snakemolt,Snakemolt,,0,0,0,1,0,1,40,0,0
81,Silent Arbor,Silent Arbor,,1,0,0,1,0,1,20,0,0
82,Urth's Gift,Urth's Gift,,0,0,0,1,0,1,50,0,0
83,Treespeak,Treespeak,,1,0,0,1,0,1,10,0,0
84,Peacegarden,Peacegarden,,1,0,0,1,0,1,20,0,0
85,Alder Springs,Alder Springs,,0,0,0,1,0,1,30,0,0
86,Proud Creek,Proud Creek,,0,0,0,1,0,1,40,0,0
87,Blue Badger Gate,Blue Badger Gate,,0,0,0,1,0,0,0,0,0
88,White Wolf Gate,White Wolf Gate,,0,0,0,1,0,0,0,0,0
89,Gilbert's Spire,Gilbert's Spire,,0,0,0,1,0,1,0,0,0
90,The Bannock,Bannock,,0,0,0,1,0,0,0,0,0
91,Gabineaux's Bower,Gabineaux's Bower,,0,0,0,1,0,1,0,0,0
92,Naked Rock,Naked Rock,,0,0,0,1,0,1,0,0,0
93,Spirithold,Spirithold,,0,0,0,1,0,1,0,0,0
94,Bentbranch Meadows,Bentbranch Meadows,,0,0,0,1,0,1,0,0,0
95,Galvanth's Spire,Galvanth's Spire,,0,0,0,1,0,1,0,0,0
96,The Matron's Lethe,Matron's Lethe,,0,0,0,1,0,0,0,0,0
97,The Tam-Tara Deepcroft,Tam-Tara Deepcroft,,0,0,0,1,0,0,0,0,0
98,The Mirror Planks,Mirror Planks,,0,0,0,1,0,0,0,0,0
99,Lilystone,Lilystone,,0,0,0,1,0,1,0,0,0
100,The Hedgetree,Hedgetree,,0,0,0,1,0,0,0,0,0
101,Everschade,Everschade,,1,0,0,1,0,1,0,0,0
102,Haukke Manor,Haukke Manor,,0,0,0,1,0,1,0,0,0
103,Sanguine Perch,Sanguine Perch,,0,0,0,1,0,0,0,0,0
104,Hopeseed Pond,Hopeseed Pond,,0,0,0,1,0,1,0,0,0
105,Amberscale Rock,Amberscale Rock,,0,0,0,1,0,1,0,0,0
106,Spriggan Dig,Spriggan Dig,,0,0,0,1,0,0,0,0,0
107,The Hawthorne Hut,Hawthorne Hut,,0,0,0,1,0,0,0,0,0
108,The Hedgetree,Hedgetree,,0,0,0,1,0,0,0,0,0
109,,,,0,0,0,0,0,0,0,0,0
110,Amarissaix's Spire,Amarissaix's Spire,,0,0,0,1,0,1,0,0,0
111,Castrum Oriens,Castrum Oriens,,0,0,0,1,0,1,0,0,0
112,Sanctum of the Twelve,Sanctum of the Twelve,,0,0,0,1,0,0,0,0,0
113,Little Solace,Little Solace,,1,0,0,1,0,1,0,0,0
114,Moonspore Grove,Moonspore Grove,,0,0,0,1,0,1,0,0,0
115,The Seedbed,Seedbed,,0,0,0,1,0,0,0,0,0
116,Goldleaf Dais,Goldleaf Dais,,0,0,0,1,0,0,0,0,0
117,Hanging Barbs,Hanging Barbs,,0,0,0,1,0,0,0,0,0
118,Buscarron's Scar,Buscarron's Scar,,0,0,0,1,0,1,0,0,0
119,Buscarron's Druthers,Buscarron's Druthers,,0,0,0,1,0,1,0,0,0
120,The Thousand Maws of Toto-Rak,Thousand Maws of Toto-Rak,,0,0,0,1,0,0,0,0,0
121,Issom-Har,Issom-Har,,0,0,0,1,0,1,0,0,0
122,No Man's Hovel,No Man's Hovel,,0,0,0,1,0,1,0,0,0
123,Camp Tranquil,Camp Tranquil,,0,0,0,1,0,1,0,0,0
124,,,,0,0,0,0,0,0,0,0,0
125,The Lost City of Amdapor,Lost City of Amdapor,,0,0,0,1,0,0,0,0,0
126,Rootslake,Rootslake,,0,0,0,1,0,1,0,0,0
127,South Shroud Landing,South Shroud landing,,0,0,0,1,0,0,0,0,0
128,Amdapor Keep,Amdapor Keep,,0,0,0,1,0,1,0,0,0
129,Quarrymill,Quarrymill,,1,0,0,1,0,1,0,0,0
130,Redbelly Hive,Redbelly Hive,,0,0,0,1,0,1,0,0,0
131,Goblins' Meet,Goblins' Meet,,0,0,0,1,0,1,0,0,0
132,Takers' Rot,Takers' Rot,,0,0,0,1,0,1,0,0,0
