#,ContentTalk[0],ContentTalk[1],ContentTalk[2],ContentTalk[3],ContentTalk[4],ContentTalk[5],ContentTalk[6],ContentTalk[7],Type
0,0,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,1
2,3,4,0,0,0,0,0,0,2
3,5,1,0,0,0,0,0,0,1
4,80,0,0,0,0,0,0,0,1
5,81,0,0,0,0,0,0,0,1
6,134,0,0,0,0,0,0,0,1
7,135,0,0,0,0,0,0,0,1
8,136,0,0,0,0,0,0,0,1
9,137,0,0,0,0,0,0,0,1
10,138,0,0,0,0,0,0,0,1
11,139,0,0,0,0,0,0,0,1
12,140,0,0,0,0,0,0,0,1
13,141,132,0,0,0,0,0,0,2
14,142,133,0,0,0,0,0,0,2
15,143,0,0,0,0,0,0,0,1
16,153,144,0,0,0,0,0,0,2
17,153,146,0,0,0,0,0,0,2
18,153,147,0,0,0,0,0,0,2
19,154,148,0,0,0,0,0,0,2
20,154,149,0,0,0,0,0,0,2
21,154,150,0,0,0,0,0,0,2
22,158,159,189,145,0,0,0,0,1
23,160,161,190,151,0,0,0,0,1
24,162,163,191,152,0,0,0,0,1
25,164,165,145,0,0,0,0,0,1
26,166,167,145,0,0,0,0,0,1
27,168,145,0,0,0,0,0,0,1
28,169,170,145,0,0,0,0,0,1
29,171,172,145,0,0,0,0,0,1
30,173,145,0,0,0,0,0,0,1
31,174,175,151,0,0,0,0,0,1
32,176,177,151,0,0,0,0,0,1
33,178,179,151,0,0,0,0,0,1
34,180,181,151,0,0,0,0,0,1
35,182,183,151,0,0,0,0,0,1
36,184,185,152,0,0,0,0,0,1
37,186,187,152,0,0,0,0,0,1
38,188,152,0,0,0,0,0,0,1
39,155,0,0,0,0,0,0,0,1
40,156,0,0,0,0,0,0,0,1
41,157,0,0,0,0,0,0,0,1
42,192,0,0,0,0,0,0,0,1
43,193,0,0,0,0,0,0,0,3
44,194,0,0,0,0,0,0,0,1
45,195,0,0,0,0,0,0,0,1
46,196,0,0,0,0,0,0,0,1
47,197,198,199,200,0,0,0,0,4
48,201,0,0,0,0,0,0,0,1
49,202,0,0,0,0,0,0,0,1
50,203,0,0,0,0,0,0,0,1
51,204,0,0,0,0,0,0,0,1
52,205,0,0,0,0,0,0,0,1
53,204,0,0,0,0,0,0,0,3
54,201,203,0,0,0,0,0,0,1
55,202,203,0,0,0,0,0,0,1
56,207,206,0,0,0,0,0,0,2
57,208,209,210,211,0,0,0,0,4
58,212,233,0,0,0,0,0,0,1
59,213,234,0,0,0,0,0,0,1
60,214,209,215,216,0,0,0,0,4
61,217,237,0,0,0,0,0,0,1
62,218,238,0,0,0,0,0,0,1
63,220,241,221,222,0,0,0,0,4
64,223,0,0,0,0,0,0,0,1
65,224,0,0,0,0,0,0,0,1
66,226,231,0,0,0,0,0,0,1
67,246,254,247,248,0,0,0,0,4
68,246,254,247,248,0,0,0,0,4
69,249,253,0,0,0,0,0,0,1
70,255,253,0,0,0,0,0,0,1
71,250,256,251,252,0,0,0,0,1
72,242,243,245,0,0,0,0,0,1
73,244,0,0,0,0,0,0,0,1
74,257,258,259,260,261,0,0,0,1
75,261,259,260,0,0,0,0,0,1
76,242,243,262,0,0,0,0,0,1
77,263,264,265,266,267,269,0,0,4
78,268,0,0,0,0,0,0,0,2
79,270,271,272,273,0,0,0,0,4
80,284,285,286,287,288,0,0,0,1
81,289,290,291,292,293,0,0,0,1
82,294,274,275,276,0,0,0,0,4
83,295,0,0,0,0,0,0,0,2
84,296,277,278,279,0,0,0,0,4
85,297,277,280,281,0,0,0,0,4
86,298,277,282,283,0,0,0,0,4
87,301,0,0,0,0,0,0,0,1
88,299,0,0,0,0,0,0,0,1
89,300,0,0,0,0,0,0,0,1
90,302,0,0,0,0,0,0,0,1
91,303,304,317,305,306,318,0,0,1
92,307,308,309,310,311,312,0,0,1
93,313,314,315,316,0,0,0,0,1
94,321,322,0,0,0,0,0,0,1
95,324,325,326,327,349,350,351,0,1
96,328,329,330,331,332,0,0,0,1
97,333,334,335,336,337,0,0,0,1
98,338,339,340,341,0,0,0,0,1
99,342,343,0,0,0,0,0,0,1
100,344,0,0,0,0,0,0,0,1
101,345,346,347,0,0,0,0,0,1
102,348,0,0,0,0,0,0,0,1
103,353,0,0,0,0,0,0,0,2
104,354,355,319,320,0,0,0,0,1
105,356,357,358,359,0,0,0,0,4
106,360,0,0,0,0,0,0,0,1
107,361,0,0,0,0,0,0,0,1
108,362,370,0,0,0,0,0,0,1
109,363,364,365,366,0,0,0,0,4
110,367,0,0,0,0,0,0,0,1
111,368,0,0,0,0,0,0,0,1
112,369,0,0,0,0,0,0,0,1
113,372,357,358,0,0,0,0,0,4
114,372,357,359,0,0,0,0,0,4
115,373,364,365,0,0,0,0,0,4
116,373,364,366,0,0,0,0,0,4
117,375,374,0,0,0,0,0,0,2
118,376,0,0,0,0,0,0,0,1
119,0,377,378,379,380,381,0,0,4
120,382,0,0,0,0,0,0,0,2
121,383,0,0,0,0,0,0,0,2
122,384,0,0,0,0,0,0,0,2
123,0,0,0,0,0,0,0,0,0
124,392,393,394,0,0,0,0,0,1
125,395,396,0,0,0,0,0,0,1
126,397,398,0,0,0,0,0,0,1
127,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0
