#,MaxDistance,Speed,MinRemainingDistance,Direction,UseDistanceBetweenHitboxes
0,0,0,0,0,True
1,25,25,0,0,True
2,20,10,0,0,True
3,35,20,0,0,True
4,60,20,0,0,True
5,25,40,0,0,True
6,30,4,0,0,True
7,30,4,0,0,True
8,30,3,0,0,True
9,100,100,0,0,True
10,100,15,0,0,True
11,40,10,0,0,True
12,50,20,0,0,True
13,5,10,0,0,True
14,45,40,0,0,True
15,50,40,0,0,True
16,50,25,0,0,True
17,30,10,0,0,False
18,30,10,0,0,False
19,3,5,0,0,True
20,45,40,0,0,True
21,50,40,0,0,True
22,50,25,0,0,True
23,50,40,0,0,True
24,30,30,0,0,True
25,50,50,0,0,True
26,20,30,0,0,True
27,40,25,0,0,False
28,25,20,0,0,True
29,30,20,0,0,True
30,25,25,0,0,True
31,25,40,0,0,True
32,10,20,0,0,True
33,25,25,0,0,True
34,25,25,0,0,True
35,25,25,0,0,True
36,25,25,0,0,True
37,25,25,0,0,True
38,25,25,0,0,True
39,65,25,0,0,True
40,20,10,0,0,False
41,30,20,0,0,True
42,40,40,0,0,True
43,100,100,0,0,True
44,40,40,0,0,True
45,40,40,0,0,True
46,20,5,1,0,True
47,10,20,0,0,True
48,10,20,0,0,True
49,50,40,0,0,True
50,25,30,0,0,True
51,20,15,0,0,True
52,25,30,0,0,True
53,20,15,0,0,True
54,20,15,0,0,True
55,25,30,0,0,True
56,20,20,1,0,True
57,40,40,0,0,True
58,6,6,0,0,False
59,25,25,0,0,False
60,40,8,0,0,True
61,50,25,0,0,False
62,30,30,0,0,False
63,6,6,0,0,True
64,15,15,0,0,True
65,15,30,0,0,False
66,50,20,0,0,True
67,45,40,0,0,True
68,50,25,0,0,False
69,100,20,0,0,True
70,4,6,0,0,False
71,18,20,0,0,False
72,30,25,0,0,True
73,20,20,1,0,True
74,5,5,0,0,True
75,90,90,0,0,False
76,30,25,0,0,True
77,20,30,0,0,False
78,10,20,0,0,False
79,10,20,0,0,True
80,10,20,0,0,False
81,30,20,0,0,False
82,15,15,0,0,False
83,11,20,0,0,False
84,8,10,0,0,False
85,11,20,0,0,False
86,10,20,0,0,False
87,25,25,0,0,True
88,60,25,0,0,False
89,50,50,0,0,True
90,50,25,0,0,True
91,30,6,0,0,False
92,60,20,0,0,True
93,50,50,0,0,True
94,50,25,6,0,True
95,30,25,0,0,True
96,30,30,0,0,False
97,10,15,0,0,True
98,5,10,0,3,False
99,60,50,0,0,False
100,6,6,0,0,False
101,10,20,0,3,False
102,20,20,0,0,False
103,25,25,0,0,False
104,30,30,0,0,False
105,9,20,0,4,False
106,9,20,0,5,False
107,5,5,0,0,False
108,20,20,1,0,True
109,15,15,0,0,True
110,10,10,0,6,True
111,5,5,0,6,True
112,100,20,0,0,False
113,50,25,0,4,False
114,50,25,0,5,False
115,25,25,0,3,False
116,25,50,0,3,True
117,5,10,0,0,False
118,15,15,0,0,False
119,17,15,0,0,False
120,8,8,0,6,True
121,25,25,-5,3,False
122,16,32,0,0,False
123,7,10,0,6,False
124,19,19,-10,3,False
125,28,28,-10,3,False
126,0,0,0,0,True
