#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
0,,0,0,0,0,-1
1,Free company established!,0,0,0,1,0
2,Company rank UNKNOWN attained!,0,0,1,1,0
3,Standing with the  now ****!,1,0,1,1,5
4,Standing with the  now ****!,1,0,1,1,6
5,Standing with the  now ****!,1,0,1,1,7
6,“” entitlement awarded!,0,0,1,1,0
7,You joined the company.,4,0,0,2,1
8,You joined the company.,4,0,0,2,1
9,You left the company.,4,0,0,2,2
10,You were dismissed from the company.,4,0,0,2,2
11,You were made .,4,5,0,2,3
12,You were elected .,4,5,0,2,3
13,You were made .,4,5,0,2,3
14,Company allegiance pledged to the .,0,1,0,1,5
15,Company allegiance pledged to the .,0,1,0,1,6
16,Company allegiance pledged to the .,0,1,0,1,7
17,You changed the settings for the member rank “.”,4,5,0,3,3
18,You added the member rank “.”,4,5,0,3,3
19,You deleted the member rank “.”,4,5,0,3,3
20,You changed member rank hierarchy.,4,0,0,3,3
21,You changed company chest settings for  UNKNOWN.,4,6,1,0,-1
22,You changed company chest settings for gil.,4,0,0,0,-1
23,You changed company chest settings for crystals.,4,0,0,0,-1
24,You updated the company board.,4,0,0,3,4
25,You updated the company profile.,4,0,0,3,4
26,You changed the company crest.,4,0,0,3,8
27,You purchased the company action “.”,4,0,1,4,9
28,You activated the company action “.”,4,0,1,4,9
29,Activity deleted.,0,0,0,0,4
30,You changed the name of a member rank to “.”,4,5,0,3,3
31,You disabled the company action “.”,4,0,1,4,9
32,You discarded the company action “.”,4,0,1,4,9
33,The company name abbreviation has been changed to “.”,0,3,0,3,4
34,The company name has been changed to “.”,0,2,0,3,4
35,"You changed the name of the estate hall at plot UNKNOWN, ward UNKNOWN,  to .",4,9,0,5,11
36,You updated the greeting for .,4,8,0,5,11
37,"You purchased the deed to plot UNKNOWN, ward UNKNOWN,  for the company.",4,7,0,5,11
38,"You relinquished the deed to plot UNKNOWN, ward UNKNOWN,  for the company.",4,7,0,5,11
39,"Your company's deed to plot UNKNOWN, ward UNKNOWN,  was revoked.",0,7,0,5,11
40,"You built an  at plot UNKNOWN, ward UNKNOWN, .",4,7,1,5,11
41,You removed .,4,8,0,5,11
42,You remodeled the exterior of .,4,8,0,5,11
43,You remodeled the interior of .,4,8,0,5,11
