#,Name,Icon,SortKey
0,None,61762,0
1,Dungeons,61801,20
2,Trials,61804,21
3,Raids,61802,22
4,Ultimate Raids,61832,23
5,Deep Dungeons,61824,30
6,Field Operations,61837,31
7,PvP,61806,40
8,Blue Mage,61836,51
9,Treasure Hunts,61808,52
10,The Hunt,61819,53
11,Crafting,61816,100
12,Botany/Mining,61755,101
13,Fishing,61756,102
14,Main Scenario,61757,10
15,Gold Saucer,61820,54
16,Duty Roulette,61807,50
17,Leveling,61752,150
18,Role-playing,61751,151
19,Hardcore,61754,153
20,Casual,61753,152
21,New Adventurer,61823,154
22,Mentor,61760,155
23,Making Gil,61758,200
24,Group Pose,61764,205
25,Glamour,61759,204
26,Performance Mode,61763,203
27,Player Chat,61765,206
28,Housing,61761,202
29,Community Events,61766,207
30,Achievements,61767,201
31,V&C Dungeons,61846,32
32,Doman Mahjong,61768,55
33,Island Sanctuary,61847,56
