key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
#,InstanceContentType,WeekRestriction,TimeLimit{min},,BGM,WinBGM,Cutscene,LGBEventRange,Order,Colosseum,,InstanceContentTextData{Boss}{Start},InstanceContentTextData{Boss}{End},BNpcBase{Boss},InstanceContentTextData{Objective}{Start},InstanceContentTextData{Objective}{End},SortKey,NewPlayerBonusGil,NewPlayerBonusExp,NewPlayerBonusA,NewPlayerBonusB,FinalBossExp,,FinalBossCurrencyA,FinalBossCurrencyB,FinalBossCurrencyC,BossExp[0],BossExp[1],BossExp[2],BossExp[3],BossExp[4],BossCurrencyA[0],BossCurrencyA[1],BossCurrencyA[2],BossCurrencyA[3],BossCurrencyA[4],BossCurrencyB[0],BossCurrencyB[1],BossCurrencyB[2],BossCurrencyB[3],BossCurrencyB[4],BossCurrencyC[0],BossCurrencyC[1],BossCurrencyC[2],BossCurrencyC[3],BossCurrencyC[4],InstanceClearExp,InstanceClearGil,InstanceContentRewardItem,,,InstanceContentBuff,,ReqInstance,PartyCondition,,,,,,,,,,,,,,,,,,
int32,InstanceContentType,byte,uint16,bit&01,BGM,BGM,Cutscene,uint32,uint16,Colosseum,bit&02,InstanceContentTextData,InstanceContentTextData,BNpcBase,InstanceContentTextData,InstanceContentTextData,uint16,uint32,uint32,uint16,uint16,uint32,byte,uint32,uint16,uint16,uint16,uint32,uint32,uint32,uint32,uint32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint32,InstanceContentRewardItem,uint32,uint16,InstanceContentBuff,uint32,InstanceContent,bit&04,uint32,int16,byte,byte,byte,byte,byte,bit&08,uint16,uint16,uint16,byte,uint16,uint16,bit&10,uint16,uint16,bit&20
0,0,0,60,False,0,18,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,False,0,0,False,0,-1,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,False
1,2,0,90,False,0,18,22,9083612,1,0,False,0,0,444,33300,33305,5,3400,3600,0,0,18230,0,32400,0,0,0,8100,14180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40500,550,0,100,False,0,0,True,0,-1,0,0,0,0,0,False,0,83,46,5,14,0,False,0,0,True
2,2,0,90,False,0,18,17,1958540,2,0,False,1003,1004,73,1000,1004,2,2600,2200,0,0,13480,0,19600,0,0,0,3680,3680,3680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24500,400,78,100,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,5,15,0,False,0,0,True
3,2,0,90,False,0,18,177,2790145,3,0,False,2704,2705,101,2700,2705,3,2700,2700,0,0,13640,0,24200,0,0,0,6060,10610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30300,400,0,100,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,5,16,0,False,0,0,True
4,2,0,90,False,0,18,174,3283219,4,0,False,2504,2505,1206,2500,2505,1,2500,2100,0,0,12925,0,18800,0,0,0,3525,3525,3525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23500,400,6,100,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,5,17,0,False,0,0,True
5,2,0,90,False,0,18,316,3619405,5,0,False,0,0,1532,2900,2903,12,5700,10300,0,0,51620,0,91800,0,0,0,22940,40150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114700,2400,4,100,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,5,18,0,False,0,0,True
6,2,0,90,False,0,18,18,3633039,6,0,False,0,0,422,1100,1103,6,3800,4300,0,0,21960,0,39000,0,0,0,9760,17080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48800,700,11,100,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,5,19,0,False,0,0,True
7,2,0,90,False,0,18,180,4097951,7,0,False,0,0,1197,2405,2407,4,3000,3100,0,0,15620,0,27800,0,0,0,6940,12150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34700,450,0,100,False,0,0,True,0,-1,0,0,0,0,0,False,0,184,0,5,20,0,False,0,0,True
8,2,0,90,False,0,18,183,3998421,8,0,False,0,0,1279,2400,2403,7,4200,5300,0,0,26960,0,47900,0,0,0,11980,20970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59900,900,0,100,False,0,0,True,0,-1,0,0,0,0,0,False,0,81,0,5,21,0,False,0,0,True
9,2,0,90,False,0,18,304,4064743,9,0,False,0,0,1570,3500,3509,8,4500,6200,0,0,31320,0,55700,0,0,0,13920,24360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69600,1200,0,100,False,0,0,True,0,-1,0,0,0,0,0,False,0,204,0,5,22,0,False,0,0,True
10,2,0,90,False,0,18,301,4177426,10,0,False,0,0,1547,2800,2804,13,0,0,30,0,24460,0,0,10,0,0,10870,19030,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,2,40,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,0,23,0,False,0,0,True
11,2,0,90,False,0,18,298,4239689,11,0,False,0,0,1680,4400,4402,10,5100,8400,0,0,42390,0,75400,0,0,0,18840,32970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94200,1800,14,100,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,44,5,24,0,False,0,0,True
12,2,0,90,False,0,18,310,3690171,12,0,False,0,0,1590,3400,3402,9,4800,7500,0,0,37850,0,67300,0,0,0,16820,29440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84100,1500,13,100,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,5,25,0,False,0,0,True
13,2,0,90,False,0,18,313,4229622,13,0,False,0,0,1396,2904,2906,11,5400,8900,0,0,44820,0,79700,0,0,0,19920,34860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99600,2100,5,100,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,5,26,0,False,0,0,True
14,2,0,90,False,0,18,307,4246570,14,0,False,0,0,1696,4500,4502,16,0,0,30,0,27520,0,0,10,0,0,12230,21400,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,9,45,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,0,27,0,False,0,0,True
15,2,0,90,False,148,18,266,9088363,15,0,False,0,0,0,33500,33526,14,0,0,100,0,77666,0,0,100,0,0,34518,60407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,16,80,False,0,0,True,0,-1,0,0,0,0,0,False,0,86,47,5,28,0,False,0,0,True
16,2,0,120,False,149,18,279,9058465,16,0,False,0,0,0,32900,32921,15,0,0,100,0,159000,0,0,200,0,0,24460,14680,17120,0,29350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,17,180,False,0,0,True,0,-1,0,0,0,58,0,False,0,77,49,0,0,0,False,0,0,True
17,2,0,90,False,1115,18,405,4378111,17,0,False,0,0,2265,4600,4612,17,0,0,40,0,27520,0,0,15,0,0,12230,21400,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,8,45,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,0,30,0,False,0,0,True
18,2,0,90,False,17,18,419,4481318,18,0,False,0,0,2289,4800,4812,18,0,0,40,0,27520,0,0,15,0,0,12230,21400,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,69,45,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,0,31,0,False,0,0,True
19,2,0,90,False,17,18,422,4497567,19,0,False,0,0,2346,5000,5007,19,0,0,40,0,27520,0,0,15,0,0,12230,21400,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,12,45,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,0,32,0,False,0,0,True
20,2,0,90,False,17,18,499,4543710,20,0,False,5305,5306,2547,5300,5308,22,0,0,50,0,30580,0,0,20,0,0,13590,23780,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,0,50,False,0,0,True,0,-1,0,0,0,0,0,False,0,153,0,0,33,0,False,0,0,True
21,2,0,90,False,1123,18,496,4569373,21,0,False,0,0,1197,5100,5116,21,0,0,50,0,30580,0,0,20,0,0,13590,23780,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,0,50,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,0,34,0,False,0,0,True
22,2,0,90,False,1120,18,493,4574827,22,0,False,0,0,2564,5400,5406,20,0,0,50,0,30580,0,0,20,0,0,13590,23780,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,80,50,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,0,35,0,False,0,0,True
23,2,0,90,False,216,18,565,4685110,23,0,False,0,0,0,6000,6005,23,0,0,60,0,33640,0,0,25,0,0,14950,26160,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,0,55,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,0,36,0,False,0,0,True
24,2,0,90,False,217,18,571,4660222,24,0,False,0,0,0,6400,6414,24,0,0,60,0,33640,0,0,25,0,0,14950,26160,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,68,55,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,0,37,0,False,0,0,True
25,2,0,90,False,17,18,568,4616677,25,0,False,0,0,0,6100,6106,25,0,0,60,0,33640,0,0,25,0,0,14950,26160,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,15,55,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,0,38,0,False,0,0,True
26,2,0,90,False,234,18,650,4877226,26,0,False,0,0,0,6500,6507,28,0,0,70,0,36690,0,0,35,0,0,16310,28540,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,75,60,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,0,39,0,False,0,0,True
27,2,0,90,False,233,18,647,4725496,27,0,False,0,0,0,6800,6804,26,0,0,70,0,36690,0,0,35,0,0,16310,28540,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,74,60,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,5,40,0,False,0,0,True
28,2,0,90,False,235,18,653,4878743,28,0,False,0,0,0,6600,6617,27,0,0,70,0,36690,0,0,35,0,0,16310,28540,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,7,60,False,0,0,True,0,-1,0,0,0,0,0,False,0,127,0,0,41,0,False,0,0,True
29,2,0,90,False,246,18,738,5018469,29,0,False,0,0,0,7300,7309,31,0,0,80,0,39750,0,0,50,0,0,17670,30920,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,10,65,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,0,42,0,False,0,0,True
30,2,0,90,False,245,18,742,4898011,30,0,False,0,0,0,6700,6719,30,0,0,80,0,39750,0,0,50,0,0,17670,30920,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,135900,3000,3,65,False,0,0,True,0,-1,0,0,0,0,0,False,0,0,0,0,43,0,False,0,0,True
