#,Item,RequiredQuest,LevelMin,LevelMax,CollectablesShopRefine,CollectablesShopRewardScrip,CollectablesShopItemGroup,Stars,Key
0.0,0,0,0,0,0,0,0,0,0
1.0,31101,0,80,80,102,1,35,2,3
1.1,31109,0,80,80,103,2,35,3,3
2.0,31102,0,80,80,102,3,36,2,3
2.1,31110,0,80,80,103,4,36,3,3
3.0,31103,0,80,80,102,5,37,2,3
3.1,31111,0,80,80,103,6,37,3,3
4.0,31104,0,80,80,102,7,38,2,3
4.1,31112,0,80,80,103,8,38,3,3
5.0,31105,0,80,80,102,9,39,2,3
5.1,31113,0,80,80,103,10,39,3,3
6.0,31106,0,80,80,102,11,40,2,3
6.1,31114,0,80,80,103,12,40,3,3
7.0,31107,0,80,80,102,13,41,2,3
7.1,31115,0,80,80,103,14,41,3,3
8.0,31108,0,80,80,102,15,42,2,3
8.1,31116,0,80,80,103,16,42,3,3
9.0,0,0,0,0,0,0,0,0,0
9.1,0,0,0,0,0,0,0,0,0
10.0,0,0,0,0,0,0,0,0,0
10.1,0,0,0,0,0,0,0,0,0
11.0,0,0,0,0,0,0,0,0,0
11.1,0,0,0,0,0,0,0,0,0
12.0,5108,0,50,50,0,0,2,3,3
12.1,5126,0,50,50,0,0,2,0,3
12.2,5109,0,51,51,0,0,2,0,3
12.3,5162,0,51,52,0,0,2,0,3
12.4,12941,0,53,53,0,0,2,0,3
12.5,5112,0,53,54,0,0,2,0,3
12.6,5161,0,53,55,0,0,2,0,3
12.7,13761,0,56,56,0,0,2,0,3
12.8,12901,0,56,56,0,0,2,0,3
12.9,5117,0,56,57,0,0,2,0,3
12.10,5159,0,58,58,0,0,2,0,3
12.11,12942,0,58,59,0,0,2,0,3
12.12,13759,0,59,59,0,0,2,0,3
12.13,13760,0,59,60,0,0,2,0,3
12.14,12536,0,60,60,0,0,2,1,3
12.15,14148,0,60,60,0,0,2,1,3
12.16,12540,0,60,60,0,0,2,1,3
12.17,5226,0,60,60,0,0,2,1,3
12.18,5163,0,60,60,0,0,2,1,3
12.19,5160,0,60,60,0,0,2,1,3
12.20,12945,0,60,60,0,0,2,1,3
12.21,14151,0,60,60,0,0,2,1,3
12.22,15646,0,60,60,0,0,2,1,3
12.23,19910,0,60,60,0,0,2,2,3
12.24,19968,0,60,60,0,0,2,2,3
12.25,12538,0,60,60,0,0,2,0,3
12.26,19871,0,61,61,0,0,3,0,3
12.27,19951,0,61,63,0,0,3,0,3
12.28,19970,0,61,63,0,0,3,0,3
12.29,19952,0,66,66,0,0,3,0,3
12.30,19971,0,66,66,0,0,3,0,3
12.31,19954,0,66,68,0,0,3,0,3
12.32,19972,0,70,68,0,0,3,0,3
12.33,19959,0,70,70,0,0,3,1,3
12.34,19958,0,70,70,0,0,3,1,3
12.35,27817,0,70,70,0,0,3,2,3
12.36,27726,0,70,70,0,0,3,2,3
12.37,19957,0,70,70,0,0,3,0,3
12.38,19973,0,70,70,0,0,3,0,3
12.39,27727,0,71,72,0,0,4,0,3
12.40,27968,0,71,73,0,0,4,0,3
12.41,27776,0,76,76,0,0,4,0,3
12.42,27729,0,76,76,0,0,4,0,3
12.43,27782,0,76,78,0,0,4,0,3
12.44,27730,0,80,78,0,0,4,0,3
12.45,27705,0,80,80,0,0,4,1,3
12.46,27704,0,80,80,0,0,4,1,3
12.47,27703,0,80,80,0,0,4,0,3
12.48,27731,0,80,80,0,0,4,0,3
13.0,12896,0,50,50,0,0,5,3,3
13.1,5384,0,50,50,0,0,5,0,3
13.2,12899,0,51,51,0,0,5,0,3
13.3,12877,0,51,52,0,0,5,0,3
13.4,12882,0,53,53,0,0,5,0,3
13.5,12943,0,53,54,0,0,5,0,3
13.6,12884,0,53,55,0,0,5,0,3
13.7,13764,0,56,56,0,0,5,0,3
13.8,12889,0,56,56,0,0,5,0,3
13.9,12897,0,56,57,0,0,5,0,3
13.10,12944,0,58,58,0,0,5,0,3
13.11,12898,0,58,59,0,0,5,0,3
13.12,17689,0,58,59,0,0,5,0,3
13.13,13763,0,59,59,0,0,5,0,3
13.14,13762,0,59,60,0,0,5,0,3
13.15,4833,0,60,60,0,0,5,1,3
13.16,12903,0,60,60,0,0,5,1,3
13.17,14154,0,60,60,0,0,5,1,3
13.18,12634,0,60,60,0,0,5,1,3
13.19,12902,0,60,60,0,0,5,1,3
13.20,12904,0,60,60,0,0,5,1,3
13.21,12587,0,60,60,0,0,5,1,3
13.22,14957,0,60,60,0,0,5,1,3
13.23,15647,0,60,60,0,0,5,1,3
13.24,19868,0,60,60,0,0,5,2,3
13.25,19936,0,60,60,0,0,5,2,3
13.26,12900,0,60,60,0,0,5,0,3
13.27,19930,0,61,61,0,0,6,0,3
13.28,19931,0,61,63,0,0,6,0,3
13.29,19860,0,61,63,0,0,6,0,3
13.30,19855,0,66,66,0,0,6,0,3
13.31,19865,0,66,66,0,0,6,0,3
13.32,19914,0,66,68,0,0,6,0,3
13.33,19857,0,70,68,0,0,6,0,3
13.34,19991,0,70,70,0,0,6,1,3
13.35,19934,0,70,70,0,0,6,1,3
13.36,27827,0,70,70,0,0,6,2,3
13.37,27816,0,70,70,0,0,6,2,3
13.38,19933,0,70,70,0,0,6,0,3
13.39,19852,0,70,70,0,0,6,0,3
13.40,27833,0,71,72,0,0,7,0,3
13.41,27832,0,71,73,0,0,7,0,3
13.42,27821,0,76,76,0,0,7,0,3
13.43,27822,0,76,76,0,0,7,0,3
13.44,27819,0,76,78,0,0,7,0,3
13.45,27828,0,80,78,0,0,7,0,3
13.46,27688,0,80,80,0,0,7,1,3
13.47,27761,0,80,80,0,0,7,1,3
13.48,27687,0,80,80,0,0,7,0,3
13.49,27835,0,80,80,0,0,7,0,3
14.0,12713,0,50,51,3,2,8,0,3
14.1,12724,0,50,51,4,3,8,0,3
14.2,12721,0,52,52,5,4,8,0,3
14.3,12726,0,52,53,6,5,8,0,3
14.4,12739,0,54,54,7,6,8,0,3
14.5,12742,0,54,55,8,7,8,0,3
14.6,12767,0,56,56,9,8,8,0,3
14.7,12768,0,56,57,10,9,8,0,3
14.8,12792,0,58,58,11,10,8,0,3
14.9,12804,0,59,59,12,11,8,0,3
14.10,12837,0,60,60,13,12,8,1,3
14.11,12830,0,60,60,14,13,8,1,3
14.12,14211,0,60,60,15,14,8,1,3
14.13,12825,0,60,60,16,15,8,1,3
14.14,12827,0,60,60,17,16,8,1,3
14.15,12814,0,60,60,18,17,8,0,3
14.16,13729,0,60,60,19,18,8,0,3
14.17,12834,0,60,60,20,19,8,0,3
14.18,12828,0,60,60,21,20,8,0,3
14.19,12774,0,60,60,22,21,8,0,3
14.20,20087,0,60,61,23,22,9,0,3
14.21,20098,0,62,63,24,23,9,0,3
14.22,20118,0,64,64,25,24,9,0,3
14.23,20036,0,64,65,26,25,9,0,3
14.24,20044,0,66,67,27,26,9,0,3
14.25,20028,0,66,67,28,27,9,0,3
14.26,20104,0,68,68,29,28,9,0,3
14.27,20210,0,65,68,138,652,9,0,3
14.28,20220,0,65,69,139,653,9,0,3
14.29,20233,0,65,69,140,654,9,0,3
14.30,20238,0,65,69,141,655,9,0,3
