#,Icon,ItemName,KeyItemName,InstanceMap,Unknown0,Unknown1,MaxPartySize,TreasureHuntTexture,Unknown2
0,60356,6688,2001087,0,200,1,1,0,False
1,60356,6688,2001087,0,200,1,1,0,False
2,60356,6689,2001088,0,200,1,1,0,False
3,60355,6690,2001089,0,200,1,1,0,False
4,60354,6691,2001090,0,200,1,1,0,False
5,60354,6692,2001091,0,200,1,8,0,False
6,60354,7884,2001223,0,200,1,1,1,False
7,60354,8156,2001352,0,200,1,1,0,False
8,60354,9900,2001551,0,200,1,1,2,False
9,60356,12241,2001762,0,200,1,1,0,False
10,60355,12242,2001763,0,200,1,1,0,False
11,60354,12243,2001764,2001977,200,1,8,0,False
12,60355,17835,2002209,0,200,1,1,0,False
13,60354,17836,2002210,2002236,200,1,8,0,False
14,60354,19770,2002386,2002260,100,2,8,4,False
15,0,0,0,0,0,0,0,0,False
16,60354,24794,2002503,2002504,200,1,8,0,False
17,60354,26744,2002663,0,200,1,1,0,False
18,60354,26745,2002664,2002665,200,1,8,0,False
19,0,0,0,0,0,0,0,0,False
20,60354,33328,2003075,2003076,200,1,8,0,False
21,60354,36611,2003245,0,200,1,1,0,False
22,60354,36612,2003246,2003247,200,1,8,0,False
23,0,0,0,0,0,0,0,0,False
24,60354,39591,2003457,2003458,200,1,8,0,False
25,60354,39593,2003455,2003456,200,1,8,0,False
26,60354,39918,2003463,2003464,200,1,8,0,False
27,60354,43556,2003562,0,200,1,1,0,False
28,60354,43557,2003563,2003564,200,1,8,0,False
29,0,0,0,0,0,0,0,0,False
30,60354,46185,2003785,2003786,200,1,8,0,False
31,0,0,0,0,0,0,0,0,False
