#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,7943603,0,0,0,0,0,0,0,0,0,0,0,0,1
1.1,7943605,0,0,0,0,0,0,0,0,0,0,0,0,1
1.2,7943606,0,0,0,0,0,0,0,0,0,0,0,0,1
1.3,8003821,0,0,0,0,0,0,0,0,0,0,0,0,1
1.4,8003822,0,0,0,0,0,0,0,0,0,0,0,0,1
1.5,8003823,0,0,0,0,0,0,0,0,0,0,0,0,1
1.6,8003824,0,0,0,0,0,0,0,0,0,0,0,0,1
1.7,7943604,0,0,0,0,0,0,0,0,0,0,0,0,1
1.8,8035983,2,0,0,0,0,0,0,0,0,0,0,0,1
1.9,7943607,0,0,0,0,0,0,0,0,0,0,0,0,1
1.10,8049924,0,0,0,0,0,0,0,0,0,0,0,0,1
1.11,7943609,0,0,0,0,0,0,0,0,0,0,0,0,1
1.12,7943612,0,0,0,0,0,0,0,0,0,0,0,0,1
1.13,7943613,0,0,0,0,0,0,0,0,0,0,0,0,1
1.14,7943610,0,0,0,0,0,0,0,0,0,0,0,0,1
1.15,7943611,0,0,0,0,0,0,0,0,0,0,0,0,1
1.16,7919865,0,0,0,0,0,0,0,0,0,0,0,0,3
1.17,7840440,0,0,0,0,0,0,0,0,0,0,0,0,3
1.18,7919905,0,0,0,0,0,0,0,0,0,0,0,0,3
1.19,7785693,0,0,0,0,0,0,0,0,0,0,0,0,3
1.20,7785698,0,0,0,0,0,0,0,0,0,0,0,0,3
2.0,7878044,2,0,0,0,0,0,0,0,0,0,0,0,1
2.1,7878050,0,0,0,0,0,0,0,0,0,0,0,0,1
2.2,7878052,0,0,0,0,0,0,0,0,0,0,0,0,1
2.3,7878054,0,0,0,0,0,0,0,0,0,0,0,0,1
2.4,7878063,2,0,0,0,0,0,0,0,0,0,0,0,1
2.5,7878181,2,0,0,0,0,0,0,0,0,0,0,0,1
2.6,7884650,0,0,0,0,0,0,0,0,0,0,0,0,3
2.7,7961371,0,0,0,0,0,0,0,0,0,0,0,0,1
2.8,105,0,0,0,0,0,0,0,0,0,0,0,0,80
2.9,7673272,2,0,0,0,0,0,0,0,0,0,0,0,3
2.10,7878181,0,0,0,0,0,0,0,0,0,0,0,0,1
2.11,7878198,0,0,0,0,0,0,0,0,0,0,0,0,1
2.12,7674196,0,0,0,0,0,0,0,0,0,0,0,0,3
2.13,2526,0,0,0,0,0,0,0,0,0,0,0,0,20
2.14,2527,0,0,0,0,0,0,0,0,0,0,0,0,20
2.15,784,0,0,0,0,0,0,0,0,0,0,0,0,50
2.16,7878297,2,0,0,0,0,0,0,0,0,0,0,0,1
2.17,7878299,0,0,0,0,0,0,0,0,0,0,0,0,1
2.18,7878300,0,0,0,0,0,0,0,0,0,0,0,0,1
2.19,7878302,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,7885098,0,0,0,0,0,0,0,0,0,0,0,0,1
3.1,7923517,0,0,0,0,0,0,0,0,0,0,0,0,3
3.2,7885102,0,0,0,0,0,0,0,0,0,0,0,0,1
