key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#,TerritoryType{Entry}[0],TerritoryType{Entry}[1],TerritoryType{Entry}[2],TerritoryType{Entry}[3],TerritoryType{Entry}[4],TerritoryType{Entry}[5],TerritoryType{Entry}[6],TerritoryType{Entry}[7],TerritoryType{Exit}[0],TerritoryType{Exit}[1],TerritoryType{Exit}[2],TerritoryType{Exit}[3],TerritoryType{Exit}[4],TerritoryType{Exit}[5],TerritoryType{Exit}[6],TerritoryType{Exit}[7],Cost[0],Cost[1],Cost[2],Cost[3],Cost[4],Cost[5],Cost[6],Cost[7],,,,
int32,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint32
0,0,156,958,156,956,957,958,1189,1189,0,819,959,961,960,1077,1162,1192,1265,0,100,300,200,300,100,400,100,100,9250
1,819,0,819,819,819,819,819,819,819,156,0,959,961,960,1077,1162,1192,1265,100,0,1740,100,1622,1029,1840,1310,1310,100000
2,959,959,0,959,959,959,959,959,959,958,819,0,961,960,1077,1162,1192,1265,300,1740,0,1840,2508,1842,100,3357,3357,100000
3,961,961,961,0,961,961,961,961,961,156,819,959,0,960,1077,1162,1192,1265,200,100,1840,0,1722,1129,1940,1410,1410,100000
4,960,960,960,960,0,960,960,960,960,956,819,959,961,0,1077,1162,1192,1265,300,1622,2508,1722,0,2668,2608,2239,2239,100000
5,1077,1077,1077,1077,1077,0,1077,1077,1077,957,819,959,961,960,0,1162,1192,1265,100,1029,1842,1129,2668,0,1942,2511,2511,100000
6,1162,1162,1162,1162,1162,1162,0,1162,1162,958,819,959,961,960,1077,0,1192,1265,400,1840,100,1940,2608,1942,0,3457,3457,100000
7,1192,1192,1192,1192,1192,1192,1192,0,1192,1189,819,959,961,960,1077,1162,0,1265,100,1310,3357,1410,2239,2511,3457,0,200,100000
8,1265,1265,1265,1265,1265,1265,1265,1265,0,1189,819,959,961,960,1077,1162,1192,0,100,1310,3357,1410,2239,2511,3457,200,0,100000
