#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
0,False,False,False,False,False,False,False,False,False,False,False
1,True,True,True,True,True,True,True,True,True,True,True
2,True,True,True,True,True,False,True,True,True,True,True
3,True,True,True,True,True,False,True,True,True,True,False
4,True,True,True,False,True,False,True,True,True,True,False
5,True,True,True,False,True,False,True,True,True,True,True
6,True,True,True,True,True,True,True,True,True,True,False
7,False,True,True,False,False,False,False,True,True,True,False
8,False,True,True,False,False,False,False,False,False,False,True
9,False,True,True,True,False,False,False,True,False,False,False
10,False,False,False,False,False,False,False,True,False,False,False
11,False,False,False,False,False,False,False,False,True,False,False
12,False,True,True,True,False,False,False,True,False,False,True
13,False,False,True,False,False,False,False,False,False,False,False
14,False,False,False,False,False,False,False,True,False,False,True
15,True,True,True,False,True,True,True,True,True,True,True
16,True,True,True,True,False,False,True,True,True,True,True
17,False,True,True,False,False,False,False,True,True,True,True
18,False,True,True,False,False,False,True,True,True,True,True
19,False,False,True,False,False,False,False,True,False,False,False
20,False,False,False,False,False,False,False,True,True,False,False
21,False,False,False,False,False,False,False,False,False,False,True
22,False,False,True,False,False,False,False,True,True,True,False
23,True,True,True,False,False,False,True,True,True,True,True
24,False,False,True,False,False,False,False,False,True,False,False
25,False,False,False,False,False,False,True,False,False,True,False
26,False,True,False,False,True,False,True,False,True,True,False
27,False,False,False,False,False,False,True,False,True,True,False
28,False,False,True,True,True,False,True,True,True,True,True
29,False,False,True,False,True,False,True,True,True,True,True
30,True,True,True,False,True,False,True,True,True,False,True
31,True,True,True,False,True,False,False,True,True,True,True
32,True,True,True,False,True,False,True,False,False,False,True
33,False,False,False,False,False,False,False,False,False,False,False
34,False,True,False,True,False,True,False,False,True,True,False
35,True,True,True,True,True,True,False,True,False,False,True
36,False,False,False,True,True,True,False,True,False,True,True
37,False,True,True,True,True,True,True,True,True,True,True
38,False,True,True,False,True,False,True,True,True,True,False
39,False,True,True,True,True,True,False,True,False,False,True
40,False,True,True,True,True,True,False,True,True,True,True
41,False,False,True,True,True,True,False,False,False,False,True
42,False,False,False,True,True,True,True,True,False,False,False
43,False,True,False,True,True,True,True,True,False,False,True
44,False,True,True,True,True,True,False,False,True,True,False
45,False,True,True,False,False,False,False,True,True,True,True
46,False,True,False,False,True,False,False,True,True,True,True
47,True,False,False,False,False,False,False,True,True,True,True
48,False,True,False,False,False,False,False,True,True,True,True
49,False,True,False,False,True,False,True,True,True,True,False
50,False,False,False,False,True,False,False,True,True,True,False
51,False,True,True,False,False,False,True,True,True,True,False
52,False,True,True,True,False,False,True,True,True,True,False
53,True,False,True,True,True,False,True,True,True,True,False
54,False,True,True,False,False,False,False,True,False,False,False
55,True,True,True,False,False,False,False,True,True,True,False
56,True,True,True,True,True,False,False,True,True,True,False
57,True,True,True,False,False,False,True,True,True,True,False
58,True,False,False,False,False,False,False,False,False,True,False
59,False,True,True,False,False,False,False,True,False,False,True
60,False,True,True,True,False,False,True,True,False,False,False
61,False,False,False,False,False,False,False,True,True,False,True
62,False,False,True,False,False,False,False,True,True,False,False
63,False,True,True,True,False,False,True,True,True,True,True
64,False,False,True,False,False,False,True,True,True,True,False
65,True,True,True,False,False,False,False,True,True,True,True
66,True,True,True,True,False,False,True,True,True,True,False
67,False,False,False,False,False,False,False,True,True,True,False
68,False,True,False,False,False,False,False,True,True,True,False
69,False,True,True,True,False,False,False,True,True,True,True
70,False,False,False,True,False,False,True,False,False,False,False
71,True,True,True,True,True,False,False,True,True,True,True
72,False,True,True,False,False,False,True,True,False,False,False
73,False,True,True,True,False,False,False,True,True,True,False
74,False,False,True,False,False,False,False,False,True,True,False
75,False,False,True,False,False,False,True,False,True,True,False
76,False,True,True,False,False,False,True,True,True,False,True
