#,Scale,ArrayEventHandler,Behavior,ModelChara,BNpcCustomize,NpcEquip,Special,Unknown9,Battalion,LinkRace,Rank,SEPack,Unknown0,BNpcParts,Unknown1,Unknown2,Unknown3,Unknown10,Unknown4,IsOmnidirectional,Unknown6,IsTargetLine,IsDisplayLevel,Unknown7,Unknown_70,Unknown8
0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
1,1,0,0,0,2,366,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
2,1,851976,0,96,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
3,1.2,852023,0,61,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
4,1.3,852053,0,62,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
5,1.2,851987,0,31,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
6,1.2,851994,0,32,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
7,2,851997,0,53,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
8,2,852174,0,54,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
9,1,851984,0,20,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
10,1.5,851978,0,21,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
11,2,852199,0,22,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
12,1.5,851973,0,39,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
13,1.5,852137,0,40,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
14,0.9,851969,0,46,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
15,1.2,851995,0,44,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
16,1.2,851972,0,45,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
17,2,851971,0,100,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
18,1,851985,0,0,81,462,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
19,1,852075,0,0,82,463,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
20,1.5,851992,0,17,0,416,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
21,1.5,852040,0,63,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
22,2,851983,0,48,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
23,2,852024,0,49,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
24,1,852044,0,104,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
25,1,0,0,106,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
26,1.5,852030,0,126,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,False,True,True,True,False,False,False
