#,RequiredQuality,Quest,Number,CraftType,ItemResult,Ingredient[0],Ingredient[1],Ingredient[2],Ingredient[3],Ingredient[4],Ingredient[5],Ingredient[6],Ingredient[7],StatusRequired,ItemRequired,RecipeLevelTable,MaxAdjustableJobLevel,RecipeNotebookList,DisplayPriority,DifficultyFactor,QualityFactor,DurabilityFactor,RequiredCraftsmanship,RequiredControl,QuickSynthCraftsmanship,QuickSynthControl,SecretRecipeBook,CollectableMetadata,PatchNumber,AmountResult,AmountIngredient[0],AmountIngredient[1],AmountIngredient[2],AmountIngredient[3],AmountIngredient[4],AmountIngredient[5],AmountIngredient[6],AmountIngredient[7],MaterialQualityFactor,CollectableMetadataKey,IsSecondary,CanQuickSynth,CanHq,ExpRewarded,Unknown1,IsSpecializationRequired,IsExpert
0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,100,100,100,0,0,0,0,0,65535,0,1,0,0,0,0,0,0,0,0,50,0,False,True,True,True,False,False,False
1,0,0,1,1,5056,5106,5107,0,0,0,0,2,-1,0,0,1,0,0,0,50,80,67,0,0,0,0,0,65535,0,1,2,1,0,0,0,0,1,0,0,0,False,True,True,True,False,False,False
2,0,0,3,1,2546,5056,5361,0,0,0,0,2,5,0,0,1,0,0,0,100,100,100,0,0,0,0,0,65535,0,1,1,1,0,0,0,0,1,1,50,0,True,True,True,True,False,False,False
3,0,0,3,1,1602,5056,5361,5432,0,0,0,2,5,0,0,2,0,0,0,100,100,100,0,0,0,0,0,65535,0,1,1,1,1,0,0,0,1,1,50,0,True,True,True,True,False,False,False
4,0,0,3,1,2355,5056,5275,0,0,0,0,2,5,0,0,2,0,0,0,100,100,100,0,0,0,0,0,65535,0,1,2,1,0,0,0,0,1,1,50,0,True,True,True,True,False,False,False
5,0,0,1,1,5091,5056,0,0,0,0,0,2,-1,0,0,3,0,0,0,50,80,67,0,0,0,0,0,65535,0,1,1,0,0,0,0,0,1,0,50,0,False,True,True,True,False,False,False
6,0,0,3,1,1750,5056,5361,0,0,0,0,2,5,0,0,3,0,0,0,100,100,100,0,0,0,0,0,65535,0,1,2,1,0,0,0,0,1,1,50,0,True,True,True,True,False,False,False
7,0,0,3,1,2380,5056,5091,5482,0,0,0,2,5,0,0,3,0,0,0,100,100,100,0,0,0,0,0,65535,0,1,1,1,1,0,0,0,1,1,50,0,True,True,True,True,False,False,False
8,0,0,3,1,2430,5056,5361,5482,0,0,0,2,5,0,0,4,0,0,0,100,100,100,0,0,0,0,0,65535,0,1,1,1,1,0,0,0,1,1,50,0,True,True,True,True,False,False,False
9,0,0,3,1,2315,5056,5091,5361,0,0,0,2,5,0,0,4,0,0,0,100,100,100,0,0,0,0,0,65535,0,1,1,1,1,0,0,0,1,1,50,0,True,True,True,True,False,False,False
