key,0,1,2
#,Icon,Name,Description
int32,Image,str,str
0,0,"",""
1,216801,"Area Effect: Blindness","Accuracy of all party members is reduced."
2,216802,"Area Effect: HP Penalty","Maximum HP of all party members is reduced."
3,216803,"Area Effect: Damage Penalty","Damage dealt by all party members is reduced."
4,216804,"Area Effect: Inability","Use of abilities is prohibited for all party members."
5,216805,"Area Effect: Haste","Weaponskill recast time, spell recast time, and auto-attack delay for all party members are reduced."
6,216806,"Area Effect: HP/MP Boost","Maximum HP and MP of all party members are increased."
7,216807,"Area Effect: Item Penalty","Use of items (including dungeon-specific items) is prohibited for all party members."
8,216808,"Area Effect: Sprint Penalty","Use of the action Sprint is prohibited for all party members."
9,216809,"Area Effect: Knockback Penalty","Knockback and draw-in effects for both enemies and allies are disabled."
10,216810,"Area Effect: Auto-heal Penalty","HP regeneration for all party members is disabled."
11,216811,"Area Effect: Gloom","Enemy movement speed is increased. Enemies also deal more damage while taking less."
12,216812,"Area Effect: Sprint","Movement speed of all party members is increased."
13,216813,"Area Effect: Magicite Penalty","Use of magicite is prohibited for all party members."
14,216814,"Area Effect: Demiclone Penalty","Use of demiclones is prohibited for all party members."
15,216815,"Area Effect: Incense Penalty","Use of incense is prohibited for all party members."
