#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Model,Priority,Enemy,Icon,Order,HP,SkillAngle,Unknown1,Scale,InactiveIdle0,InactiveIdle1,InactiveBattle,InactiveWandering,Behavior,Special,Unknown10,Unknown11,WanderingWait,Unknown2,Cost,Unknown3,SkillCost,Unknown4,MinionRace,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Battle,Roulette,IdleAnimation
0,,,0,0,0,1,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,8,0,10,0,20,0,0,False,False,False,False,False,False,True,False
1,cherry bomb,cherry bombs,0,0,0,0,0,0,427,1,0,4403,1001,390,360,600,100,30,0,0,0,2,0,0,0,8,0,10,5,30,1,2,True,False,True,False,False,False,True,True
2,mammet #001,mammets #001,0,0,0,0,0,0,419,200,0,4401,10001,410,0,620,100,30,0,0,0,1,0,0,0,8,0,10,37,20,1,3,False,True,False,False,False,False,True,True
3,wayward hatchling,wayward hatchlings,0,0,0,0,0,0,423,3,0,4402,1,410,30,601,100,30,0,30,0,2,0,0,0,8,0,15,23,20,1,1,True,False,True,False,True,False,True,True
4,Cait Sith doll,Cait Sith dolls,0,0,0,0,1,0,430,201,0,4404,10006,400,360,625,100,30,0,0,0,1,0,0,0,8,0,20,25,20,1,3,False,True,False,False,False,False,True,True
5,baby behemoth,baby behemoths,0,0,0,0,0,0,428,5,0,4405,1002,430,30,601,100,30,0,0,0,2,0,0,0,8,90,15,1,20,1,2,True,False,True,False,True,False,True,True
6,mammet #003L,mammets #003L,0,0,0,1,0,0,420,200,0,4406,10002,365,30,607,100,30,0,0,0,1,0,0,0,8,0,10,14,20,1,3,False,True,False,False,False,False,True,True
7,mammet #003G,mammets #003G,0,0,0,1,0,0,421,200,0,4407,10003,280,360,625,100,30,0,0,0,1,0,0,0,8,0,10,25,20,1,3,False,True,False,False,False,False,True,True
8,mammet #003U,mammets #003U,0,0,0,1,0,0,422,200,0,4408,10004,420,120,631,100,30,0,0,0,1,0,0,0,8,0,10,13,20,1,3,False,True,False,False,False,False,True,True
9,storm hatchling,storm hatchlings,0,0,0,1,0,0,424,3,0,4409,2,315,30,601,100,30,0,30,0,2,0,0,0,8,0,10,19,30,1,1,True,False,True,False,True,False,True,True
10,serpent hatchling,serpent hatchlings,0,0,0,1,0,0,425,3,0,4410,3,350,360,623,100,30,0,30,0,2,0,0,0,8,0,10,30,20,1,1,True,False,True,False,True,False,True,True
11,flame hatchling,flame hatchlings,0,0,0,1,0,0,426,3,0,4411,4,320,120,622,100,30,0,30,0,2,0,0,0,8,0,10,26,20,1,1,True,False,True,False,True,False,True,True
12,morbol seedling,morbol seedlings,0,0,0,1,0,0,429,6,0,4412,1003,560,120,602,100,30,0,0,0,2,0,0,0,8,0,30,20,20,1,2,True,False,True,False,False,False,True,True
