#,OpenContentData[0].CandidateName,OpenContentData[0].Content,OpenContentData[1].CandidateName,OpenContentData[1].Content,OpenContentData[2].CandidateName,OpenContentData[2].Content,OpenContentData[3].CandidateName,OpenContentData[3].Content,OpenContentData[4].CandidateName,OpenContentData[4].Content,OpenContentData[5].CandidateName,OpenContentData[5].Content,OpenContentData[6].CandidateName,OpenContentData[6].Content,OpenContentData[7].CandidateName,OpenContentData[7].Content,OpenContentData[8].CandidateName,OpenContentData[8].Content,OpenContentData[9].CandidateName,OpenContentData[9].Content,OpenContentData[10].CandidateName,OpenContentData[10].Content,OpenContentData[11].CandidateName,OpenContentData[11].Content,OpenContentData[12].CandidateName,OpenContentData[12].Content,OpenContentData[13].CandidateName,OpenContentData[13].Content,OpenContentData[14].CandidateName,OpenContentData[14].Content,OpenContentData[15].CandidateName,OpenContentData[15].Content
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,654,19,716,26,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,658,7,667,8,693,25,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,264,10,244,11,278,12,538,13,291,14,597,15,638,16,280,17,539,18,694,0,0,0,0,0,0,0,0,0,0,0,0
5,20,718,27,763,28,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,21,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,22,256,23,292,24,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,29,803,30,791,32,846,37,871,38,924,43,950,44,965,33,788,39,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,31,809,34,873,40,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,35,878,36,879,41,946,42,947,45,979,46,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,47,986,54,1020,59,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,48,833,49,996,50,1017,53,1031,55,1062,57,1077,56,1044,52,1006,51,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
