#,Quest0,Quest1,DefaultTalk,Unknown0
2031616.0,0,0,0,0
2031617.0,0,0,589860,0
2031617.1,65539,0,589844,0
2031617.2,65540,0,589845,0
2031617.3,65541,0,589846,0
2031617.4,13,0,589847,0
2031617.5,65543,0,589848,0
2031617.6,65544,0,589849,0
2031617.7,10,0,589850,0
2031617.8,65546,0,589851,0
2031617.9,65547,0,589852,0
2031617.10,65548,0,589853,0
2031617.11,65549,0,589854,0
2031618.0,0,0,590413,0
2031618.1,65855,0,591292,0
2031619.0,0,0,590357,0
2031619.1,65855,0,591293,0
2031619.2,68436,0,594337,0
2031620.0,0,0,590286,0
2031620.1,65801,0,591295,0
2031621.0,0,0,589886,0
2031621.1,65975,0,591296,0
2031622.0,0,0,590192,0
2031622.1,66103,0,591297,0
2031623.0,0,0,590464,0
2031623.1,66103,0,591298,0
2031624.0,0,0,589874,0
2031624.1,65612,0,591299,0
2031625.0,0,0,589877,0
2031625.1,65612,0,591300,0
2031626.0,0,0,589876,0
2031626.1,65612,0,591301,0
2031627.0,0,0,590208,0
2031627.1,65889,0,591302,0
2031627.2,65778,0,591906,0
2031627.3,68752,0,595247,0
2031628.0,0,0,590466,0
2031628.1,65889,0,591303,0
2031629.0,0,0,590468,0
2031629.1,65889,0,591304,0
2031630.0,0,0,590467,0
2031630.1,65889,0,591305,0
2031631.0,0,0,590465,0
2031631.1,65889,0,591306,0
2031632.0,0,0,589924,0
2031632.1,65977,0,591307,0
2031633.0,0,0,590150,0
2031633.1,65977,0,591308,0
2031634.0,0,0,590082,0
2031634.1,65977,0,591309,0
2031635.0,0,0,591050,0
2031635.1,65997,0,591310,0
2031636.0,0,0,589898,0
2031636.1,65602,0,591311,0
2031637.0,0,0,589933,0
2031637.1,66075,0,591312,0
2031638.0,0,0,590579,0
2031638.1,66190,0,591313,0
2031639.0,0,0,590577,0
2031639.1,66186,0,591314,0
2031640.0,0,0,590578,0
2031640.1,66194,0,591315,0
2031640.2,68135,0,594286,0
2031641.0,0,0,590427,0
2031641.1,65806,0,591316,0
2031642.0,0,0,590363,0
2031642.1,65806,0,591317,0
2031643.0,0,0,590364,0
2031643.1,65806,0,591318,0
2031644.0,0,0,590362,0
2031644.1,65806,0,591319,0
2031645.0,0,0,590439,0
2031645.1,65838,0,591320,0
2031646.0,0,0,590396,0
2031646.1,65838,0,591321,0
2031647.0,0,0,590358,0
2031647.1,65838,0,591322,0
2031648.0,0,0,590440,0
2031648.1,65820,0,591323,0
2031649.0,0,0,590402,0
2031649.1,65820,0,591324,0
2031649.2,67574,0,592789,0
2031649.3,67578,0,592790,0
2031650.0,0,0,590399,0
2031650.1,65820,0,591325,0
2031651.0,0,0,590398,0
2031651.1,65820,0,591326,0
2031652.0,0,0,590397,0
2031652.1,65820,0,591327,0
2031653.0,0,0,589905,0
2031653.1,65549,0,591328,0
2031654.0,0,0,589906,0
2031654.1,65549,0,591329,0
2031655.0,0,0,589902,0
2031655.1,65549,0,591330,0
2031656.0,0,0,590979,0
2031656.1,65549,0,591331,0
2031656.2,67584,0,592783,0
2031656.3,67588,0,592784,0
2031657.0,0,0,590576,0
2031657.1,66182,0,591332,0
2031658.0,0,0,590401,0
2031658.1,67108,0,591854,0
2031658.2,66654,0,591333,0
2031658.3,66966,0,591334,0
2031658.4,65782,0,591868,0
2031658.5,67625,0,592786,0
2031658.6,68431,0,594231,0
2031658.7,68435,0,594232,0
2031659.0,0,0,590980,0
2031659.1,66654,0,591335,0
2031660.0,0,0,590651,0
2031660.1,66654,0,591336,0
2031661.0,0,0,590656,0
2031661.1,66620,0,591337,0
2031662.0,0,0,590655,0
2031662.1,66620,0,591338,0
2031663.0,0,0,590048,0
2031663.1,66788,0,591339,0
2031663.2,20012,0,591340,0
2031663.3,66792,0,591341,0
2031663.4,65964,0,590260,0
2031663.5,67168,0,592813,0
2031663.6,67895,0,593629,0
2031663.7,68721,0,595096,0
2031663.8,69552,0,597454,0
2031663.9,69932,0,598634,0
2031663.10,69954,0,598635,0
2031663.11,0,70000,598636,7
2031664.0,0,0,590591,0
2031664.1,66753,0,591342,0
2031664.2,0,66733,591343,4
2031664.3,66757,0,591344,0
2031664.4,66981,0,591589,0
2031664.5,65963,0,590104,0
2031664.6,67167,0,592816,0
2031664.7,67895,0,593628,0
2031664.8,68721,0,595098,0
2031664.9,69552,0,597452,0
2031664.10,69932,0,598628,0
2031664.11,69954,0,598629,0
2031664.12,0,70000,598630,7
2031665.0,0,0,590590,0
2031665.1,66910,0,591345,0
2031665.2,20018,0,591346,0
2031665.3,66914,0,591347,0
2031665.4,65964,0,592011,0
2031665.5,67168,0,592810,0
2031665.6,67895,0,593630,0
2031665.7,68721,0,595097,0
2031665.8,69552,0,597453,0
2031665.9,69932,0,598631,0
2031665.10,69954,0,598632,0
2031665.11,0,70000,598633,7
2031666.0,0,0,591275,0
2031666.1,66856,0,591348,0
2031666.2,66860,0,591349,0
2031666.3,67002,0,591620,0
2031666.4,67009,0,591621,0
2031666.5,67737,0,593041,0
2031667.0,0,0,589999,0
2031667.1,65665,0,591350,0
2031668.0,0,0,590028,0
2031668.1,65635,0,591351,0
2031669.0,0,0,590045,0
2031669.1,65635,0,591352,0
2031670.0,0,0,590144,0
2031670.1,65697,0,591353,0
2031670.2,67096,0,591580,0
2031671.0,0,0,589880,0
2031671.1,65985,0,591354,0
2031672.0,0,0,590163,0
2031672.1,65856,0,591355,0
2031673.0,0,0,590308,0
2031673.1,65766,0,591356,0
2031674.0,0,0,590311,0
2031674.1,65872,0,591357,0
2031674.2,65963,0,592273,0
2031674.3,67167,0,592820,0
2031675.0,0,0,590405,0
2031675.1,66088,0,591358,0
2031675.2,65963,0,592037,0
2031675.3,67166,0,592823,0
2031675.4,68139,0,594285,0
2031675.5,0,70000,598615,7
2031676.0,0,0,590205,0
2031676.1,65950,0,591359,0
2031677.0,0,0,590410,0
2031677.1,66081,0,591360,0
2031677.2,65964,0,591147,0
2031677.3,67168,0,592811,0
2031677.4,0,70000,598640,7
2031678.0,0,0,590471,0
2031678.1,66110,0,591361,0
2031679.0,0,0,590269,0
2031679.1,66279,0,591362,0
2031679.2,66414,0,591363,0
2031679.3,66789,0,591364,0
2031679.4,66792,0,591365,0
2031679.5,0,66988,591592,3
2031680.0,0,0,590071,0
2031680.1,66050,0,591366,0
