#,Description,Alias,ShortAlias,Command,ShortCommand,Unknown0,Param,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0,,,,,,0,0,0,0,0,0,0
1,"USAGE:
　/record

→Opens and closes the Duty Recorder interface.",/record,,/record,,0,32,1,0,0,0,0
2,"USAGE:
　/recordready [subcommand]

→Opens and closes the Duty Recorder interface.

>>Subcommands:
　**[countdowntime]**
　　Initiate a record ready check
　　to begin recording a duty.
　　When all party members
　　consent to the recording,
　　a countdown will start at
　　the specified time.
　　Subsequent uses of this
　　command during the same
　　duty will function as both a
　　ready check and countdown.

Opens the Duty Recorder interface when no subcommand is specified.",/recordready,,/recordready,,0,0,2,1,0,0,0
3,"USAGE:
　/pvpteamcmd

→Opens and closes the PvP team menu.",,,/pvpteamcmd,,0,0,1,0,0,0,0
4,"USAGE:
　/saddlebag

→Opens and closes your chocobo saddlebag.",/saddlebag,,/saddlebag,,0,0,1,0,0,0,0
5,"USAGE:
　/magiaright

→Spins your magia board clockwise.",,,/magiaright,,0,0,1,0,0,0,0
6,"USAGE:
　/magialeft

→Spins your magia board counterclockwise.",,,/magialeft,,0,0,1,0,0,0,0
7,"ALIASES:
　/cwlinkshellcmd, /cwlcmd
USAGE:
　/cwlinkshellcmd

→Opens and closes the Cross-world Linkshell window.",/cwlinkshellcmd,/cwlcmd,/cwlinkshellcmd,/cwlcmd,0,0,1,0,0,0,0
8,"ALIASES:
　/quickchat, /qchat
USAGE:
　/quickchat [quick chat message]

→Sends a Quick Chat message. Can only be used during Crystalline Conflict.

>>Example:
　/quickchat Charge <t>
　(Sends the Quick Chat message
　""Charge"" using a specified
　target.)",/quickchat,/qchat,/quickchat,/qchat,0,1021,3,1,17,0,0
9,"USAGE:
　/bluespellbook [subcommand]

→Open and register active actions in the Blue Magic Spellbook.

>>Subcommands:
　**set ""blue mage action"" on**
　　Adds the specified blue
　　mage action to the list
　　of active actions in the
　　current set.
　** set ""blue mage action"" off**
　　Removes the specified blue
　　mage action from the list of
　　active actions in the current
　　set.
　**preset [active set 1-5]**
　　Load the specified set of
　　active actions.
　**clear**
　　Remove all active actions
　　from the current active
　　action set.

Opens the Blue Magic Spellbook when no subcommand is specified.

>>Examples:
　/bluespellbook set “Water Cannon”
　(Sets the blue mage action
　Water Cannon as an active
　action in the current set.

　/bluespellbook preset 2
　(Loads active set 2.)",,,/bluespellbook,,0,36,4,3,2,18,2
10,"USAGE:
　/magiaattack [placeholder]

→Spin the magia board to match the elemental weakness of the specified target. If no target is specified, matches based on current target.

>>Common Placeholders:
　<t>, <target>, <1>-<8>

A full list of placeholders can be found on the Lodestone Play Guide.",,,/magiaattack,,0,0,2,1,2,0,0
11,"USAGE:
　/magiadefense [placeholder]

→Spin the magia board to match the elemental affinity of the specified target. If no target is specified, matches based on current target.

>>Common Placeholders:
　<t>, <target>, <1>-<8>

A full list of placeholders can be found on the Lodestone Play Guide.",,,/magiadefense,,0,0,2,1,2,0,0
12,"USAGE:
　/magiaauto [subcommand]

→Set the magia board to automatically spin based on your current target.

>>Subcommands:
　**attack (atk)**
　　Automatically spin the magia
　　board to match the elemental
　　weakness of current target.
　**defense (def)**
　　Automatically spin the magia
　　board to match the elemental
　　affinity of current target.
　**off **
　　Disable automatic spinning.

Toggle between attack, defense, and off when no subcommand is specified.",,,/magiaauto,,0,0,2,1,2,0,0
13,"ALIASES:
　/cwlinkshell1, /cwl1
USAGE:
　/cwlinkshell1 [message]

→Sends a message to all members of the cross-world linkshell you have registered in cross-world linkshell slot 1, regardless of their location. Typing /cwlinkshell1 or /cwl1 without a message switches the default chat mode to [Cross-world Linkshell 1].",,,/cwlinkshell1,/cwl1,0,1021,1,0,0,0,0
