#,Name,Description,ExpeditionParams[0].RewardItem,ExpeditionParams[0].RequiredPhysical,ExpeditionParams[0].RequiredMental,ExpeditionParams[0].RequiredTactical,ExpeditionParams[0].RewardQuantity,ExpeditionParams[0].PercentPhysicalMet,ExpeditionParams[0].PercentMentalMet,ExpeditionParams[0].PercentTacticalMet,ExpeditionParams[0].PercentAllMet,ExpeditionParams[1].RewardItem,ExpeditionParams[1].RequiredPhysical,ExpeditionParams[1].RequiredMental,ExpeditionParams[1].RequiredTactical,ExpeditionParams[1].RewardQuantity,ExpeditionParams[1].PercentPhysicalMet,ExpeditionParams[1].PercentMentalMet,ExpeditionParams[1].PercentTacticalMet,ExpeditionParams[1].PercentAllMet,ExpeditionParams[2].RewardItem,ExpeditionParams[2].RequiredPhysical,ExpeditionParams[2].RequiredMental,ExpeditionParams[2].RequiredTactical,ExpeditionParams[2].RewardQuantity,ExpeditionParams[2].PercentPhysicalMet,ExpeditionParams[2].PercentMentalMet,ExpeditionParams[2].PercentTacticalMet,ExpeditionParams[2].PercentAllMet,ExpeditionParams[3].RewardItem,ExpeditionParams[3].RequiredPhysical,ExpeditionParams[3].RequiredMental,ExpeditionParams[3].RequiredTactical,ExpeditionParams[3].RewardQuantity,ExpeditionParams[3].PercentPhysicalMet,ExpeditionParams[3].PercentMentalMet,ExpeditionParams[3].PercentTacticalMet,ExpeditionParams[3].PercentAllMet,ExpeditionParams[4].RewardItem,ExpeditionParams[4].RequiredPhysical,ExpeditionParams[4].RequiredMental,ExpeditionParams[4].RequiredTactical,ExpeditionParams[4].RewardQuantity,ExpeditionParams[4].PercentPhysicalMet,ExpeditionParams[4].PercentMentalMet,ExpeditionParams[4].PercentTacticalMet,ExpeditionParams[4].PercentAllMet,ExpeditionParams[5].RewardItem,ExpeditionParams[5].RequiredPhysical,ExpeditionParams[5].RequiredMental,ExpeditionParams[5].RequiredTactical,ExpeditionParams[5].RewardQuantity,ExpeditionParams[5].PercentPhysicalMet,ExpeditionParams[5].PercentMentalMet,ExpeditionParams[5].PercentTacticalMet,ExpeditionParams[5].PercentAllMet,RewardExperience,RequiredSeals,RequiredFlag,UnlockFlag,RequiredLevel,PercentBase,Unknown0,GcArmyExpeditionType
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,City Patrol,Patrol city streets and maintain peace in Limsa Lominsa.,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,7500,0,5,8,1,100,0,1
2,Military Courier,Deliver written orders to unit stationed at the De Nevelle Checkpoint.,0,165,160,160,0,20,20,20,20,0,165,160,160,0,20,20,20,20,0,165,170,150,0,20,20,20,20,0,150,170,165,0,20,20,20,20,0,160,150,175,0,20,20,20,20,0,150,160,175,0,20,20,20,20,7500,500,8,0,1,20,0,1
3,Outskirts Patrol,Patrol middle La Noscea and eliminate potential threats to travelers.,0,245,155,200,0,20,20,20,20,0,245,200,155,0,20,20,20,20,0,150,255,195,0,20,20,20,20,0,195,255,150,0,20,20,20,20,0,155,195,250,0,20,20,20,20,0,195,155,250,0,20,20,20,20,9000,500,8,0,1,20,0,1
4,Beastmen Recon,"Group of kobold pickmen spotted in lower La Noscea. Confirm presence of beastmen, and report current location. DO NOT ENGAGE.",0,150,255,195,0,20,20,20,20,0,195,155,250,0,20,20,20,20,0,155,195,250,0,20,20,20,20,0,245,200,155,0,20,20,20,20,0,245,155,200,0,20,20,20,20,0,195,255,150,0,20,20,20,20,10500,500,8,0,5,20,0,1
5,Supply Wagon Escort,"Escort supply wagon to Camp Skull Valley. Remain alert for possible threats, and ensure supplies arrive undamaged.",0,210,125,310,0,20,20,20,20,0,125,210,310,0,20,20,20,20,0,305,210,130,0,20,20,20,20,0,305,130,210,0,20,20,20,20,0,210,320,115,0,20,20,20,20,0,115,320,210,0,20,20,20,20,12000,500,8,0,10,20,0,1
6,Pest Eradication,"Residents of middle La Noscea request military support. Deploy to area, and cull goobbue population.",14945,140,225,325,1,20,20,20,20,14945,225,140,325,1,20,20,20,20,14945,320,145,225,1,20,20,20,20,14945,320,225,145,1,20,20,20,20,14945,130,335,225,1,20,20,20,20,14945,225,335,130,1,20,20,20,20,13500,500,8,0,15,20,0,1
7,Flagged Mission: Voidsent Elimination,Cabal of minor voidsent spotted in vicinity of Woad Whisper Canyon. Deploy to area and execute thorough “sweep and eliminate.”,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,21000,2000,10,12,20,0,0,1
8,Frontline Support,Camp Skull Valley garrison requests reinforcements. Deploy to area and repel kobold assault.,0,265,140,420,0,20,20,20,20,0,410,145,270,0,20,20,20,20,0,265,435,125,0,20,20,20,20,0,140,265,420,0,20,20,20,20,0,410,270,145,0,20,20,20,20,0,125,435,265,0,20,20,20,20,15000,1000,12,0,20,20,0,2
9,Officer Escort,"High-ranking serpent officer to visit city to plan Alliance strategies. Meet said officer at airship landing, and serve as personal guard for visit duration.",0,270,440,130,0,20,20,20,20,0,130,440,270,0,20,20,20,20,0,270,145,425,0,20,20,20,20,0,145,270,425,0,20,20,20,20,0,415,275,150,0,20,20,20,20,0,415,150,275,0,20,20,20,20,16500,1000,12,0,20,20,0,2
