#,Name,Image,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown4,SortKey,FontColor,Unknown3,Category,Unknown1,Unknown2
0,None,0,0,0,0,0,0,0,0,0,True,True
1,,0,0,0,0,0,0,0,0,0,False,False
2,Solid Black,193002,1,0,0,0,1,1,0,1,True,True
3,Solid White,193003,1,0,0,0,2,2,0,1,True,True
4,Solid Purple,193004,1,0,0,0,5,1,0,1,True,True
5,Tank Gradient,193005,1,0,0,0,6,1,0,1,True,True
6,DPS Gradient,193006,1,0,0,0,8,1,0,1,True,True
7,Healer Gradient,193007,1,0,0,0,7,1,0,1,True,True
8,Solid Ivory,193008,1,0,0,0,4,2,0,1,True,True
9,Semi-transparent,193009,1,0,0,0,10,1,0,1,True,True
10,Solid Beige,193010,1,0,0,0,3,2,0,1,True,True
11,Lavender Gradient,193011,1,0,0,0,9,2,0,1,True,True
12,,0,0,0,0,0,0,0,0,0,False,False
13,,0,0,0,0,0,0,0,0,0,False,False
14,,0,0,0,0,0,0,0,0,0,False,False
15,,0,0,0,0,0,0,0,0,0,False,False
16,,0,0,0,0,0,0,0,0,0,False,False
17,,0,0,0,0,0,0,0,0,0,False,False
18,,0,0,0,0,0,0,0,0,0,False,False
19,,0,0,0,0,0,0,0,0,0,False,False
20,,0,0,0,0,0,0,0,0,0,False,False
21,,0,0,0,0,0,0,0,0,0,False,False
22,,0,0,0,0,0,0,0,0,0,False,False
23,,0,0,0,0,0,0,0,0,0,False,False
24,,0,0,0,0,0,0,0,0,0,False,False
25,,0,0,0,0,0,0,0,0,0,False,False
26,,0,0,0,0,0,0,0,0,0,False,False
27,,0,0,0,0,0,0,0,0,0,False,False
28,,0,0,0,0,0,0,0,0,0,False,False
29,,0,0,0,0,0,0,0,0,0,False,False
30,,0,0,0,0,0,0,0,0,0,False,False
31,,0,0,0,0,0,0,0,0,0,False,False
32,,0,0,0,0,0,0,0,0,0,False,False
33,,0,0,0,0,0,0,0,0,0,False,False
34,,0,0,0,0,0,0,0,0,0,False,False
35,,0,0,0,0,0,0,0,0,0,False,False
36,,0,0,0,0,0,0,0,0,0,False,False
37,,0,0,0,0,0,0,0,0,0,False,False
38,,0,0,0,0,0,0,0,0,0,False,False
39,,0,0,0,0,0,0,0,0,0,False,False
40,,0,0,0,0,0,0,0,0,0,False,False
41,,0,0,0,0,0,0,0,0,0,False,False
42,,0,0,0,0,0,0,0,0,0,False,False
43,,0,0,0,0,0,0,0,0,0,False,False
44,,0,0,0,0,0,0,0,0,0,False,False
45,,0,0,0,0,0,0,0,0,0,False,False
46,,0,0,0,0,0,0,0,0,0,False,False
47,,0,0,0,0,0,0,0,0,0,False,False
48,,0,0,0,0,0,0,0,0,0,False,False
49,,0,0,0,0,0,0,0,0,0,False,False
50,,0,0,0,0,0,0,0,0,0,False,False
51,,0,0,0,0,0,0,0,0,0,False,False
52,Companion 1,193901,154,1032,1034,1036,4000,1,0,7,True,True
53,Companion 2,193902,155,1033,1035,1037,4001,1,0,7,True,True
54,Unending Coil of Bahamut,193701,319,0,0,0,2500,1,0,4,True,True
55,Weapon's Refrain,193702,320,0,0,0,2501,1,0,4,True,True
56,Epic of Alexander,193703,321,0,0,0,2502,2,0,4,True,True
57,Dragonsong's Reprise,193704,322,0,0,0,2503,1,0,4,True,True
58,Last Dregs,193966,344,0,0,0,2315,1,0,3,True,True
59,Coffee Break,193012,1,0,0,0,11,1,0,1,True,True
60,Circular Geometry,193013,1,0,0,0,12,1,0,1,True,True
61,Piano Forte,193014,347,0,0,0,13,1,0,7,True,True
62,Far Eastern,193015,1,0,0,0,14,1,0,1,True,True
63,Dreamspinners,193962,429,0,0,0,2311,1,0,3,True,True
64,Stewards,193963,430,0,0,0,2312,1,0,3,True,True
65,Watts's Anvil,193964,431,0,0,0,2313,1,0,3,True,True
66,Hippo Riders,193965,432,0,0,0,2314,1,0,3,True,True
67,Dreaming Ways,193967,433,0,0,0,2316,1,0,3,True,True
68,Omega Protocol,193705,434,0,0,0,2504,1,0,4,True,True
69,Eureka Orthos,193710,465,0,0,0,2358,1,0,4,True,True
70,Enaretos,193711,466,0,0,0,2359,1,0,4,True,True
71,Four Lords,193712,467,0,0,0,2251,2,0,3,True,True
72,Island Vacation,193713,468,0,0,0,2340,2,0,8,True,True
73,Island Memories,193714,469,0,0,0,2341,1,0,8,True,True
74,Divine Circle,193960,524,0,0,0,2308,1,0,3,True,True
75,Velodyna Gatekeepers,193959,525,0,0,0,2309,1,0,3,True,True
76,Seven Hundred Seventy-Seven,193961,526,0,0,0,2310,1,0,3,True,True
77,End of an Era,193715,527,0,0,0,2250,1,0,3,True,True
78,Ten Year Anniversary,193716,523,0,0,0,3950,1,0,7,True,True
79,Adventurous Angling,193717,529,0,0,0,2346,1,0,8,True,True
80,Big Fish,193718,530,0,0,0,2347,1,0,8,True,True
81,Mahjong Mastery,193719,531,0,0,0,2350,1,0,8,True,True
82,Gundu,193956,567,0,0,0,2305,1,0,3,True,True
83,Vath,193957,568,0,0,0,2306,1,0,3,True,True
84,Mogmenders,193958,569,0,0,0,2307,1,0,3,True,True
85,Halone's Blessing,193723,572,0,0,0,2252,2,0,3,True,True
86,Menphina's Blessing,193724,572,0,0,0,2253,2,0,3,True,True
87,Thaliak's Blessing,193725,572,0,0,0,2254,2,0,3,True,True
88,Nymeia's Blessing,193726,572,0,0,0,2255,2,0,3,True,True
89,Llymlaen's Blessing,193727,572,0,0,0,2256,2,0,3,True,True
90,Oschon's Blessing,193728,572,0,0,0,2257,2,0,3,True,True
91,Byregot's Blessing,193729,572,0,0,0,2258,2,0,3,True,True
92,Rhalgr's Blessing,193730,572,0,0,0,2259,2,0,3,True,True
93,Azeyma's Blessing,193731,572,0,0,0,2260,2,0,3,True,True
94,Nald'thal's Blessing,193732,572,0,0,0,2261,2,0,3,True,True
95,Nophica's Blessing,193733,572,0,0,0,2262,2,0,3,True,True
96,Althyk's Blessing,193734,572,0,0,0,2263,2,0,3,True,True
97,Tataru's Bespoke,193722,573,0,0,0,2242,1,0,3,True,True
98,Wondrous Whimsy,193720,570,0,0,0,2351,2,0,8,True,True
99,Fantastic Faux,193721,571,0,0,0,2352,1,0,8,True,True
100,Blunderful,193735,575,0,0,0,3951,1,0,7,True,True
101,Blunderous,193736,576,0,0,0,3952,1,0,7,True,True
102,Blunder-villed,193737,577,0,0,0,3953,1,0,7,True,True
103,Yo-kai Watch,193738,607,0,0,0,3954,1,0,7,True,True
104,789th Order,193954,694,0,0,0,2302,1,0,3,True,True
105,Little Solace,193952,695,0,0,0,2301,1,0,3,True,True
106,Brotherhood of Ash,193951,696,0,0,0,2300,1,0,3,True,True
107,Novv's Clutch,193955,697,0,0,0,2303,1,0,3,True,True
108,Ehcatl Nine,193953,698,0,0,0,2304,1,0,3,True,True
109,Crimson Dawn,193662,701,0,0,0,1036,1,0,9,True,True
110,Golden Dawn,193663,702,0,0,0,1037,1,0,9,True,True
111,Dark Solution,193664,699,0,0,0,1038,1,0,9,True,True
112,Bright Solution,193665,700,0,0,0,1039,2,0,9,True,True
113,Turali Travel Agency,193968,767,0,0,0,2317,1,0,3,True,True
114,Heavens' Orthodoxy,193654,768,0,0,0,1020,2,0,9,True,True
115,Heavens' Heresy,193672,769,0,0,0,1021,1,0,9,True,True
