#,FolkloreBook,Quest,Item,Division,GatheringType,ClassJob,Unknown0
2000,Coerthan Mining Folklore,0,12238,2000,1,16,0
2001,Coerthan Mining Folklore,0,12238,2000,1,16,0
2002,Coerthan Botany Folklore,0,12698,2000,2,17,0
2003,Coerthan Botany Folklore,0,12698,2000,2,17,0
2004,Dravanian Mining Folklore,1,12239,2001,1,16,0
2005,Dravanian Mining Folklore,1,12239,2001,1,16,0
2006,Dravanian Botany Folklore,1,12699,2001,2,17,0
2007,Dravanian Botany Folklore,1,12699,2001,2,17,0
2008,Abalathian Mining Folklore,2,12240,2002,1,16,0
2009,Abalathian Mining Folklore,2,12240,2002,1,16,0
2010,Abalathian Botany Folklore,2,12700,2002,2,17,0
2011,Abalathian Botany Folklore,2,12700,2002,2,17,0
2012,Gyr Abanian Mining Folklore,3,17838,2003,1,16,0
2013,Gyr Abanian Mining Folklore,3,17838,2003,1,16,0
2014,Gyr Abanian Botany Folklore,3,17840,2003,2,17,0
2015,Gyr Abanian Botany Folklore,3,17840,2003,2,17,0
2016,Othardian Mining Folklore,4,17839,2004,1,16,0
2017,Othardian Mining Folklore,4,17839,2004,1,16,0
2018,Othardian Botany Folklore,4,17841,2004,2,17,0
2019,Othardian Botany Folklore,4,17841,2004,2,17,0
2020,Vrandtic Mining Folklore,5,26808,2005,1,16,0
2021,Vrandtic Mining Folklore,5,26808,2005,1,16,0
2022,Vrandtic Botany Folklore,5,26809,2005,2,17,0
2023,Vrandtic Botany Folklore,5,26809,2005,2,17,0
2024,Northern Mining Folklore,6,36598,2010,1,16,0
2025,Northern Mining Folklore,6,36598,2010,1,16,0
2026,Northern Botany Folklore,6,36602,2010,2,17,0
2027,Northern Botany Folklore,6,36602,2010,2,17,0
2028,Celestial Mining Folklore,7,36600,2011,1,16,0
2029,Celestial Mining Folklore,7,36600,2011,1,16,0
2030,Celestial Botany Folklore,7,36604,2011,2,17,0
2031,Celestial Botany Folklore,7,36604,2011,2,17,0
2032,Ancient Mining Folklore,8,36601,2012,1,16,0
2033,Ancient Mining Folklore,8,36601,2012,1,16,0
2034,Ancient Botany Folklore,8,36605,2012,2,17,0
2035,Ancient Botany Folklore,8,36605,2012,2,17,0
2036,Yok Turali Mining Folklore,9,43878,2015,1,16,0
2037,Yok Turali Mining Folklore,9,43878,2015,1,16,0
2038,Yok Turali Botany Folklore,9,43881,2015,2,17,0
2039,Yok Turali Botany Folklore,9,43881,2015,2,17,0
2040,Xak Turali Mining Folklore,10,43879,2016,1,16,0
2041,Xak Turali Mining Folklore,10,43879,2016,1,16,0
2042,Xak Turali Botany Folklore,10,43882,2016,2,17,0
2043,Xak Turali Botany Folklore,10,43882,2016,2,17,0
2044,Alexandrian Mining Folklore,11,43880,2017,1,16,0
