#,Name,Order,RequiredItem[0],RequiredItem[1],RequiredItem[2],CompanyCraftDraftCategory,RequiredItemCount[0],RequiredItemCount[1],RequiredItemCount[2]
0,airship prototype II,1,12923,0,0,1,6,0,0
1,airship prototype III,2,12924,12923,0,1,10,4,0
2,airship prototype IV,3,12925,12923,0,1,10,4,0
3,airship prototype V,4,12926,12924,0,1,14,4,0
4,airship prototype VI,5,12927,12925,12923,1,14,4,4
5,restaurant prototype,1,12920,0,0,2,10,0,0
6,armor shop prototype,2,12921,0,0,2,10,0,0
7,weapon shop prototype,3,12922,12921,0,2,9,8,0
8,aetherial wheel prototype II,1,12928,0,0,0,6,0,0
9,aetherial wheel prototype III,2,12928,0,0,0,6,0,0
10,aetherial wheel prototype IV,3,12928,0,0,0,6,0,0
11,aetherial wheel prototype V,4,12929,12922,0,0,4,2,0
12,aetherial wheel prototype VI,5,12929,12922,0,0,4,2,0
13,aetherial wheel prototype VII,6,12929,12922,0,0,4,2,0
14,wheel stand prototype II,7,12929,12922,12920,0,6,3,8
15,moghouse prototype,4,12922,12921,12923,2,11,10,8
16,wheel stand prototype III,8,12929,12922,12920,0,8,5,10
17,airship prototype VII,6,12927,12926,12925,1,18,8,8
18,wheel stand prototype IV,9,12929,12922,12920,0,10,7,12
19,wheel stand prototype V,10,12929,12922,12920,0,12,9,14
20,chocobo house prototype,5,12922,12921,12923,2,14,12,10
21,paissa house prototype,6,12922,12921,12923,2,16,14,12
22,Carbuncle house prototype,7,12922,12921,12923,2,18,16,14
23,Shirogane Castle prototype,8,12922,12921,12923,2,20,18,16
24,submersible prototype I,7,5374,0,0,1,6,0,0
25,submersible prototype II,8,12924,12923,0,1,10,4,0
26,submersible prototype III,9,12925,12923,0,1,10,4,0
27,odder otter house prototype,9,12922,12921,12923,2,21,19,17
28,submersible prototype IV,10,12926,12924,0,1,14,4,0
29,submersible prototype V,11,12927,12925,12923,1,14,4,4
30,submersible prototype VI,12,26528,12926,12924,1,18,8,8
31,half-timbered house prototype,10,12922,29590,26528,2,18,10,8
32,smithy prototype,10,12922,29590,26528,2,18,10,8
33,florist prototype,10,12922,29590,26528,2,18,10,8
34,forge prototype,10,12922,29590,26528,2,18,10,8
35,cafe prototype,10,12922,29590,26528,2,18,10,8
36,gingerbread house prototype,10,29590,37083,26528,2,18,10,8
37,sukiya-zukuri prototype,10,29590,37083,26528,2,18,10,8
38,country house prototype,10,29590,37083,26528,2,18,10,8
