key,0,1,2,3,4,5
#,,,,,,
int32,str,str,str,str,str,str
0,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
1,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
2,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
3,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
4,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
5,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
6,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
7,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
8,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
9,"Storm Puppy","Serpent Puppy","Flame Puppy","Storm Puppy","Serpent Puppy","Flame Puppy"
10,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
11,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
12,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
13,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
14,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
15,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
16,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
17,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
18,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
19,"Storm Howler","Serpent Howler","Flame Howler","Storm Howler","Serpent Howler","Flame Howler"
20,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
21,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
22,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
23,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
24,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
25,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
26,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
27,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
28,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
29,"Storm Growler","Serpent Growler","Flame Growler","Storm Growler","Serpent Growler","Flame Growler"
30,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
31,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
32,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
33,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
34,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
35,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
36,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
37,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
38,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
39,"Storm Hound","Serpent Hound","Flame Hound","Storm Hound","Serpent Hound","Flame Hound"
40,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
41,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
42,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
43,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
44,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
45,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
46,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
47,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
48,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
49,"Storm Stalker","Serpent Stalker","Flame Stalker","Storm Stalker","Serpent Stalker","Flame Stalker"
50,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
51,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
52,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
53,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
54,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
55,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
56,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
57,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
58,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
59,"Storm Chaser","Serpent Chaser","Flame Chaser","Storm Chaser","Serpent Chaser","Flame Chaser"
60,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
61,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
62,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
63,"Storm Ripper","Serpent Ripper","Flame Ripper","Storm Ripper","Serpent Ripper","Flame Ripper"
