key,0,1,2
#,Name,Description,Icon
int32,str,str,Image
0,"Empty","Your chocobo is not carrying a race item.
Open a treasure coffer on the course to obtain one.",70101
1,"Choco Potion","Instantly restores stamina by 10%.",70102
2,"Stamina Tablet","Prevents stamina reduction for 10 seconds. If stamina is zero, a small amount is restored.",70104
3,"Sprint Shoes","Summons a quick burst of speed.",70105
4,"Choco Aether","Allows a previously used race ability to be executed again.",70108
5,"Bacchus's Water","Sends the forerunning chocobo into a Frenzied state.",70107
6,"Graviball","Afflicts the forerunning chocobo with Heavy.",70109
7,"Briar Caltrop","Surrounds your chocobo with a ring of thorns which will sap the stamina of any chocobos that enter.",70103
8,"Hero Tonic","Invigorates your chocobo for 15 seconds, increasing its overall performance while nullifying any enfeeblements.",70106
9,"Choco Meteor","Summons a meteor from the heavens to wreak havoc on all other chocobos.",70110
10,"Stamina Swapper","Interchanges your chocobo's stamina with that of a forerunning chocobo. Swap is made only if the forerunning chocobo has more stamina than yours.",70111
11,"Spiderweb","Renders the chocobo running immediately behind you unable to use items.",70112
