#,Name,HowToPagePC[0],HowToPagePC[1],HowToPagePC[2],HowToPagePC[3],HowToPagePC[4],HowToPageController[0],HowToPageController[1],HowToPageController[2],HowToPageController[3],HowToPageController[4],Sort,Category,Announce
0,,0,0,0,0,0,0,0,0,0,0,0,0,False
1,Basic Controls,1,0,0,0,0,2,0,0,0,0,1,2,False
2,Initiating Quests,5,0,0,0,0,6,0,0,0,0,1,5,True
3,Duty List,60,61,0,0,0,60,62,0,0,0,3,5,False
4,Navigation,30,31,0,0,0,32,33,0,0,0,4,5,True
5,Key Items,65,0,0,0,0,66,0,0,0,0,11,5,True
6,Interacting,70,0,0,0,0,71,0,0,0,0,12,5,True
7,Battle,150,151,152,153,0,190,191,192,193,153,1,4,True
8,Experience Points,1200,0,0,0,0,0,0,0,0,0,2,4,True
9,Handing Over Items,200,0,0,0,0,201,0,0,0,0,13,5,True
10,Changing Classes,110,111,0,0,0,0,0,0,0,0,9,2,True
11,Collecting Rewards,15,0,0,0,0,16,0,0,0,0,5,5,False
12,Accepting Quests,10,0,0,0,0,11,0,0,0,0,2,5,False
13,Return,25,26,0,0,0,27,28,0,0,0,1,3,True
14,Main Menu,20,21,22,0,0,0,0,0,0,0,2,2,True
15,Aetheryte,50,51,52,0,0,0,0,0,0,0,2,3,True
16,KO,90,91,0,0,0,0,0,0,0,0,2,4,True
17,Linkshells,290,291,0,0,0,0,0,0,0,0,11,2,True
18,Gear,35,36,0,0,0,37,36,0,0,0,1,7,True
19,Aethernet,45,0,0,0,0,0,0,0,0,0,3,3,True
20,Shops,135,136,0,0,0,137,136,0,0,0,6,6,True
21,The Armoire,1320,1321,0,0,0,0,0,0,0,0,11,7,True
22,Moogle Delivery Service,40,41,0,0,0,40,42,0,0,0,8,2,True
23,Finding Mature Trees,890,891,892,0,0,890,893,894,0,0,3,13,True
24,Gathering,900,901,902,0,0,0,0,0,0,0,4,13,True
25,Gathering Interface,910,911,912,0,0,0,0,0,0,0,5,13,True
26,Sneak,920,0,0,0,0,0,0,0,0,0,10,13,True
27,Harvesting,930,931,0,0,0,0,0,0,0,0,16,13,True
28,Crafting Log,700,701,702,0,0,0,0,0,0,0,1,12,True
29,Crafting,710,711,712,713,0,714,711,712,713,0,2,12,True
30,Improving Item Quality,720,721,722,0,0,720,723,722,0,0,3,12,True
