key,0,1,2
#,Icon,,Name
int32,Image,byte,str
0,0,0,""
1,61201,1,"Target to Attack 1"
2,61202,2,"Target to Attack 2"
3,61203,3,"Target to Attack 3"
4,61204,4,"Target to Attack 4"
5,61205,5,"Target to Attack 5"
6,61211,9,"Target to Bind 1"
7,61212,10,"Target to Bind 2"
8,61213,11,"Target to Bind 3"
9,61221,12,"Target to Ignore 1"
10,61222,13,"Target to Ignore 2"
11,61231,14,"Square"
12,61232,15,"Circle"
13,61233,16,"Plus"
14,61234,17,"Triangle"
15,61206,6,"Target to Attack 6"
16,61207,7,"Target to Attack 7"
17,61208,8,"Target to Attack 8"
