#,Description,Unknown1,RewardItem,RewardAmount,Unknown4,Category
0,Complete a stellar mission.,1,0,50,0,1
1,Complete three types of stellar missions.,3,0,75,1,1
2,Achieve a gold star rank on a stellar mission.,1,0,75,2,1
3,Complete a critical mission.,1,0,50,3,1
4,Complete a mech op.,1,0,100,4,1
5,Draw a cosmic fortune.,1,0,50,5,1
6,Complete 10 stellar missions on the moon.,10,1,300,6,2
7,Complete 50 stellar missions on the moon.,50,1,450,7,2
8,Complete 100 stellar missions on the moon.,100,1,900,8,2
9,Complete 500 stellar missions on the moon.,500,1,1500,9,2
10,Complete 10 unique stellar missions on the moon.,10,1,300,10,2
11,Complete 50 unique stellar missions on the moon.,50,1,900,11,2
12,Complete 100 unique stellar missions on the moon.,100,1,2400,12,2
13,Complete 10 unique stellar missions on the moon with a Gold Star rating.,10,1,300,13,2
14,Complete 50 unique stellar missions on the moon with a Gold Star rating.,50,1,900,14,2
15,Complete 100 unique stellar missions on the moon with a Gold Star rating.,100,1,2400,15,2
16,Complete 1 critical mission on the moon.,1,2,500,16,2
17,Complete 10 critical missions on the moon.,10,2,1000,17,2
18,Complete 30 critical missions on the moon.,30,2,3000,18,2
19,Complete 1 mech op as a pilot on the moon.,1,1,1500,22,2
20,Complete 5 mech ops as a pilot on the moon.,5,1,3000,23,2
21,Complete 10 mech ops as a pilot on the moon.,10,1,4500,24,2
22,Complete 5 mech ops as a ground supporter on the moon.,5,1,300,25,2
23,Complete 20 mech ops as a ground supporter on the moon.,20,1,900,26,2
24,Complete 50 mech ops as a ground supporter on the moon.,50,1,2100,27,2
25,Complete three unique class D missions for carpenter on the moon.,3,3,50,28,2
26,Complete four unique class C missions for carpenter on the moon.,4,3,100,29,2
27,Achieve a gold star rank on three unique class B missions for carpenter on the moon.,3,3,200,30,2
28,Complete three unique class D missions for blacksmith on the moon.,3,7,50,31,2
29,Complete four unique class C missions for blacksmith on the moon.,4,7,100,32,2
30,Achieve a gold star rank on three unique class B missions for blacksmith on the moon.,3,7,200,33,2
31,Complete three unique class D missions for armorer on the moon.,3,11,50,34,2
32,Complete four unique class C missions for armorer on the moon.,4,11,100,35,2
33,Achieve a gold star rank on three unique class B missions for armorer on the moon.,3,11,200,36,2
34,Complete three unique class D missions for goldsmith on the moon.,3,15,50,37,2
35,Complete four unique class C missions for goldsmith on the moon.,4,15,100,38,2
36,Achieve a gold star rank on three unique class B missions for goldsmith on the moon.,3,15,200,39,2
37,Complete three unique class D missions for leatherworker on the moon.,3,19,50,40,2
38,Complete four unique class C missions for leatherworker on the moon.,4,19,100,41,2
