#,Message,ChoicesText[0],ChoicesText[1],ChoicesText[2],ChoicesText[3],ChoicesText[4],ChoicesText[5],ChoicesText[6],ChoicesText[7],ChoicesText[8],ChoicesText[9],NextTalk,ActionTimeline,ChoicesTalk[0],ChoicesTalk[1],ChoicesTalk[2],ChoicesTalk[3],ChoicesTalk[4],ChoicesTalk[5],ChoicesTalk[6],ChoicesTalk[7],ChoicesTalk[8],ChoicesTalk[9],Unknown23,Unknown24,Unknown25,Unknown26,Unknown27
0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
4,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
5,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
6,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
7,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
8,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
9,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
10,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
11,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
12,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
13,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
14,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
15,必要MGP：0MGP,やる,やる(無料券),キャンセル,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,False,False
16,"UNKNOWN MGP is required to purchase a ticket.
You currently possess 0. Proceed?",Yes,No,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
17,I'm afraid you lack the points to play. Why not bolster your funds with a visit to the attendant behind me? ,,,,,,,,,,,44,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
18,"Thank you for your patronage, but you can only purchase three Mini Cactpot tickets a day. Perhaps another of our amusements would help pass the time till the next drawing?",,,,,,,,,,,45,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
19,"Come one, come all─drawing number UNKNOWN of the Mini Cactpot is here! Care to try your luck with a ticket, miss?",,,,,,,,,,,16,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
20,"Look! A poor, defenseless chocobo hatchling has wandered her way up the cliffs of Mt. Corel and is now trapped at the top. I would save her myself, I would, but I am no alpinist and, as a Lalafell, have a severe aversion to heights.",,,,,,,,,,,21,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
21,"That, and there appears to be a gang of unruly goblins tossing grenados at any would-be rescuer. Is there naught you can do, wealthy patro...er...kind adventurer!?",,,,,,,,,,,158,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
22,"Quite the fall, I must say! Your form was impeccable! And they say only coeurls land on their feet! However, despite your victorious bout with gravity, there still is the problem of the stranded hatchling...",,,,,,,,,,,23,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
23,Attempt the climb once more?,Yes,No,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
24,You've saved her! I think the little hatchling has learned a very valuable lesson here today. I do believe we can set the chick on her way knowing that she will never again put herself in danger.,,,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
25,"Now, the Jolly Raptor doesn't pay me enough to fend off brutish brigands, so I seek someone with the savvy to steal by these snakes and spirit the ceramics to the attendants awaiting their arrival. Just make certain you stay out of their sight!",,,,,,,,,,,140,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
26,"Now, the Jolly Raptor doesn't pay me enough to fend off brutish brigands, so I seek someone with the savvy to steal by these snakes and spirit the ceramics to the attendants awaiting their arrival. Just make certain you stay out of their sight!",,,,,,,,,,,143,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
27,M-M-My Baby B-B-Bootkins! Won't s-s-someone s-s-save my B-B-Baby Bootkins fwom those t-t-tewwible hobgobwins!,,,,,,,,,,,28,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
28,"Ma said to s-s-stay away fwom the big statue, b-b-but B-B-Bootkins is at the top, and if I...and if I...and if I don't s-s-save her, who will!?",,,,,,,,,,,159,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
29,Awe you alwight Miss adventuwer? Now I know why Ma towd me to stay away fwom that statue... B-B-But now who'll s-s-save B-B-Bootkins!?,,,,,,,,,,,30,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
30,Try again to save the hatchling?,Yes,No,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
31,"Thank you! Thank you! You saved my Baby Bootkins! From now on, we'll only play around Mt. Corel!",,,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
32,"Oh, you do not seem to have enough space, miss. I will be happy to hand over your prize after you make some room for it in your luggage.",,,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
33,"This Jumbo Cactpot ticket looks to be in order. Now, let us see what you have won...",,,,,,,,,,,100,764,0,0,0,0,0,0,0,0,0,0,1,0,2,True,False
