#,Model,PlaceName,Unknown0,Unknown1,HousingSize
0,,0,0,0,254
512,,0,0,0,0
513,bgcommon/hou/dyna/s1h0/dor/0001/asset/s1h0_co_dor0001.sgb,20,1,4,254
514,bgcommon/hou/dyna/f1h0/dor/0001/asset/f1h0_co_dor0001.sgb,20,1,4,254
515,bgcommon/hou/dyna/w1h0/dor/0001/asset/w1h0_co_dor0001.sgb,20,1,4,254
516,,20,1,4,254
517,bgcommon/hou/dyna/s1h0/dor/0002/asset/s1h0_co_dor0002.sgb,20,2,4,254
518,bgcommon/hou/dyna/f1h0/dor/0002/asset/f1h0_co_dor0002.sgb,20,2,4,254
519,bgcommon/hou/dyna/w1h0/dor/0002/asset/w1h0_co_dor0002.sgb,20,2,4,254
520,,20,2,4,254
521,bgcommon/hou/dyna/s1h0/dor/0003/asset/s1h0_co_dor0003.sgb,20,3,4,254
522,bgcommon/hou/dyna/f1h0/dor/0003/asset/f1h0_co_dor0003.sgb,20,3,4,254
523,bgcommon/hou/dyna/w1h0/dor/0003/asset/w1h0_co_dor0003.sgb,20,3,4,254
524,,20,3,4,254
525,,20,4,4,254
526,,20,5,4,254
527,,20,6,4,254
528,,20,7,4,254
529,,20,8,4,254
530,,20,9,4,254
531,bgcommon/hou/dyna/e1h0/dor/0001/asset/e1h0_co_dor0001.sgb,20,1,4,254
532,bgcommon/hou/dyna/e1h0/dor/0002/asset/e1h0_co_dor0002.sgb,20,2,4,254
533,bgcommon/hou/dyna/e1h0/dor/0003/asset/e1h0_co_dor0003.sgb,20,3,4,254
534,,20,10,4,254
535,,0,0,0,0
536,,0,0,0,0
537,,0,0,0,0
538,,0,0,0,0
539,,0,0,0,0
540,,0,0,0,0
541,,0,0,0,0
542,,0,0,0,0
543,,20,11,4,254
544,,20,12,4,254
545,,20,13,4,254
546,,20,14,4,254
547,,20,15,4,254
548,,20,16,4,254
549,,20,17,4,254
550,bgcommon/hou/dyna/r1h0/dor/0001/asset/r1h0_co_dor0001.sgb,20,1,4,254
551,bgcommon/hou/dyna/r1h0/dor/0002/asset/r1h0_co_dor0002.sgb,20,2,4,254
552,bgcommon/hou/dyna/r1h0/dor/0003/asset/r1h0_co_dor0003.sgb,20,3,4,254
553,,20,18,4,254
554,,20,19,4,254
555,,0,0,0,0
1024,,0,0,0,0
1025,bg/ffxiv/sea_s1/hou/dyna/s_rof/0001/asset/s1h0_s_rof0001.sgb,20,1,1,0
1026,bg/ffxiv/sea_s1/hou/dyna/m_rof/0001/asset/s1h0_m_rof0001.sgb,20,1,1,1
1027,bg/ffxiv/sea_s1/hou/dyna/l_rof/0001/asset/s1h0_l_rof0001.sgb,20,1,1,2
1028,bg/ffxiv/fst_f1/hou/dyna/s_rof/0001/asset/f1h0_s_rof0001.sgb,20,1,1,0
1029,bg/ffxiv/fst_f1/hou/dyna/m_rof/0001/asset/f1h0_m_rof0001.sgb,20,1,1,1
1030,bg/ffxiv/fst_f1/hou/dyna/l_rof/0001/asset/f1h0_l_rof0001.sgb,20,1,1,2
1031,bg/ffxiv/wil_w1/hou/dyna/s_rof/0001/asset/w1h0_s_rof0001.sgb,20,1,1,0
1032,bg/ffxiv/wil_w1/hou/dyna/m_rof/0001/asset/w1h0_m_rof0001.sgb,20,1,1,1
1033,bg/ffxiv/wil_w1/hou/dyna/l_rof/0001/asset/w1h0_l_rof0001.sgb,20,1,1,2
1034,,20,1,1,0
1035,,20,1,1,1
1036,,20,1,1,2
1037,bg/ffxiv/sea_s1/hou/dyna/s_rof/0002/asset/s1h0_s_rof0002.sgb,20,2,1,0
1038,bg/ffxiv/sea_s1/hou/dyna/m_rof/0002/asset/s1h0_m_rof0002.sgb,20,2,1,1
1039,bg/ffxiv/sea_s1/hou/dyna/l_rof/0002/asset/s1h0_l_rof0002.sgb,20,2,1,2
1040,bg/ffxiv/fst_f1/hou/dyna/s_rof/0002/asset/f1h0_s_rof0002.sgb,20,2,1,0
1041,bg/ffxiv/fst_f1/hou/dyna/m_rof/0002/asset/f1h0_m_rof0002.sgb,20,2,1,1
1042,bg/ffxiv/fst_f1/hou/dyna/l_rof/0002/asset/f1h0_l_rof0002.sgb,20,2,1,2
1043,bg/ffxiv/wil_w1/hou/dyna/s_rof/0002/asset/w1h0_s_rof0002.sgb,20,2,1,0
1044,bg/ffxiv/wil_w1/hou/dyna/m_rof/0002/asset/w1h0_m_rof0002.sgb,20,2,1,1
1045,bg/ffxiv/wil_w1/hou/dyna/l_rof/0002/asset/w1h0_l_rof0002.sgb,20,2,1,2
1046,,20,2,1,0
1047,,20,2,1,1
1048,,20,2,1,2
1049,bg/ffxiv/sea_s1/hou/dyna/s_rof/0003/asset/s1h0_s_rof0003.sgb,20,3,1,0
1050,bg/ffxiv/sea_s1/hou/dyna/m_rof/0003/asset/s1h0_m_rof0003.sgb,20,3,1,1
1051,bg/ffxiv/sea_s1/hou/dyna/l_rof/0003/asset/s1h0_l_rof0003.sgb,20,3,1,2
1052,bg/ffxiv/fst_f1/hou/dyna/s_rof/0003/asset/f1h0_s_rof0003.sgb,20,3,1,0
1053,bg/ffxiv/fst_f1/hou/dyna/m_rof/0003/asset/f1h0_m_rof0003.sgb,20,3,1,1
1054,bg/ffxiv/fst_f1/hou/dyna/l_rof/0003/asset/f1h0_l_rof0003.sgb,20,3,1,2
1055,bg/ffxiv/wil_w1/hou/dyna/s_rof/0003/asset/w1h0_s_rof0003.sgb,20,3,1,0
1056,bg/ffxiv/wil_w1/hou/dyna/m_rof/0003/asset/w1h0_m_rof0003.sgb,20,3,1,1
1057,bg/ffxiv/wil_w1/hou/dyna/l_rof/0003/asset/w1h0_l_rof0003.sgb,20,3,1,2
1058,,20,3,1,0
1059,,20,3,1,1
1060,,20,3,1,2
1061,,20,4,1,0
1062,,20,4,1,1
1063,,20,4,1,2
1064,,20,5,1,0
1065,,20,5,1,1
1066,,20,5,1,2
1067,,20,6,1,0
1068,,20,6,1,1
1069,,20,6,1,2
1070,,20,7,1,0
1071,,20,7,1,1
1072,,20,7,1,2
1073,,20,8,1,0
1074,,20,8,1,1
1075,,20,8,1,2
1076,,20,9,1,0
1077,,20,9,1,1
1078,,20,9,1,2
1079,bg/ffxiv/est_e1/hou/dyna/s_rof/0001/asset/e1h0_s_rof0001.sgb,20,1,1,0
1080,bg/ffxiv/est_e1/hou/dyna/m_rof/0001/asset/e1h0_m_rof0001.sgb,20,1,1,1
1081,bg/ffxiv/est_e1/hou/dyna/l_rof/0001/asset/e1h0_l_rof0001.sgb,20,1,1,2
1082,bg/ffxiv/est_e1/hou/dyna/s_rof/0002/asset/e1h0_s_rof0002.sgb,20,2,1,0
1083,bg/ffxiv/est_e1/hou/dyna/m_rof/0002/asset/e1h0_m_rof0002.sgb,20,2,1,1
1084,bg/ffxiv/est_e1/hou/dyna/l_rof/0002/asset/e1h0_l_rof0002.sgb,20,2,1,2
1085,bg/ffxiv/est_e1/hou/dyna/s_rof/0003/asset/e1h0_s_rof0003.sgb,20,3,1,0
1086,bg/ffxiv/est_e1/hou/dyna/m_rof/0003/asset/e1h0_m_rof0003.sgb,20,3,1,1
1087,bg/ffxiv/est_e1/hou/dyna/l_rof/0003/asset/e1h0_l_rof0003.sgb,20,3,1,2
1088,,20,10,1,0
1089,,20,10,1,1
1090,,20,10,1,2
1091,,0,0,0,0
1092,,0,0,0,0
1093,,0,0,0,0
1094,,0,0,0,0
1095,,0,0,0,0
1096,,0,0,0,0
1097,,0,0,0,0
1098,,0,0,0,0
1099,,0,0,0,0
1100,,0,0,0,0
1101,,0,0,0,0
1102,,0,0,0,0
1103,,0,0,0,0
1104,,0,0,0,0
1105,,0,0,0,0
1106,,0,0,0,0
1107,,0,0,0,0
1108,,0,0,0,0
1109,,0,0,0,0
1110,,0,0,0,0
1111,,0,0,0,0
1112,,0,0,0,0
1113,,0,0,0,0
1114,,0,0,0,0
1115,,20,11,1,0
1116,,20,11,1,1
1117,,20,11,1,2
1118,,20,12,1,0
1119,,20,12,1,1
1120,,20,12,1,2
1121,,20,13,1,0
1122,,20,13,1,1
1123,,20,13,1,2
1124,,20,14,1,0
1125,,20,14,1,1
1126,,20,14,1,2
1127,,20,15,1,0
1128,,20,15,1,1
1129,,20,15,1,2
1130,,20,16,1,0
1131,,20,16,1,1
1132,,20,16,1,2
1133,,20,17,1,0
1134,,20,17,1,1
1135,,20,17,1,2
