#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,heart berry cake,4,10,16,22,0,0,0,0,4,4,4,4,0,0,0,0
2,heart berry cake,4,7,8,13,14,22,0,0,4,2,2,2,2,4,0,0
3,moogle berry cake,4,8,11,14,15,19,0,0,4,2,2,2,2,4,0,0
4,moogle berry cake,4,11,10,17,16,19,0,0,4,2,2,2,2,4,0,0
5,chocolate egg berry cake,4,9,7,15,17,20,0,0,4,2,2,2,2,4,0,0
6,chocolate egg berry cake,4,10,11,16,13,20,0,0,4,2,2,2,2,4,0,0
7,chocobo berry cake,4,7,11,13,15,23,0,0,4,2,2,2,2,4,0,0
8,chocobo berry cake,4,8,9,14,16,23,0,0,4,2,2,2,2,4,0,0
9,cactuar berry cake,4,11,9,17,14,21,0,0,4,2,2,2,2,4,0,0
10,cactuar berry cake,4,9,10,15,16,21,0,0,4,2,2,2,2,4,0,0
11,heart cream cake,1,7,8,16,14,22,0,0,4,2,2,2,2,4,0,0
12,heart cream cake,1,8,11,13,14,22,0,0,4,2,2,2,2,4,0,0
13,moogle cream cake,1,7,13,19,0,0,0,0,4,4,4,4,0,0,0,0
14,moogle cream cake,1,11,10,14,17,19,0,0,4,2,2,2,2,4,0,0
15,chocolate egg cream cake,1,9,7,17,13,20,0,0,4,2,2,2,2,4,0,0
16,chocolate egg cream cake,1,10,11,15,16,20,0,0,4,2,2,2,2,4,0,0
17,chocobo cream cake,1,7,11,13,16,23,0,0,4,2,2,2,2,4,0,0
18,chocobo cream cake,1,8,9,14,17,23,0,0,4,2,2,2,2,4,0,0
19,cactuar cream cake,1,11,9,17,15,21,0,0,4,2,2,2,2,4,0,0
20,cactuar cream cake,1,9,10,15,13,21,0,0,4,2,2,2,2,4,0,0
21,heart chocolate cake,2,9,10,13,17,22,0,0,4,2,2,2,2,4,0,0
22,heart chocolate cake,2,11,9,14,15,22,0,0,4,2,2,2,2,4,0,0
23,moogle chocolate cake,2,8,9,17,16,19,0,0,4,2,2,2,2,4,0,0
24,moogle chocolate cake,2,7,11,15,17,19,0,0,4,2,2,2,2,4,0,0
25,double chocolate cake,2,8,14,20,0,0,0,0,4,4,4,4,0,0,0,0
26,double chocolate cake,2,10,11,13,15,20,0,0,4,2,2,2,2,4,0,0
27,chocobo chocolate cake,2,9,7,14,17,23,0,0,4,2,2,2,2,4,0,0
28,chocobo chocolate cake,2,11,10,17,15,23,0,0,4,2,2,2,2,4,0,0
29,cactuar chocolate cake,2,8,11,15,17,21,0,0,4,2,2,2,2,4,0,0
30,cactuar chocolate cake,2,7,8,16,13,21,0,0,4,2,2,2,2,4,0,0
31,heart lemon cake,5,11,10,13,17,22,0,0,4,2,2,2,2,4,0,0
32,heart lemon cake,5,8,11,14,17,22,0,0,4,2,2,2,2,4,0,0
33,moogle lemon cake,5,7,8,15,13,19,0,0,4,2,2,2,2,4,0,0
34,moogle lemon cake,5,8,11,14,17,19,0,0,4,2,2,2,2,4,0,0
35,chocolate egg lemon cake,5,10,11,15,17,20,0,0,4,2,2,2,2,4,0,0
36,chocolate egg lemon cake,5,9,7,13,14,20,0,0,4,2,2,2,2,4,0,0
37,chocobo lemon cake,5,11,17,23,0,0,0,0,4,4,4,4,0,0,0,0
38,chocobo lemon cake,5,11,9,14,15,23,0,0,4,2,2,2,2,4,0,0
39,cactuar lemon cake,5,8,9,17,13,21,0,0,4,2,2,2,2,4,0,0
40,cactuar lemon cake,5,7,11,15,13,21,0,0,4,2,2,2,2,4,0,0
41,heart pistachio cake,3,7,8,16,15,22,0,0,4,2,2,2,2,4,0,0
42,heart pistachio cake,3,8,10,14,13,22,0,0,4,2,2,2,2,4,0,0
43,moogle pistachio cake,3,10,11,15,13,19,0,0,4,2,2,2,2,4,0,0
44,moogle pistachio cake,3,9,7,17,16,19,0,0,4,2,2,2,2,4,0,0
45,chocolate egg pistachio cake,3,11,9,15,14,20,0,0,4,2,2,2,2,4,0,0
46,chocolate egg pistachio cake,3,8,9,13,16,20,0,0,4,2,2,2,2,4,0,0
47,chocobo pistachio cake,3,7,11,16,15,23,0,0,4,2,2,2,2,4,0,0
48,chocobo pistachio cake,3,11,10,14,13,23,0,0,4,2,2,2,2,4,0,0
49,cactuar pistachio cake,3,9,15,21,0,0,0,0,4,4,4,4,0,0,0,0
50,cactuar pistachio cake,3,8,11,16,14,21,0,0,4,2,2,2,2,4,0,0
51,adventurer special,6,12,18,24,0,0,0,0,4,4,4,4,0,0,0,0
