#,Text,NpcName,Image
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,The reconstruction of the Firmament has officially begun.,Francel,0
6,The reconstruction of the Firmament has officially begun.,Francel,0
7,New collection counters open for business!,Potkin,0
8,New collection counters open for business!,Potkin,0
9,Help needed to improve site ambience!,Lizbeth,0
10,Help needed to improve site ambience!,Lizbeth,0
11,Works in the Mendicant's Court are now complete.,Francel,0
12,"In my capacity as overseer, it is with great pleasure that I, Francel de Haillenarte, announce the official commencement of the reconstruction of the Firmament district.

As the first step in our ongoing efforts, we shall establish the Mendicant's Court as our base of operations. This area shall house facilities essential to the smooth and efficient operation of the project, and I humbly call upon your cooperation in laying the first stone in our great cause.

Francel de Haillenarte",,70301
13,"Once we have enough materials stockpiled, I'll schedule works for the first stage. Hope to see our builders out in force.

For your reference, the workflow's as follows:
1. Obtain material from supply pile
2. Process material at work station
3. Assemble material at assembly site

Simple as that. Let's do a good job of it, eh?

Augebert",,70302
14,"I wish to personally thank those of you who aided in the construction of the facilities on the east side. With a fully furnished counter from which to work, I can perform my collection duties with greater ease and efficiency.

Preparations are now underway to build facilities on the court's west, and for this we will of course require more supplies. I look forward to your continued contributions!

Potkin",,70303
15,"Once we have enough materials stockpiled, I'll schedule works for the second stage. Hope to see our builders out in force.

The workflow will be the same as before, but here it is again for good measure:
1. Obtain material from supply pile
2. Process material at work station
3. Assemble material at assembly site

Nothing to it. Keep up the good work, everyone.

Augebert",,70304
16,"Dear friends of the Firmament,

As the base of operations for the reconstruction effort, the Mendicant's Court can be likened to a home to us. And a home, if nothing else, should be cheery and welcoming.

To that end, I propose that we improve the ambience of the court by refurbishing the skybuilders' board and lighting the braziers. A worthwhile cause, I hope you will agree, and help me to make it possible by contributing the necessary supplies.

Lizbeth",,70305
17,"The works for the third stage has two parts: feeding the braziers and refurbishing the skybuilders' board.

Braziers:
1. Obtain material from supply pile
2. Process material into firewood at work station
3. Feed firewood to brazier
Skybuilders' board:
1. Obtain material from supply pile
2. Process material at work station
3. Assemble material at assembly site

Nothing complicated. Let's all rally behind Lizbeth, eh?

Augebert",,70306
18,"I am pleased to announce the completion of all works in the Mendicant's Court. This brings us to a brief hiatus as plans are finalized for the next phase, but you may as ever contribute to the cause by donating supplies.

This is a momentous malmstone in our efforts, and we may rightly be proud for having reached it. But let none be mistaken: we still have a mountain to climb. The complete reconstruction of the Firmament will still take a tremendous amount of time and effort. Nonetheless, I am determined as ever to see that this district one day brims with smiles and happiness, and it is my hope that I can rely on your ongoing cooperation.

Francel de Haillenarte",,70307
19,"Supplies sought by the Firmament reconstruction project take the form of collectables.

Upon receiving an explanation from Potkin, you may review the recipes for these items under **Ishgard Restoration** in your crafting log.

Deliveries may be made to Potkin, who will issue you with an amount in skybuilders' scrips commensurate with the item and its collectability.

All contributions will be put to good use in the reconstruction effort, and we eagerly look forward to receiving yours.",,0
20,"When sufficient supplies have been stockpiled, a call will go out for builders to assemble for a brief-but-intensive collaborative task known as concerted works.

In order to ensure a high level of participation, works are announced ahead of time on the skybuilders' board.

Due to the specialized nature of these works, they can only be undertaken by crafters and gatherers. The specifics of upcoming works may be reviewed on this board.

Participants will earn skybuilders' scrips as a reward.

**The restoration project has been completed, and there are no plans for further concerted works.**",,0
21,"The Houses of Lords and Commons have approved large-scale works to restore the Holy See of Ishgard. The principal site for the project is the Firmament district, which sustained extensive damage during the war.

Willing and able hands are sought to contribute to the reconstruction effort, regardless of birth and origin. Foreign experts will primarily be tasked with technical oversight along with the preparation and procurement of supplies.

Contributions are rewarded by way of skybuilders' scrips, which may be exchanged in the district for myriad wares. For more information, please seek out Enie.

All participants are urged to refer to this notice board often for project news such as pending works.

We thank you for your part in rebuilding our great nation.

**The restoration project has been completed, and we humbly thank all of you who contributed to its success.**",,0
22,Works on the Mattock have begun.,Francel,0
23,Works on Saint Roelle's Dais have begun.,Francel,0
24,Works on the New Nest have begun.,Francel,0
25,The reconstruction of the New Nest is complete!,Francel,0
